# Chorus wave power in pT^2 for 3 <= MLT < 9, Kp >= 5 for TS04D and Olson-Pfitzer (OP77Q) magnetic field models, as shown in Figure 1a 
# L*, TS04D Wave Power, OP77Q Wave Power
0.1,nan,nan
0.3,nan,nan
0.5,nan,nan
0.7,nan,nan
0.9,nan,nan
1.1,nan,nan
1.3,nan,nan
1.5,nan,nan
1.7,nan,nan
1.9,nan,nan
2.1,nan,nan
2.3,nan,nan
2.5,nan,nan
2.7,8.2450e+01,1.6802e+02
2.9,6.1579e+01,5.0358e+01
3.1,9.4624e+01,7.8683e+01
3.3,1.4121e+02,9.1323e+01
3.5,1.1118e+03,1.9349e+02
3.7,1.5550e+03,9.2564e+02
3.9,3.1978e+03,8.9872e+02
4.1,8.3614e+03,3.0322e+03
4.3,4.8471e+03,2.6425e+03
4.5,6.5734e+03,5.6655e+03
4.7,7.7324e+03,6.1199e+03
4.9,5.0893e+03,1.2095e+04
5.1,4.9589e+03,5.1844e+03
5.3,nan,6.8973e+03
5.5,nan,2.3631e+03
5.7,nan,nan
5.9,nan,nan
