# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10a for E = 5000.0 keV, L* = 4.5, MLT = 1.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.1944e-11,9.2634e-19,2.1944e-11
1.4940,6.9900e-11,2.2541e-16,6.9900e-11
2.4890,1.4990e-10,3.7698e-15,1.4990e-10
3.4830,2.6984e-10,2.7942e-14,2.6987e-10
4.4780,4.3426e-10,1.3628e-13,4.3441e-10
5.4720,6.4772e-10,5.1250e-13,6.4826e-10
6.4670,9.1546e-10,1.6117e-12,9.1713e-10
7.4610,1.2436e-09,4.4442e-12,1.2481e-09
8.4560,1.6390e-09,1.1067e-11,1.6502e-09
9.4500,2.1099e-09,2.5378e-11,2.1353e-09
10.4440,2.6652e-09,5.4289e-11,2.7195e-09
11.4390,3.3151e-09,1.0930e-10,3.4246e-09
12.4330,4.0711e-09,2.0838e-10,4.2805e-09
13.4280,4.9457e-09,3.7768e-10,5.3266e-09
14.4220,5.9530e-09,6.5258e-10,6.6132e-09
15.4170,7.1086e-09,1.0768e-09,8.2000e-09
16.4110,8.4291e-09,1.6987e-09,1.0151e-08
17.4060,9.9322e-09,2.5636e-09,1.2528e-08
18.4000,1.1636e-08,3.7031e-09,1.5376e-08
19.3940,1.3557e-08,5.1233e-09,1.8715e-08
20.3890,1.5713e-08,6.7959e-09,2.2533e-08
21.3830,1.8121e-08,8.6585e-09,2.6790e-08
22.3780,2.0805e-08,1.0626e-08,3.1432e-08
23.3720,2.3796e-08,1.2614e-08,3.6417e-08
24.3670,2.7136e-08,1.4552e-08,4.1727e-08
25.3610,3.0862e-08,1.6391e-08,4.7345e-08
26.3560,3.5002e-08,1.8063e-08,5.3222e-08
27.3500,3.9580e-08,1.9438e-08,5.9233e-08
28.3440,4.4603e-08,2.0300e-08,6.5163e-08
29.3390,5.0080e-08,2.0373e-08,7.0741e-08
30.3330,5.6052e-08,1.9410e-08,7.5767e-08
31.3280,6.2651e-08,1.7311e-08,8.0278e-08
32.3220,7.0094e-08,1.4236e-08,8.4659e-08
33.3170,7.9074e-08,1.0660e-08,9.0058e-08
34.3110,9.2430e-08,7.2969e-09,9.9975e-08
35.3060,1.1362e-07,4.8824e-09,1.1861e-07
36.3000,1.3789e-07,3.8224e-09,1.4172e-07
37.2940,1.6807e-07,3.9715e-09,1.7207e-07
38.2890,2.1219e-07,4.8685e-09,2.1723e-07
39.2830,2.5550e-07,5.9037e-09,2.6172e-07
40.2780,2.9743e-07,6.5392e-09,3.0434e-07
41.2720,3.4203e-07,6.5691e-09,3.4893e-07
42.2670,3.9217e-07,6.1513e-09,3.9853e-07
43.2610,4.6028e-07,5.5945e-09,4.6596e-07
44.2560,5.3047e-07,5.1138e-09,5.3563e-07
45.2500,6.0034e-07,4.7835e-09,6.0515e-07
46.2440,6.8077e-07,4.6275e-09,6.8540e-07
47.2390,7.1978e-07,4.5868e-09,7.2437e-07
48.2330,7.0551e-07,4.4846e-09,7.1000e-07
49.2280,6.3961e-07,4.2588e-09,6.4388e-07
50.2220,5.4616e-07,4.0884e-09,5.5027e-07
51.2170,4.2987e-07,4.1084e-09,4.3400e-07
52.2110,3.4398e-07,4.2267e-09,3.4823e-07
53.2060,3.5000e-07,4.2538e-09,3.5427e-07
54.2000,4.8631e-07,4.1803e-09,4.9051e-07
55.1940,7.0294e-07,4.1202e-09,7.0707e-07
56.1890,9.8363e-07,4.0587e-09,9.8770e-07
57.1830,1.3384e-06,4.0280e-09,1.3424e-06
58.1780,1.7696e-06,4.1688e-09,1.7738e-06
59.1720,2.2692e-06,4.3528e-09,2.2736e-06
60.1670,2.8034e-06,5.1121e-09,2.8086e-06
61.1610,3.4152e-06,6.2873e-09,3.4219e-06
62.1560,3.9476e-06,8.0103e-09,3.9569e-06
63.1500,4.4015e-06,1.0213e-08,4.4137e-06
64.1440,4.6420e-06,1.3322e-08,4.6578e-06
65.1390,4.6376e-06,1.7358e-08,4.6568e-06
66.1330,4.3853e-06,2.1634e-08,4.4081e-06
67.1280,3.8280e-06,2.6168e-08,3.8550e-06
68.1220,3.3986e-06,3.0108e-08,3.4288e-06
69.1170,2.8019e-06,3.3674e-08,2.8357e-06
70.1110,2.4221e-06,3.6457e-08,2.4586e-06
71.1060,2.0841e-06,3.8940e-08,2.1230e-06
72.1000,1.9325e-06,4.1570e-08,1.9741e-06
73.0940,1.9366e-06,4.2606e-08,1.9793e-06
74.0890,1.7826e-06,4.4315e-08,1.8272e-06
75.0830,1.6377e-06,4.7980e-08,1.6858e-06
76.0780,1.5114e-06,5.1576e-08,1.5630e-06
77.0720,1.3630e-06,5.6030e-08,1.4191e-06
78.0670,1.2968e-06,5.4616e-08,1.3518e-06
79.0610,1.1624e-06,5.1321e-08,1.2142e-06
80.0560,9.3432e-07,4.5415e-08,9.8085e-07
81.0500,7.0537e-07,3.6736e-08,7.4288e-07
82.0440,4.0801e-07,2.5083e-08,4.3322e-07
83.0390,1.1617e-07,7.5052e-09,1.2368e-07
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
