# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10aa for E = 100.0 keV, L* = 4.5, MLT = 7.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.4944e-06,8.8192e-07,4.3768e-06
1.4940,3.5262e-06,8.9227e-07,4.4189e-06
2.4890,3.5638e-06,9.0660e-07,4.4709e-06
3.4830,3.6075e-06,9.2522e-07,4.5331e-06
4.4780,3.6575e-06,9.4857e-07,4.6064e-06
5.4720,3.7139e-06,9.7725e-07,4.6915e-06
6.4670,3.7772e-06,1.0120e-06,4.7894e-06
7.4610,3.8476e-06,1.0536e-06,4.9013e-06
8.4560,3.9254e-06,1.1032e-06,5.0287e-06
9.4500,4.0111e-06,1.1619e-06,5.1731e-06
10.4440,4.1051e-06,1.2312e-06,5.3363e-06
11.4390,4.2078e-06,1.3124e-06,5.5203e-06
12.4330,4.3199e-06,1.4073e-06,5.7272e-06
13.4280,4.4418e-06,1.5176e-06,5.9594e-06
14.4220,4.5740e-06,1.6451e-06,6.2191e-06
15.4170,4.7170e-06,1.7917e-06,6.5087e-06
16.4110,4.8712e-06,1.9590e-06,6.8302e-06
17.4060,5.0370e-06,2.1485e-06,7.1856e-06
18.4000,5.2158e-06,2.3614e-06,7.5773e-06
19.3940,5.4090e-06,2.5982e-06,8.0075e-06
20.3890,5.6181e-06,2.8588e-06,8.4773e-06
21.3830,5.8445e-06,3.1419e-06,8.9871e-06
22.3780,6.0889e-06,3.4451e-06,9.5351e-06
23.3720,6.3535e-06,3.7646e-06,1.0120e-05
24.3670,6.6401e-06,4.0953e-06,1.0738e-05
25.3610,6.9505e-06,4.4300e-06,1.1384e-05
26.3560,7.2858e-06,4.7610e-06,1.2051e-05
27.3500,7.6470e-06,5.0793e-06,1.2731e-05
28.3440,8.0328e-06,5.3755e-06,1.3414e-05
29.3390,8.4498e-06,5.6403e-06,1.4096e-05
30.3330,8.9032e-06,5.8628e-06,1.4773e-05
31.3280,9.3958e-06,6.0348e-06,1.5437e-05
32.3220,9.9317e-06,6.1516e-06,1.6089e-05
33.3170,1.0516e-05,6.2111e-06,1.6732e-05
34.3110,1.1154e-05,6.2136e-06,1.7372e-05
35.3060,1.1853e-05,6.1621e-06,1.8018e-05
36.3000,1.2620e-05,6.0612e-06,1.8683e-05
37.2940,1.3454e-05,5.9180e-06,1.9373e-05
38.2890,1.4333e-05,5.7399e-06,2.0073e-05
39.2830,1.5283e-05,5.5354e-06,2.0819e-05
40.2780,1.6328e-05,5.3113e-06,2.1639e-05
41.2720,1.7481e-05,5.0730e-06,2.2555e-05
42.2670,1.8730e-05,4.8288e-06,2.3560e-05
43.2610,2.0019e-05,4.5849e-06,2.4604e-05
44.2560,2.1415e-05,4.3453e-06,2.5760e-05
45.2500,2.2897e-05,4.1123e-06,2.7009e-05
46.2440,2.4429e-05,3.8845e-06,2.8314e-05
47.2390,2.6001e-05,3.6556e-06,2.9657e-05
48.2330,2.7889e-05,3.4279e-06,3.1318e-05
49.2280,2.9913e-05,3.2060e-06,3.3122e-05
50.2220,3.2090e-05,2.9947e-06,3.5091e-05
51.2170,3.4470e-05,2.7987e-06,3.7279e-05
52.2110,3.6996e-05,2.6139e-06,3.9627e-05
53.2060,3.9556e-05,2.4439e-06,4.2025e-05
54.2000,4.1754e-05,2.2821e-06,4.4070e-05
55.1940,4.4733e-05,2.1165e-06,4.6888e-05
56.1890,4.8380e-05,1.9478e-06,5.0364e-05
57.1830,5.2341e-05,1.7877e-06,5.4158e-05
58.1780,5.6526e-05,1.6467e-06,5.8193e-05
59.1720,6.1372e-05,1.5502e-06,6.2933e-05
60.1670,6.6782e-05,1.5031e-06,6.8289e-05
61.1610,7.2241e-05,1.5271e-06,7.3771e-05
62.1560,7.7848e-05,1.5943e-06,7.9447e-05
63.1500,8.3378e-05,1.6330e-06,8.5017e-05
64.1440,9.0427e-05,1.6844e-06,9.2117e-05
65.1390,9.8439e-05,1.6956e-06,1.0014e-04
66.1330,1.0736e-04,1.6439e-06,1.0901e-04
67.1280,1.1729e-04,1.5732e-06,1.1886e-04
68.1220,1.2758e-04,1.5034e-06,1.2909e-04
69.1170,1.3894e-04,1.3957e-06,1.4034e-04
70.1110,1.5188e-04,1.3078e-06,1.5318e-04
71.1060,1.6665e-04,1.0723e-06,1.6772e-04
72.1000,1.8243e-04,8.7086e-07,1.8330e-04
73.0940,2.0044e-04,7.3740e-07,2.0118e-04
74.0890,2.1469e-04,6.9976e-07,2.1539e-04
75.0830,2.3986e-04,3.4790e-07,2.4021e-04
76.0780,2.3111e-04,1.0786e-07,2.3122e-04
77.0720,2.3407e-04,5.7228e-09,2.3407e-04
78.0670,2.1595e-04,1.7690e-09,2.1595e-04
79.0610,1.7528e-04,1.5098e-09,1.7528e-04
80.0560,1.5098e-04,9.9769e-10,1.5099e-04
81.0500,1.0664e-04,1.0563e-09,1.0664e-04
82.0440,6.8168e-05,1.1677e-09,6.8169e-05
83.0390,1.4312e-05,6.6148e-10,1.4313e-05
84.0330,1.5566e-06,7.6024e-10,1.5575e-06
85.0280,4.6354e-07,4.7563e-10,4.6401e-07
86.0220,3.5854e-07,2.4214e-10,3.5879e-07
87.0170,3.4912e-07,1.1601e-10,3.4924e-07
88.0110,2.5294e-07,3.3414e-11,2.5298e-07
89.0060,1.4599e-07,5.3379e-12,1.4599e-07
