# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10b for E = 5000.0 keV, L* = 4.5, MLT = 4.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,5.5982e-35,1.2971e-28,1.2971e-28
1.4940,8.7411e-31,1.9401e-24,1.9401e-24
2.4890,8.4536e-29,1.7326e-22,1.7326e-22
3.4830,1.8471e-27,3.3879e-21,3.3879e-21
4.4780,2.0131e-26,3.1615e-20,3.1615e-20
5.4720,1.4818e-25,1.9033e-19,1.9033e-19
6.4670,8.4832e-25,8.5771e-19,8.5771e-19
7.4610,4.0590e-24,3.1470e-18,3.1470e-18
8.4560,1.6892e-23,9.9054e-18,9.9054e-18
9.4500,6.2722e-23,2.7692e-17,2.7692e-17
10.4440,2.1191e-22,7.0453e-17,7.0454e-17
11.4390,6.6446e-22,1.6606e-16,1.6606e-16
12.4330,1.9668e-21,3.6763e-16,3.6764e-16
13.4280,5.2760e-21,7.7243e-16,7.7245e-16
14.4220,1.3061e-20,1.5534e-15,1.5535e-15
15.4170,3.0198e-20,3.0116e-15,3.0118e-15
16.4110,6.5650e-20,5.6622e-15,5.6625e-15
17.4060,1.3476e-19,1.0372e-14,1.0373e-14
18.4000,2.6198e-19,1.8577e-14,1.8578e-14
19.3940,4.8421e-19,3.2615e-14,3.2617e-14
20.3890,8.5646e-19,5.6213e-14,5.6216e-14
21.3830,1.5533e-18,9.5147e-14,9.5153e-14
22.3780,2.9767e-18,1.5809e-13,1.5809e-13
23.3720,5.8808e-18,2.5751e-13,2.5753e-13
24.3670,1.1181e-17,4.1056e-13,4.1058e-13
25.3610,1.9764e-17,6.3922e-13,6.3925e-13
26.3560,3.2964e-17,9.6952e-13,9.6957e-13
27.3500,5.2369e-17,1.4286e-12,1.4287e-12
28.3440,8.0244e-17,2.0399e-12,2.0400e-12
29.3390,1.2061e-16,2.8148e-12,2.8150e-12
30.3330,1.8045e-16,3.7451e-12,3.7454e-12
31.3280,2.7001e-16,4.7947e-12,4.7951e-12
32.3220,4.0430e-16,5.8982e-12,5.8987e-12
33.3170,6.0151e-16,6.9639e-12,6.9646e-12
34.3110,8.8715e-16,7.8843e-12,7.8854e-12
35.3060,1.3002e-15,8.5538e-12,8.5554e-12
36.3000,1.9008e-15,8.8967e-12,8.8989e-12
37.2940,2.7796e-15,8.8949e-12,8.8982e-12
38.2890,4.1297e-15,8.5985e-12,8.6033e-12
39.2830,6.7558e-15,8.1042e-12,8.1122e-12
40.2780,1.2899e-14,7.5101e-12,7.5260e-12
41.2720,2.5887e-14,6.8779e-12,6.9089e-12
42.2670,4.6090e-14,6.2396e-12,6.2913e-12
43.2610,7.0107e-14,5.6346e-12,5.7100e-12
44.2560,9.9675e-14,5.1766e-12,5.2817e-12
45.2500,1.4143e-13,5.1901e-12,5.3361e-12
46.2440,2.0303e-13,5.7623e-12,5.9673e-12
47.2390,2.9608e-13,6.5386e-12,6.8351e-12
48.2330,4.4013e-13,7.3999e-12,7.8401e-12
49.2280,7.3061e-13,8.4430e-12,9.1738e-12
50.2220,1.4670e-12,9.8532e-12,1.1335e-11
51.2170,3.0686e-12,1.1204e-11,1.4382e-11
52.2110,6.4533e-12,1.2409e-11,1.9300e-11
53.2060,1.4217e-11,1.3813e-11,2.9343e-11
54.2000,3.2553e-11,1.6626e-11,5.2478e-11
55.1940,7.0196e-11,2.0848e-11,9.9080e-11
56.1890,1.4263e-10,2.4986e-11,1.8329e-10
57.1830,3.6068e-10,3.0119e-11,4.0793e-10
58.1780,1.0839e-09,3.7520e-11,1.1304e-09
59.1720,2.6085e-09,4.5124e-11,2.6600e-09
60.1670,5.8244e-09,5.4158e-11,5.8844e-09
61.1610,1.2278e-08,6.6867e-11,1.2351e-08
62.1560,2.3628e-08,8.1142e-11,2.3716e-08
63.1500,4.3970e-08,9.8456e-11,4.4076e-08
64.1440,7.3512e-08,4.9022e-10,7.4155e-08
65.1390,1.1885e-07,1.6234e-09,1.2269e-07
66.1330,1.9096e-07,2.4638e-09,1.9803e-07
67.1280,2.8993e-07,3.5449e-09,3.0177e-07
68.1220,4.1046e-07,1.2087e-08,4.2676e-07
69.1170,5.5431e-07,2.6595e-08,5.8186e-07
70.1110,6.6304e-07,4.5201e-08,7.1034e-07
71.1060,8.2052e-07,6.4800e-08,8.8985e-07
72.1000,9.2388e-07,8.9231e-08,1.0214e-06
73.0940,9.7796e-07,1.2328e-07,1.1056e-06
74.0890,1.0746e-06,1.5673e-07,1.2326e-06
75.0830,1.1532e-06,1.8375e-07,1.3370e-06
76.0780,1.2581e-06,2.1635e-07,1.4745e-06
77.0720,1.3226e-06,2.4512e-07,1.5680e-06
78.0670,1.6248e-06,2.5910e-07,1.8889e-06
79.0610,1.8190e-06,2.9069e-07,2.1122e-06
80.0560,2.3973e-06,3.2110e-07,2.7269e-06
81.0500,2.4585e-06,3.8435e-07,2.8433e-06
82.0440,3.5202e-06,4.7841e-07,4.0039e-06
83.0390,3.3812e-06,5.3635e-07,3.9179e-06
84.0330,3.4515e-06,6.4474e-07,4.1053e-06
85.0280,4.0713e-06,7.6001e-07,4.8542e-06
86.0220,3.7553e-06,8.8562e-07,4.6540e-06
87.0170,3.8908e-06,8.8911e-07,4.7824e-06
88.0110,3.8213e-06,9.1712e-07,4.7384e-06
89.0060,3.9526e-06,8.4749e-07,4.8001e-06
