# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10bb for E = 100.0 keV, L* = 4.5, MLT = 10.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.5343e-04,1.3993e-04,2.9342e-04
1.4940,1.5463e-04,1.4098e-04,2.9567e-04
2.4890,1.5588e-04,1.4204e-04,2.9798e-04
3.4830,1.5717e-04,1.4312e-04,3.0036e-04
4.4780,1.5853e-04,1.4420e-04,3.0279e-04
5.4720,1.5993e-04,1.4528e-04,3.0528e-04
6.4670,1.6139e-04,1.4637e-04,3.0783e-04
7.4610,1.6290e-04,1.4744e-04,3.1042e-04
8.4560,1.6447e-04,1.4851e-04,3.1305e-04
9.4500,1.6609e-04,1.4955e-04,3.1572e-04
10.4440,1.6776e-04,1.5057e-04,3.1841e-04
11.4390,1.6948e-04,1.5155e-04,3.2112e-04
12.4330,1.7125e-04,1.5248e-04,3.2383e-04
13.4280,1.7308e-04,1.5335e-04,3.2653e-04
14.4220,1.7495e-04,1.5414e-04,3.2921e-04
15.4170,1.7688e-04,1.5485e-04,3.3184e-04
16.4110,1.7886e-04,1.5544e-04,3.3442e-04
17.4060,1.8088e-04,1.5590e-04,3.3692e-04
18.4000,1.8296e-04,1.5621e-04,3.3932e-04
19.3940,1.8510e-04,1.5634e-04,3.4160e-04
20.3890,1.8729e-04,1.5627e-04,3.4374e-04
21.3830,1.8953e-04,1.5598e-04,3.4570e-04
22.3780,1.9180e-04,1.5541e-04,3.4743e-04
23.3720,1.9410e-04,1.5456e-04,3.4889e-04
24.3670,1.9643e-04,1.5336e-04,3.5005e-04
25.3610,1.9877e-04,1.5180e-04,3.5086e-04
26.3560,2.0114e-04,1.4982e-04,3.5127e-04
27.3500,2.0350e-04,1.4738e-04,3.5123e-04
28.3440,2.0588e-04,1.4445e-04,3.5071e-04
29.3390,2.0828e-04,1.4098e-04,3.4968e-04
30.3330,2.1069e-04,1.3694e-04,3.4808e-04
31.3280,2.1307e-04,1.3231e-04,3.4587e-04
32.3220,2.1541e-04,1.2707e-04,3.4300e-04
33.3170,2.1769e-04,1.2123e-04,3.3946e-04
34.3110,2.1990e-04,1.1478e-04,3.3525e-04
35.3060,2.2203e-04,1.0775e-04,3.3036e-04
36.3000,2.2406e-04,1.0020e-04,3.2483e-04
37.2940,2.2598e-04,9.2182e-05,3.1871e-04
38.2890,2.2779e-04,8.3800e-05,3.1212e-04
39.2830,2.2947e-04,7.5114e-05,3.0509e-04
40.2780,2.3097e-04,6.6186e-05,2.9763e-04
41.2720,2.3224e-04,5.7088e-05,2.8977e-04
42.2670,2.3326e-04,4.7947e-05,2.8161e-04
43.2610,2.3402e-04,3.8983e-05,2.7335e-04
44.2560,2.3439e-04,3.0452e-05,2.6512e-04
45.2500,2.3438e-04,2.2732e-05,2.5737e-04
46.2440,2.3405e-04,1.5906e-05,2.5020e-04
47.2390,2.3316e-04,1.0136e-05,2.4352e-04
48.2330,2.3177e-04,1.0541e-05,2.4235e-04
49.2280,2.3000e-04,9.2571e-06,2.3927e-04
50.2220,2.2766e-04,8.2589e-06,2.3592e-04
51.2170,2.2475e-04,8.2876e-06,2.3305e-04
52.2110,2.2194e-04,8.8732e-06,2.3084e-04
53.2060,2.1929e-04,6.9793e-06,2.2629e-04
54.2000,2.1671e-04,2.2588e-08,2.1673e-04
55.1940,2.1431e-04,1.8778e-08,2.1433e-04
56.1890,2.1209e-04,1.6889e-08,2.1211e-04
57.1830,2.1022e-04,1.6210e-08,2.1024e-04
58.1780,2.0872e-04,1.2778e-08,2.0874e-04
59.1720,2.0752e-04,1.1322e-08,2.0753e-04
60.1670,2.0633e-04,1.0110e-08,2.0634e-04
61.1610,2.0547e-04,8.6653e-09,2.0548e-04
62.1560,2.0502e-04,7.1520e-09,2.0502e-04
63.1500,2.0483e-04,5.6570e-09,2.0483e-04
64.1440,2.0472e-04,3.9702e-09,2.0472e-04
65.1390,2.0426e-04,3.0901e-09,2.0426e-04
66.1330,2.0346e-04,3.3977e-09,2.0347e-04
67.1280,2.0233e-04,4.4678e-09,2.0234e-04
68.1220,2.0009e-04,5.4825e-09,2.0009e-04
69.1170,1.9575e-04,6.6545e-09,1.9575e-04
70.1110,1.8914e-04,7.1680e-09,1.8915e-04
71.1060,1.7981e-04,6.2388e-09,1.7981e-04
72.1000,1.6745e-04,4.0335e-09,1.6746e-04
73.0940,1.5062e-04,2.3562e-09,1.5062e-04
74.0890,1.3218e-04,1.5818e-09,1.3218e-04
75.0830,1.1521e-04,8.7466e-10,1.1521e-04
76.0780,9.5552e-05,2.9650e-10,9.5552e-05
77.0720,8.1550e-05,1.3241e-11,8.1550e-05
78.0670,6.7979e-05,1.0000e-31,6.7979e-05
79.0610,5.4821e-05,1.0000e-31,5.4821e-05
80.0560,3.5795e-05,1.0000e-31,3.5795e-05
81.0500,2.9262e-05,1.0000e-31,2.9262e-05
82.0440,2.2752e-05,1.0000e-31,2.2752e-05
83.0390,1.9190e-05,1.0000e-31,1.9190e-05
84.0330,1.4670e-05,1.0000e-31,1.4670e-05
85.0280,1.0864e-05,1.0000e-31,1.0864e-05
86.0220,7.7543e-06,1.0000e-31,7.7543e-06
87.0170,4.5760e-06,1.0000e-31,4.5760e-06
88.0110,2.4206e-06,1.0000e-31,2.4206e-06
89.0060,1.1747e-06,1.0000e-31,1.1747e-06
