# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10c for E = 5000.0 keV, L* = 4.5, MLT = 7.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,6.7678e-11,1.7810e-16,6.7678e-11
1.4940,6.9583e-11,4.0013e-15,6.9588e-11
2.4890,7.2931e-11,1.8922e-14,7.2951e-11
3.4830,7.7773e-11,5.7553e-14,7.7831e-11
4.4780,8.4168e-11,1.4166e-13,8.4309e-11
5.4720,9.2265e-11,3.0733e-13,9.2573e-11
6.4670,1.0285e-10,6.1364e-13,1.0346e-10
7.4610,1.1582e-10,1.1601e-12,1.1698e-10
8.4560,1.3026e-10,2.1242e-12,1.3239e-10
9.4500,1.4619e-10,3.8435e-12,1.5004e-10
10.4440,1.6311e-10,6.9800e-12,1.7009e-10
11.4390,1.8023e-10,1.2814e-11,1.9306e-10
12.4330,1.9795e-10,2.3689e-11,2.2166e-10
13.4280,2.1078e-10,4.3546e-11,2.5433e-10
14.4220,2.1845e-10,7.8319e-11,2.9680e-10
15.4170,2.2701e-10,1.3568e-10,3.6300e-10
16.4110,2.4177e-10,2.2346e-10,4.6606e-10
17.4060,2.5891e-10,3.4620e-10,6.0655e-10
18.4000,2.7237e-10,5.0015e-10,7.7329e-10
19.3940,2.7956e-10,6.6889e-10,9.4874e-10
20.3890,2.9171e-10,8.2361e-10,1.1153e-09
21.3830,3.1757e-10,9.3246e-10,1.2502e-09
22.3780,3.6366e-10,9.7933e-10,1.3452e-09
23.3720,4.0773e-10,9.8375e-10,1.4000e-09
24.3670,4.7958e-10,1.0039e-09,1.5027e-09
25.3610,5.6292e-10,1.1029e-09,1.6948e-09
26.3560,6.6685e-10,1.2920e-09,1.9928e-09
27.3500,7.4225e-10,1.5078e-09,2.2891e-09
28.3440,8.5369e-10,1.6487e-09,2.5541e-09
29.3390,9.7908e-10,1.6444e-09,2.6869e-09
30.3330,1.0973e-09,1.4999e-09,2.6563e-09
31.3280,1.2134e-09,1.2683e-09,2.5272e-09
32.3220,1.3803e-09,1.0047e-09,2.4195e-09
33.3170,1.5629e-09,7.6571e-10,2.3505e-09
34.3110,1.7664e-09,6.1629e-10,2.3960e-09
35.3060,2.0587e-09,5.9180e-10,2.6680e-09
36.3000,2.4384e-09,6.5577e-10,3.1262e-09
37.2940,2.9801e-09,7.2537e-10,3.7602e-09
38.2890,3.6263e-09,7.3364e-10,4.4253e-09
39.2830,4.4108e-09,6.6812e-10,5.1432e-09
40.2780,5.4817e-09,5.8385e-10,6.1166e-09
41.2720,6.7223e-09,5.4968e-10,7.3053e-09
42.2670,8.0645e-09,5.8782e-10,8.6755e-09
43.2610,9.4535e-09,6.5206e-10,1.0124e-08
44.2560,1.0713e-08,6.9139e-10,1.1423e-08
45.2500,1.2118e-08,7.0056e-10,1.2839e-08
46.2440,1.3769e-08,7.1012e-10,1.4504e-08
47.2390,1.5869e-08,7.3816e-10,1.6632e-08
48.2330,1.8098e-08,7.6674e-10,1.8888e-08
49.2280,2.0750e-08,7.8999e-10,2.1560e-08
50.2220,2.4115e-08,8.2838e-10,2.4962e-08
51.2170,2.8548e-08,8.6152e-10,2.9425e-08
52.2110,3.3699e-08,9.0284e-10,3.4619e-08
53.2060,3.9829e-08,9.4110e-10,4.0787e-08
54.2000,4.6429e-08,9.8871e-10,4.7434e-08
55.1940,5.4150e-08,1.0445e-09,5.5208e-08
56.1890,6.3265e-08,1.1083e-09,6.4386e-08
57.1830,7.4711e-08,1.1838e-09,7.5904e-08
58.1780,8.8217e-08,1.2660e-09,8.9491e-08
59.1720,1.0336e-07,1.3692e-09,1.0474e-07
60.1670,1.2028e-07,1.4722e-09,1.2176e-07
61.1610,1.4102e-07,1.5782e-09,1.4260e-07
62.1560,1.6527e-07,1.6750e-09,1.6695e-07
63.1500,1.9394e-07,1.8156e-09,1.9575e-07
64.1440,2.2522e-07,1.9223e-09,2.2714e-07
65.1390,2.6194e-07,2.0012e-09,2.6394e-07
66.1330,2.9869e-07,2.0296e-09,3.0072e-07
67.1280,3.4102e-07,2.1086e-09,3.4313e-07
68.1220,3.8230e-07,2.2142e-09,3.8452e-07
69.1170,4.2492e-07,2.3578e-09,4.2728e-07
70.1110,4.7684e-07,2.5020e-09,4.7934e-07
71.1060,5.2044e-07,2.5492e-09,5.2298e-07
72.1000,5.6988e-07,2.3513e-09,5.7224e-07
73.0940,6.1523e-07,2.0589e-09,6.1729e-07
74.0890,6.6456e-07,1.6578e-09,6.6622e-07
75.0830,6.9574e-07,1.1575e-09,6.9690e-07
76.0780,7.3980e-07,5.9585e-10,7.4039e-07
77.0720,7.9736e-07,8.5144e-11,7.9745e-07
78.0670,8.2519e-07,6.2336e-12,8.2519e-07
79.0610,8.5334e-07,5.7808e-12,8.5335e-07
80.0560,9.7671e-07,5.0265e-12,9.7672e-07
81.0500,9.6204e-07,4.1880e-12,9.6205e-07
82.0440,1.0287e-06,3.3598e-12,1.0287e-06
83.0390,1.1031e-06,2.2342e-12,1.1031e-06
84.0330,1.0711e-06,1.8612e-12,1.0711e-06
85.0280,1.1113e-06,2.0551e-12,1.1113e-06
86.0220,1.0807e-06,2.2992e-12,1.0807e-06
87.0170,1.1176e-06,2.3781e-12,1.1176e-06
88.0110,1.0528e-06,2.6084e-12,1.0528e-06
89.0060,1.0620e-06,2.5223e-12,1.0620e-06
