# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10cc for E = 100.0 keV, L* = 4.5, MLT = 13.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.1517e-04,1.0000e-31,1.1517e-04
1.4940,1.1615e-04,1.0000e-31,1.1615e-04
2.4890,1.1725e-04,1.0000e-31,1.1725e-04
3.4830,1.1848e-04,1.0000e-31,1.1848e-04
4.4780,1.1985e-04,1.0000e-31,1.1985e-04
5.4720,1.2137e-04,1.0000e-31,1.2137e-04
6.4670,1.2306e-04,1.0000e-31,1.2306e-04
7.4610,1.2494e-04,1.0000e-31,1.2494e-04
8.4560,1.2705e-04,1.0000e-31,1.2705e-04
9.4500,1.2942e-04,1.0000e-31,1.2942e-04
10.4440,1.3209e-04,1.0000e-31,1.3209e-04
11.4390,1.3509e-04,1.0000e-31,1.3509e-04
12.4330,1.3845e-04,1.0000e-31,1.3845e-04
13.4280,1.4214e-04,1.0000e-31,1.4214e-04
14.4220,1.4615e-04,1.0000e-31,1.4615e-04
15.4170,1.5045e-04,1.0000e-31,1.5045e-04
16.4110,1.5499e-04,1.0000e-31,1.5499e-04
17.4060,1.5972e-04,1.0000e-31,1.5972e-04
18.4000,1.6451e-04,1.0000e-31,1.6451e-04
19.3940,1.6917e-04,1.0000e-31,1.6917e-04
20.3890,1.7351e-04,1.0000e-31,1.7351e-04
21.3830,1.7752e-04,1.0000e-31,1.7752e-04
22.3780,1.8147e-04,1.0000e-31,1.8147e-04
23.3720,1.8555e-04,1.0000e-31,1.8555e-04
24.3670,1.8998e-04,1.0000e-31,1.8998e-04
25.3610,1.9501e-04,1.0000e-31,1.9501e-04
26.3560,2.0098e-04,1.0000e-31,2.0098e-04
27.3500,2.0804e-04,1.0000e-31,2.0804e-04
28.3440,2.1578e-04,1.0000e-31,2.1578e-04
29.3390,2.2354e-04,1.0000e-31,2.2354e-04
30.3330,2.3053e-04,1.0000e-31,2.3053e-04
31.3280,2.3586e-04,1.0000e-31,2.3586e-04
32.3220,2.3974e-04,1.0000e-31,2.3974e-04
33.3170,2.4303e-04,1.0000e-31,2.4303e-04
34.3110,2.4614e-04,1.0000e-31,2.4614e-04
35.3060,2.4982e-04,1.0000e-31,2.4982e-04
36.3000,2.5503e-04,1.0000e-31,2.5503e-04
37.2940,2.6142e-04,1.0000e-31,2.6142e-04
38.2890,2.6700e-04,1.0000e-31,2.6700e-04
39.2830,2.6979e-04,1.0000e-31,2.6979e-04
40.2780,2.7036e-04,1.0000e-31,2.7036e-04
41.2720,2.7056e-04,1.0000e-31,2.7056e-04
42.2670,2.7068e-04,1.0000e-31,2.7068e-04
43.2610,2.7101e-04,1.0000e-31,2.7101e-04
44.2560,2.7187e-04,1.0000e-31,2.7187e-04
45.2500,2.7075e-04,1.0000e-31,2.7075e-04
46.2440,2.6578e-04,1.0000e-31,2.6578e-04
47.2390,2.5965e-04,1.0000e-31,2.5965e-04
48.2330,2.5315e-04,1.0000e-31,2.5315e-04
49.2280,2.4718e-04,1.0000e-31,2.4718e-04
50.2220,2.4182e-04,1.0000e-31,2.4182e-04
51.2170,2.3547e-04,1.0000e-31,2.3547e-04
52.2110,2.3020e-04,1.0000e-31,2.3020e-04
53.2060,2.2783e-04,1.0000e-31,2.2783e-04
54.2000,2.1920e-04,1.0000e-31,2.1920e-04
55.1940,2.1156e-04,1.0000e-31,2.1156e-04
56.1890,2.0331e-04,1.0000e-31,2.0331e-04
57.1830,1.9626e-04,1.0000e-31,1.9626e-04
58.1780,1.9767e-04,1.0000e-31,1.9767e-04
59.1720,2.0159e-04,1.0000e-31,2.0159e-04
60.1670,1.9613e-04,1.0000e-31,1.9613e-04
61.1610,1.9328e-04,1.0000e-31,1.9328e-04
62.1560,1.9299e-04,1.0000e-31,1.9299e-04
63.1500,1.9359e-04,1.0000e-31,1.9359e-04
64.1440,1.9364e-04,1.0000e-31,1.9364e-04
65.1390,1.9298e-04,1.0000e-31,1.9298e-04
66.1330,1.9263e-04,1.0000e-31,1.9263e-04
67.1280,1.9211e-04,1.0000e-31,1.9211e-04
68.1220,1.9074e-04,1.0000e-31,1.9074e-04
69.1170,1.8826e-04,1.0000e-31,1.8826e-04
70.1110,1.8515e-04,1.0000e-31,1.8515e-04
71.1060,1.8062e-04,1.0000e-31,1.8062e-04
72.1000,1.7334e-04,1.0000e-31,1.7334e-04
73.0940,1.6339e-04,1.0000e-31,1.6339e-04
74.0890,1.5029e-04,1.0000e-31,1.5029e-04
75.0830,1.3291e-04,1.0000e-31,1.3291e-04
76.0780,1.1328e-04,1.0000e-31,1.1328e-04
77.0720,9.0907e-05,1.0000e-31,9.0907e-05
78.0670,6.5149e-05,1.0000e-31,6.5149e-05
79.0610,4.0224e-05,1.0000e-31,4.0224e-05
80.0560,2.6276e-05,1.0000e-31,2.6276e-05
81.0500,1.8917e-05,1.0000e-31,1.8917e-05
82.0440,1.5915e-05,1.0000e-31,1.5915e-05
83.0390,1.3293e-05,1.0000e-31,1.3293e-05
84.0330,1.6625e-05,1.0000e-31,1.6625e-05
85.0280,2.1647e-05,1.0000e-31,2.1647e-05
86.0220,3.0901e-05,1.0000e-31,3.0901e-05
87.0170,6.3776e-05,1.0000e-31,6.3776e-05
88.0110,2.8685e-04,1.0000e-31,2.8685e-04
89.0060,9.7420e-05,1.0000e-31,9.7420e-05
