# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10d for E = 5000.0 keV, L* = 4.5, MLT = 10.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.5688e-08,6.5328e-25,3.5688e-08
1.4940,3.6324e-08,1.4747e-20,3.6324e-08
2.4890,3.7339e-08,2.0802e-18,3.7339e-08
3.4830,3.8709e-08,6.2082e-17,3.8709e-08
4.4780,4.0363e-08,8.4845e-16,4.0363e-08
5.4720,4.2202e-08,7.2021e-15,4.2202e-08
6.4670,4.4159e-08,4.4276e-14,4.4159e-08
7.4610,4.6287e-08,2.1550e-13,4.6287e-08
8.4560,4.8531e-08,8.7875e-13,4.8532e-08
9.4500,5.0763e-08,3.1161e-12,5.0767e-08
10.4440,5.3976e-08,9.8624e-12,5.3987e-08
11.4390,5.8180e-08,2.8386e-11,5.8212e-08
12.4330,6.2067e-08,7.5327e-11,6.2149e-08
13.4280,6.4430e-08,1.8619e-10,6.4629e-08
14.4220,6.5612e-08,4.3191e-10,6.6067e-08
15.4170,6.6713e-08,9.4551e-10,6.7697e-08
16.4110,6.7021e-08,1.9610e-09,6.9041e-08
17.4060,6.4870e-08,3.8644e-09,6.8840e-08
18.4000,6.4559e-08,7.2497e-09,7.2006e-08
19.3940,6.3461e-08,1.2965e-08,7.6646e-08
20.3890,6.1657e-08,2.2122e-08,8.3861e-08
21.3830,6.1055e-08,3.6057e-08,9.7119e-08
22.3780,6.2264e-08,5.6202e-08,1.1847e-07
23.3720,6.3744e-08,8.3919e-08,1.4774e-07
24.3670,6.4782e-08,1.2031e-07,1.8524e-07
25.3610,6.5334e-08,1.6604e-07,2.3149e-07
26.3560,6.6312e-08,2.2127e-07,2.8773e-07
27.3500,6.7400e-08,2.8565e-07,3.5330e-07
28.3440,6.9679e-08,3.5825e-07,4.2828e-07
29.3390,7.3805e-08,4.3760e-07,5.1182e-07
30.3330,7.9339e-08,5.2176e-07,6.0161e-07
31.3280,8.5946e-08,6.0842e-07,6.9488e-07
32.3220,9.4133e-08,6.9512e-07,7.8984e-07
33.3170,1.0683e-07,7.7937e-07,8.8706e-07
34.3110,1.1735e-07,8.5879e-07,9.7691e-07
35.3060,1.3047e-07,9.3111e-07,1.0625e-06
36.3000,1.4658e-07,9.9449e-07,1.1420e-06
37.2940,1.6567e-07,1.0480e-06,1.2147e-06
38.2890,1.8964e-07,1.0917e-06,1.2823e-06
39.2830,2.1501e-07,1.1252e-06,1.3412e-06
40.2780,2.4652e-07,1.1475e-06,1.3950e-06
41.2720,2.8233e-07,1.1584e-06,1.4416e-06
42.2670,3.1889e-07,1.1532e-06,1.4730e-06
43.2610,3.5628e-07,1.1296e-06,1.4867e-06
44.2560,3.8559e-07,1.0897e-06,1.4757e-06
45.2500,4.1370e-07,1.0311e-06,1.4451e-06
46.2440,4.4739e-07,9.6009e-07,1.4077e-06
47.2390,4.8331e-07,8.6435e-07,1.3477e-06
48.2330,5.2084e-07,7.4182e-07,1.2627e-06
49.2280,5.6009e-07,5.6719e-07,1.1273e-06
50.2220,6.0406e-07,4.0029e-07,1.0044e-06
51.2170,6.5357e-07,2.5094e-07,9.0451e-07
52.2110,7.0718e-07,1.2395e-07,8.3114e-07
53.2060,7.5695e-07,3.2605e-08,7.8956e-07
54.2000,8.0529e-07,1.4419e-11,8.0530e-07
55.1940,8.4478e-07,1.3817e-11,8.4479e-07
56.1890,8.8742e-07,1.2340e-11,8.8743e-07
57.1830,9.2531e-07,9.2667e-12,9.2532e-07
58.1780,9.5848e-07,5.7720e-12,9.5849e-07
59.1720,9.9463e-07,3.1399e-12,9.9463e-07
60.1670,1.0201e-06,2.7080e-12,1.0201e-06
61.1610,1.0522e-06,2.8518e-12,1.0522e-06
62.1560,1.0777e-06,3.1266e-12,1.0777e-06
63.1500,1.1177e-06,3.5441e-12,1.1177e-06
64.1440,1.1506e-06,4.0625e-12,1.1507e-06
65.1390,1.1967e-06,4.5641e-12,1.1968e-06
66.1330,1.2545e-06,5.2972e-12,1.2546e-06
67.1280,1.3228e-06,5.9120e-12,1.3228e-06
68.1220,1.4116e-06,6.3707e-12,1.4116e-06
69.1170,1.4804e-06,6.7275e-12,1.4804e-06
70.1110,1.5741e-06,7.2133e-12,1.5741e-06
71.1060,1.6932e-06,7.3918e-12,1.6933e-06
72.1000,1.8317e-06,6.5145e-12,1.8317e-06
73.0940,1.9933e-06,5.5558e-12,1.9933e-06
74.0890,2.1523e-06,4.4610e-12,2.1523e-06
75.0830,2.3427e-06,3.3772e-12,2.3427e-06
76.0780,2.5342e-06,1.8427e-12,2.5342e-06
77.0720,2.6135e-06,2.6169e-13,2.6135e-06
78.0670,2.8256e-06,1.0000e-31,2.8256e-06
79.0610,2.8413e-06,1.0000e-31,2.8413e-06
80.0560,2.9007e-06,1.0000e-31,2.9007e-06
81.0500,2.5690e-06,1.0000e-31,2.5690e-06
82.0440,3.1233e-06,1.0000e-31,3.1233e-06
83.0390,2.2416e-06,1.0000e-31,2.2416e-06
84.0330,2.4124e-06,1.0000e-31,2.4124e-06
85.0280,2.4275e-06,1.0000e-31,2.4275e-06
86.0220,2.2929e-06,1.0000e-31,2.2929e-06
87.0170,2.3037e-06,1.0000e-31,2.3037e-06
88.0110,2.5174e-06,1.0000e-31,2.5174e-06
89.0060,1.9888e-06,1.0000e-31,1.9888e-06
