# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10dd for E = 100.0 keV, L* = 4.5, MLT = 16.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.8294e-08,1.0000e-31,2.8294e-08
1.4940,2.8517e-08,1.0000e-31,2.8517e-08
2.4890,2.8752e-08,1.0000e-31,2.8752e-08
3.4830,2.8999e-08,1.0000e-31,2.8999e-08
4.4780,2.9260e-08,1.0000e-31,2.9260e-08
5.4720,2.9535e-08,1.0000e-31,2.9535e-08
6.4670,2.9824e-08,1.0000e-31,2.9824e-08
7.4610,3.0128e-08,1.0000e-31,3.0128e-08
8.4560,3.0448e-08,1.0000e-31,3.0448e-08
9.4500,3.0786e-08,1.0000e-31,3.0786e-08
10.4440,3.1142e-08,1.0000e-31,3.1142e-08
11.4390,3.1516e-08,1.0000e-31,3.1516e-08
12.4330,3.1911e-08,1.0000e-31,3.1911e-08
13.4280,3.2324e-08,1.0000e-31,3.2324e-08
14.4220,3.2755e-08,1.0000e-31,3.2755e-08
15.4170,3.3205e-08,1.0000e-31,3.3205e-08
16.4110,3.3671e-08,1.0000e-31,3.3671e-08
17.4060,3.4156e-08,1.0000e-31,3.4156e-08
18.4000,3.4663e-08,1.0000e-31,3.4663e-08
19.3940,3.5197e-08,1.0000e-31,3.5197e-08
20.3890,3.5762e-08,1.0000e-31,3.5762e-08
21.3830,3.6357e-08,1.0000e-31,3.6357e-08
22.3780,3.6980e-08,1.0000e-31,3.6980e-08
23.3720,3.7637e-08,1.0000e-31,3.7637e-08
24.3670,3.8369e-08,1.0000e-31,3.8369e-08
25.3610,3.9211e-08,1.0000e-31,3.9211e-08
26.3560,4.0093e-08,1.0000e-31,4.0093e-08
27.3500,4.1014e-08,1.0000e-31,4.1014e-08
28.3440,4.2057e-08,1.0000e-31,4.2057e-08
29.3390,4.3468e-08,1.0000e-31,4.3468e-08
30.3330,4.5631e-08,1.0000e-31,4.5631e-08
31.3280,4.8168e-08,1.0000e-31,4.8168e-08
32.3220,4.9929e-08,1.0000e-31,4.9929e-08
33.3170,5.1015e-08,1.0000e-31,5.1015e-08
34.3110,5.1983e-08,1.0000e-31,5.1983e-08
35.3060,5.2854e-08,1.0000e-31,5.2854e-08
36.3000,5.3708e-08,1.0000e-31,5.3708e-08
37.2940,5.4719e-08,1.0000e-31,5.4719e-08
38.2890,5.6135e-08,1.0000e-31,5.6135e-08
39.2830,5.7573e-08,1.0000e-31,5.7573e-08
40.2780,5.9257e-08,1.0000e-31,5.9257e-08
41.2720,6.2549e-08,1.0000e-31,6.2549e-08
42.2670,6.8121e-08,1.0000e-31,6.8121e-08
43.2610,7.1019e-08,1.0000e-31,7.1019e-08
44.2560,7.1971e-08,1.0000e-31,7.1971e-08
45.2500,7.2630e-08,1.0000e-31,7.2630e-08
46.2440,7.3228e-08,1.0000e-31,7.3228e-08
47.2390,7.3754e-08,1.0000e-31,7.3754e-08
48.2330,7.4200e-08,1.0000e-31,7.4200e-08
49.2280,7.4593e-08,1.0000e-31,7.4593e-08
50.2220,7.4936e-08,1.0000e-31,7.4936e-08
51.2170,7.5237e-08,1.0000e-31,7.5237e-08
52.2110,7.5571e-08,1.0000e-31,7.5571e-08
53.2060,7.6193e-08,1.0000e-31,7.6193e-08
54.2000,7.6966e-08,1.0000e-31,7.6966e-08
55.1940,7.7615e-08,1.0000e-31,7.7615e-08
56.1890,7.8104e-08,1.0000e-31,7.8104e-08
57.1830,7.8422e-08,1.0000e-31,7.8422e-08
58.1780,7.8709e-08,1.0000e-31,7.8709e-08
59.1720,7.9589e-08,1.0000e-31,7.9589e-08
60.1670,8.1032e-08,1.0000e-31,8.1032e-08
61.1610,8.2407e-08,1.0000e-31,8.2407e-08
62.1560,8.3520e-08,1.0000e-31,8.3520e-08
63.1500,8.4417e-08,1.0000e-31,8.4417e-08
64.1440,8.5029e-08,1.0000e-31,8.5029e-08
65.1390,8.5273e-08,1.0000e-31,8.5273e-08
66.1330,8.4835e-08,1.0000e-31,8.4835e-08
67.1280,8.3752e-08,1.0000e-31,8.3752e-08
68.1220,8.1818e-08,1.0000e-31,8.1818e-08
69.1170,7.8676e-08,1.0000e-31,7.8676e-08
70.1110,7.4140e-08,1.0000e-31,7.4140e-08
71.1060,6.8196e-08,1.0000e-31,6.8196e-08
72.1000,6.0882e-08,1.0000e-31,6.0882e-08
73.0940,5.2458e-08,1.0000e-31,5.2458e-08
74.0890,4.3544e-08,1.0000e-31,4.3544e-08
75.0830,3.7852e-08,1.0000e-31,3.7852e-08
76.0780,3.3379e-08,1.0000e-31,3.3379e-08
77.0720,3.0296e-08,1.0000e-31,3.0296e-08
78.0670,3.1645e-08,1.0000e-31,3.1645e-08
79.0610,3.2312e-08,1.0000e-31,3.2312e-08
80.0560,3.3621e-08,1.0000e-31,3.3621e-08
81.0500,3.5939e-08,1.0000e-31,3.5939e-08
82.0440,3.8174e-08,1.0000e-31,3.8174e-08
83.0390,3.6990e-08,1.0000e-31,3.6990e-08
84.0330,3.6323e-08,1.0000e-31,3.6323e-08
85.0280,3.3084e-08,1.0000e-31,3.3084e-08
86.0220,3.7829e-08,1.0000e-31,3.7829e-08
87.0170,8.8520e-08,1.0000e-31,8.8520e-08
88.0110,1.6008e-07,1.0000e-31,1.6008e-07
89.0060,7.8948e-08,1.0000e-31,7.8948e-08
