# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10e for E = 5000.0 keV, L* = 4.5, MLT = 13.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,7.9102e-09,1.0000e-31,7.9102e-09
1.4940,8.1348e-09,1.0000e-31,8.1348e-09
2.4890,8.5944e-09,1.0000e-31,8.5944e-09
3.4830,9.4701e-09,1.0000e-31,9.4701e-09
4.4780,1.1034e-08,1.0000e-31,1.1034e-08
5.4720,1.3220e-08,1.0000e-31,1.3220e-08
6.4670,1.5295e-08,1.0000e-31,1.5295e-08
7.4610,1.7116e-08,1.0000e-31,1.7116e-08
8.4560,1.8725e-08,1.0000e-31,1.8725e-08
9.4500,2.0117e-08,1.0000e-31,2.0117e-08
10.4440,2.1231e-08,1.0000e-31,2.1231e-08
11.4390,2.2057e-08,1.0000e-31,2.2057e-08
12.4330,2.2675e-08,1.0000e-31,2.2675e-08
13.4280,2.2211e-08,1.0000e-31,2.2211e-08
14.4220,2.0349e-08,1.0000e-31,2.0349e-08
15.4170,1.9367e-08,1.0000e-31,1.9367e-08
16.4110,1.9218e-08,1.0000e-31,1.9218e-08
17.4060,1.7628e-08,1.0000e-31,1.7628e-08
18.4000,1.6702e-08,1.0000e-31,1.6702e-08
19.3940,1.7230e-08,1.0000e-31,1.7230e-08
20.3890,1.7253e-08,1.0000e-31,1.7253e-08
21.3830,1.7304e-08,1.0000e-31,1.7304e-08
22.3780,1.7442e-08,1.0000e-31,1.7442e-08
23.3720,1.8220e-08,1.0000e-31,1.8220e-08
24.3670,1.9922e-08,1.0000e-31,1.9922e-08
25.3610,2.2384e-08,1.0000e-31,2.2384e-08
26.3560,2.4917e-08,1.0000e-31,2.4917e-08
27.3500,3.0315e-08,1.0000e-31,3.0315e-08
28.3440,3.9692e-08,1.0000e-31,3.9692e-08
29.3390,5.0400e-08,1.0000e-31,5.0400e-08
30.3330,5.7129e-08,1.0000e-31,5.7129e-08
31.3280,6.3547e-08,1.0000e-31,6.3547e-08
32.3220,7.2590e-08,1.0000e-31,7.2590e-08
33.3170,8.3929e-08,1.0000e-31,8.3929e-08
34.3110,9.8004e-08,1.0000e-31,9.8004e-08
35.3060,1.1558e-07,1.0000e-31,1.1558e-07
36.3000,1.3866e-07,1.0000e-31,1.3866e-07
37.2940,1.7344e-07,1.0000e-31,1.7344e-07
38.2890,2.2202e-07,1.0000e-31,2.2202e-07
39.2830,2.8105e-07,1.0000e-31,2.8105e-07
40.2780,3.6047e-07,1.0000e-31,3.6047e-07
41.2720,4.5515e-07,1.0000e-31,4.5515e-07
42.2670,5.5463e-07,1.0000e-31,5.5463e-07
43.2610,6.3714e-07,1.0000e-31,6.3714e-07
44.2560,6.9504e-07,1.0000e-31,6.9504e-07
45.2500,7.4063e-07,1.0000e-31,7.4063e-07
46.2440,7.9726e-07,1.0000e-31,7.9726e-07
47.2390,8.5488e-07,1.0000e-31,8.5488e-07
48.2330,9.2208e-07,1.0000e-31,9.2208e-07
49.2280,9.8544e-07,1.0000e-31,9.8544e-07
50.2220,1.0519e-06,1.0000e-31,1.0519e-06
51.2170,1.1021e-06,1.0000e-31,1.1021e-06
52.2110,1.1487e-06,1.0000e-31,1.1487e-06
53.2060,1.1859e-06,1.0000e-31,1.1859e-06
54.2000,1.2165e-06,1.0000e-31,1.2165e-06
55.1940,1.2334e-06,1.0000e-31,1.2334e-06
56.1890,1.2306e-06,1.0000e-31,1.2306e-06
57.1830,1.2040e-06,1.0000e-31,1.2040e-06
58.1780,1.1606e-06,1.0000e-31,1.1606e-06
59.1720,1.0984e-06,1.0000e-31,1.0984e-06
60.1670,1.0200e-06,1.0000e-31,1.0200e-06
61.1610,9.3402e-07,1.0000e-31,9.3402e-07
62.1560,8.3706e-07,1.0000e-31,8.3706e-07
63.1500,7.6064e-07,1.0000e-31,7.6064e-07
64.1440,6.8946e-07,1.0000e-31,6.8946e-07
65.1390,6.7123e-07,1.0000e-31,6.7123e-07
66.1330,6.9765e-07,1.0000e-31,6.9765e-07
67.1280,7.1955e-07,1.0000e-31,7.1955e-07
68.1220,7.3746e-07,1.0000e-31,7.3746e-07
69.1170,7.6384e-07,1.0000e-31,7.6384e-07
70.1110,8.0302e-07,1.0000e-31,8.0302e-07
71.1060,8.6082e-07,1.0000e-31,8.6082e-07
72.1000,9.7116e-07,1.0000e-31,9.7116e-07
73.0940,1.1460e-06,1.0000e-31,1.1460e-06
74.0890,1.4209e-06,1.0000e-31,1.4209e-06
75.0830,1.7876e-06,1.0000e-31,1.7876e-06
76.0780,2.1826e-06,1.0000e-31,2.1826e-06
77.0720,2.6275e-06,1.0000e-31,2.6275e-06
78.0670,3.0622e-06,1.0000e-31,3.0622e-06
79.0610,3.4283e-06,1.0000e-31,3.4283e-06
80.0560,3.6800e-06,1.0000e-31,3.6800e-06
81.0500,3.8674e-06,1.0000e-31,3.8674e-06
82.0440,3.9314e-06,1.0000e-31,3.9314e-06
83.0390,4.1128e-06,1.0000e-31,4.1128e-06
84.0330,3.4561e-06,1.0000e-31,3.4561e-06
85.0280,3.0194e-06,1.0000e-31,3.0194e-06
86.0220,2.9861e-06,1.0000e-31,2.9861e-06
87.0170,3.6466e-06,1.0000e-31,3.6466e-06
88.0110,4.9470e-06,1.0000e-31,4.9470e-06
89.0060,3.0045e-06,1.0000e-31,3.0045e-06
