# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10ee for E = 100.0 keV, L* = 4.5, MLT = 19.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.0576e-10,6.9856e-20,1.0576e-10
1.4940,1.0670e-10,9.5872e-19,1.0670e-10
2.4890,1.0780e-10,5.0144e-18,1.0780e-10
3.4830,1.0905e-10,1.9441e-17,1.0905e-10
4.4780,1.1048e-10,6.2742e-17,1.1048e-10
5.4720,1.1207e-10,1.7724e-16,1.1207e-10
6.4670,1.1384e-10,4.5175e-16,1.1384e-10
7.4610,1.1579e-10,1.0608e-15,1.1579e-10
8.4560,1.1792e-10,2.3293e-15,1.1792e-10
9.4500,1.2024e-10,4.8363e-15,1.2025e-10
10.4440,1.2276e-10,9.5768e-15,1.2278e-10
11.4390,1.2549e-10,1.8210e-14,1.2552e-10
12.4330,1.2843e-10,3.3426e-14,1.2848e-10
13.4280,1.3159e-10,5.9496e-14,1.3168e-10
14.4220,1.3499e-10,1.0306e-13,1.3514e-10
15.4170,1.3865e-10,1.7428e-13,1.3890e-10
16.4110,1.4262e-10,2.8851e-13,1.4302e-10
17.4060,1.4702e-10,4.6855e-13,1.4765e-10
18.4000,1.5213e-10,7.4798e-13,1.5309e-10
19.3940,1.5834e-10,1.1757e-12,1.5980e-10
20.3890,1.6597e-10,1.8220e-12,1.6814e-10
21.3830,1.7469e-10,2.7871e-12,1.7791e-10
22.3780,1.8348e-10,4.2121e-12,1.8820e-10
23.3720,1.9094e-10,6.2985e-12,1.9784e-10
24.3670,1.9771e-10,9.3270e-12,2.0778e-10
25.3610,2.0488e-10,1.3690e-11,2.1946e-10
26.3560,2.1249e-10,1.9928e-11,2.3346e-10
27.3500,2.2055e-10,2.8784e-11,2.5052e-10
28.3440,2.2907e-10,4.1261e-11,2.7164e-10
29.3390,2.3800e-10,5.8739e-11,2.9814e-10
30.3330,2.4726e-10,8.3058e-11,3.3176e-10
31.3280,2.5854e-10,1.1662e-10,3.7645e-10
32.3220,2.8613e-10,1.6252e-10,4.4893e-10
33.3170,3.6951e-10,2.2441e-10,5.9742e-10
34.3110,4.9691e-10,3.0651e-10,8.3313e-10
35.3060,5.9992e-10,4.1343e-10,1.0783e-09
36.3000,6.5322e-10,5.4986e-10,1.2815e-09
37.2940,6.9852e-10,7.1927e-10,1.5086e-09
38.2890,7.2790e-10,9.2590e-10,1.7608e-09
39.2830,7.5835e-10,1.1739e-09,2.0555e-09
40.2780,7.9065e-10,1.4667e-09,2.3966e-09
41.2720,8.2477e-10,1.8067e-09,2.7867e-09
42.2670,8.7005e-10,2.1895e-09,3.2291e-09
43.2610,1.1113e-09,2.6059e-09,3.8473e-09
44.2560,1.9428e-09,3.0431e-09,5.0039e-09
45.2500,2.6696e-09,3.4821e-09,6.1520e-09
46.2440,2.8363e-09,3.9169e-09,6.7532e-09
47.2390,3.0191e-09,4.3430e-09,7.3622e-09
48.2330,3.2269e-09,4.7662e-09,7.9950e-09
49.2280,3.4664e-09,5.1968e-09,8.6705e-09
50.2220,3.7492e-09,5.6313e-09,9.3985e-09
51.2170,4.0796e-09,5.9996e-09,1.0109e-08
52.2110,4.4524e-09,6.2807e-09,1.0772e-08
53.2060,4.8831e-09,6.5117e-09,1.1433e-08
54.2000,5.3957e-09,6.7637e-09,1.2191e-08
55.1940,5.9910e-09,7.0509e-09,1.3061e-08
56.1890,6.6633e-09,7.2766e-09,1.3948e-08
57.1830,7.3969e-09,7.3841e-09,1.4783e-08
58.1780,8.1598e-09,7.4717e-09,1.5632e-08
59.1720,8.9605e-09,7.6517e-09,1.6613e-08
60.1670,9.7877e-09,7.8404e-09,1.7629e-08
61.1610,1.0573e-08,8.0494e-09,1.8623e-08
62.1560,1.1261e-08,7.7576e-09,1.9018e-08
63.1500,1.1710e-08,7.3606e-09,1.9071e-08
64.1440,1.2052e-08,6.8592e-09,1.8912e-08
65.1390,1.2419e-08,6.2062e-09,1.8638e-08
66.1330,1.2826e-08,5.7911e-09,1.8697e-08
67.1280,1.2943e-08,5.7062e-09,1.8899e-08
68.1220,1.2652e-08,5.2490e-09,1.8139e-08
69.1170,1.1967e-08,5.1339e-09,1.7256e-08
70.1110,1.0835e-08,5.2772e-09,1.6235e-08
71.1060,9.4006e-09,5.3125e-09,1.4902e-08
72.1000,7.6540e-09,4.5013e-09,1.2397e-08
73.0940,6.0300e-09,4.2163e-09,1.0391e-08
74.0890,4.3980e-09,3.8318e-09,8.3619e-09
75.0830,2.8805e-09,3.3153e-09,6.3541e-09
76.0780,2.3240e-09,3.4407e-09,5.7727e-09
77.0720,9.1148e-10,4.2148e-09,5.1389e-09
78.0670,1.0313e-09,5.6462e-09,6.6791e-09
79.0610,1.2773e-09,6.3500e-09,7.6279e-09
80.0560,1.4184e-09,5.8939e-09,7.3125e-09
81.0500,1.1725e-09,5.4514e-09,6.6335e-09
82.0440,2.4817e-10,8.2998e-09,9.0207e-09
83.0390,9.5546e-11,9.4697e-09,9.5721e-09
84.0330,9.3751e-10,5.7937e-09,6.7513e-09
85.0280,1.7752e-09,8.8599e-09,1.0666e-08
86.0220,3.5262e-09,1.2032e-08,1.5696e-08
87.0170,1.0709e-08,1.8457e-08,2.9174e-08
88.0110,1.6511e-08,1.1687e-08,2.8735e-08
89.0060,1.0000e-31,5.5110e-09,5.5110e-09
