# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10f for E = 5000.0 keV, L* = 4.5, MLT = 16.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.0857e-15,1.0000e-31,1.0857e-15
1.4940,1.3903e-15,1.0000e-31,1.3903e-15
2.4890,2.0807e-15,1.0000e-31,2.0807e-15
3.4830,3.3758e-15,1.0000e-31,3.3758e-15
4.4780,5.6884e-15,1.0000e-31,5.6884e-15
5.4720,9.6590e-15,1.0000e-31,9.6590e-15
6.4670,1.5987e-14,1.0000e-31,1.5987e-14
7.4610,2.5427e-14,1.0000e-31,2.5427e-14
8.4560,3.9382e-14,1.0000e-31,3.9382e-14
9.4500,5.9844e-14,1.0000e-31,5.9844e-14
10.4440,9.0064e-14,1.0000e-31,9.0064e-14
11.4390,1.3410e-13,1.0000e-31,1.3410e-13
12.4330,1.9721e-13,1.0000e-31,1.9721e-13
13.4280,2.8634e-13,1.0000e-31,2.8634e-13
14.4220,4.1388e-13,1.0000e-31,4.1388e-13
15.4170,5.9104e-13,1.0000e-31,5.9104e-13
16.4110,8.1855e-13,1.0000e-31,8.1855e-13
17.4060,1.1178e-12,1.0000e-31,1.1178e-12
18.4000,1.5033e-12,1.0000e-31,1.5033e-12
19.3940,1.9794e-12,1.0000e-31,1.9794e-12
20.3890,2.6313e-12,1.0000e-31,2.6313e-12
21.3830,3.5369e-12,1.0000e-31,3.5369e-12
22.3780,4.7575e-12,1.0000e-31,4.7575e-12
23.3720,6.3272e-12,1.0000e-31,6.3272e-12
24.3670,8.1949e-12,1.0000e-31,8.1949e-12
25.3610,1.0298e-11,1.0000e-31,1.0298e-11
26.3560,1.2619e-11,1.0000e-31,1.2619e-11
27.3500,1.5500e-11,1.0000e-31,1.5500e-11
28.3440,1.9344e-11,1.0000e-31,1.9344e-11
29.3390,2.3279e-11,1.0000e-31,2.3279e-11
30.3330,2.6492e-11,1.0000e-31,2.6492e-11
31.3280,2.9740e-11,1.0000e-31,2.9740e-11
32.3220,3.3227e-11,1.0000e-31,3.3227e-11
33.3170,3.6816e-11,1.0000e-31,3.6816e-11
34.3110,4.0329e-11,1.0000e-31,4.0329e-11
35.3060,4.3808e-11,1.0000e-31,4.3808e-11
36.3000,4.6694e-11,1.0000e-31,4.6694e-11
37.2940,4.9886e-11,1.0000e-31,4.9886e-11
38.2890,5.2799e-11,1.0000e-31,5.2799e-11
39.2830,5.4484e-11,1.0000e-31,5.4484e-11
40.2780,5.6456e-11,1.0000e-31,5.6456e-11
41.2720,5.8285e-11,1.0000e-31,5.8285e-11
42.2670,5.9583e-11,1.0000e-31,5.9583e-11
43.2610,6.1347e-11,1.0000e-31,6.1347e-11
44.2560,6.2347e-11,1.0000e-31,6.2347e-11
45.2500,6.2573e-11,1.0000e-31,6.2573e-11
46.2440,6.3162e-11,1.0000e-31,6.3162e-11
47.2390,6.3176e-11,1.0000e-31,6.3176e-11
48.2330,6.3260e-11,1.0000e-31,6.3260e-11
49.2280,6.3516e-11,1.0000e-31,6.3516e-11
50.2220,6.3302e-11,1.0000e-31,6.3302e-11
51.2170,6.3380e-11,1.0000e-31,6.3380e-11
52.2110,6.4774e-11,1.0000e-31,6.4774e-11
53.2060,6.8376e-11,1.0000e-31,6.8376e-11
54.2000,7.5953e-11,1.0000e-31,7.5953e-11
55.1940,8.8584e-11,1.0000e-31,8.8584e-11
56.1890,1.0721e-10,1.0000e-31,1.0721e-10
57.1830,1.3337e-10,1.0000e-31,1.3337e-10
58.1780,1.6669e-10,1.0000e-31,1.6669e-10
59.1720,2.0827e-10,1.0000e-31,2.0827e-10
60.1670,2.5788e-10,1.0000e-31,2.5788e-10
61.1610,3.1354e-10,1.0000e-31,3.1354e-10
62.1560,3.6842e-10,1.0000e-31,3.6842e-10
63.1500,4.1413e-10,1.0000e-31,4.1413e-10
64.1440,4.5635e-10,1.0000e-31,4.5635e-10
65.1390,4.8348e-10,1.0000e-31,4.8348e-10
66.1330,4.9685e-10,1.0000e-31,4.9685e-10
67.1280,5.1186e-10,1.0000e-31,5.1186e-10
68.1220,5.3266e-10,1.0000e-31,5.3266e-10
69.1170,5.8047e-10,1.0000e-31,5.8047e-10
70.1110,6.6342e-10,1.0000e-31,6.6342e-10
71.1060,7.7691e-10,1.0000e-31,7.7691e-10
72.1000,9.5716e-10,1.0000e-31,9.5716e-10
73.0940,1.2160e-09,1.0000e-31,1.2160e-09
74.0890,1.5874e-09,1.0000e-31,1.5874e-09
75.0830,2.0311e-09,1.0000e-31,2.0311e-09
76.0780,2.4962e-09,1.0000e-31,2.4962e-09
77.0720,2.9760e-09,1.0000e-31,2.9760e-09
78.0670,3.3861e-09,1.0000e-31,3.3861e-09
79.0610,3.6616e-09,1.0000e-31,3.6616e-09
80.0560,3.8244e-09,1.0000e-31,3.8244e-09
81.0500,3.9344e-09,1.0000e-31,3.9344e-09
82.0440,4.1168e-09,1.0000e-31,4.1168e-09
83.0390,4.4601e-09,1.0000e-31,4.4601e-09
84.0330,3.3183e-09,1.0000e-31,3.3183e-09
85.0280,2.8870e-09,1.0000e-31,2.8870e-09
86.0220,3.1458e-09,1.0000e-31,3.1458e-09
87.0170,4.6687e-09,1.0000e-31,4.6687e-09
88.0110,5.6296e-09,1.0000e-31,5.6296e-09
89.0060,3.4725e-09,1.0000e-31,3.4725e-09
