# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10ff for E = 100.0 keV, L* = 4.5, MLT = 22.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.5408e-06,6.3290e-07,4.2209e-06
1.4940,3.5625e-06,6.3772e-07,4.2479e-06
2.4890,3.5795e-06,6.4264e-07,4.2702e-06
3.4830,3.5916e-06,6.4766e-07,4.2879e-06
4.4780,3.5988e-06,6.5277e-07,4.3009e-06
5.4720,3.6011e-06,6.5796e-07,4.3091e-06
6.4670,3.5984e-06,6.6323e-07,4.3124e-06
7.4610,3.5906e-06,6.6854e-07,4.3109e-06
8.4560,3.5777e-06,6.7390e-07,4.3044e-06
9.4500,3.5598e-06,6.7926e-07,4.2930e-06
10.4440,3.5368e-06,6.8462e-07,4.2766e-06
11.4390,3.5086e-06,6.8993e-07,4.2552e-06
12.4330,3.4751e-06,6.9518e-07,4.2286e-06
13.4280,3.4360e-06,7.0031e-07,4.1965e-06
14.4220,3.3910e-06,7.0529e-07,4.1584e-06
15.4170,3.3396e-06,7.1008e-07,4.1140e-06
16.4110,3.2813e-06,7.1461e-07,4.0626e-06
17.4060,3.2160e-06,7.1882e-07,4.0039e-06
18.4000,3.1434e-06,7.2266e-07,3.9378e-06
19.3940,3.0634e-06,7.2605e-07,3.8639e-06
20.3890,2.9760e-06,7.2893e-07,3.7823e-06
21.3830,2.8816e-06,7.3120e-07,3.6929e-06
22.3780,2.7804e-06,7.3278e-07,3.5960e-06
23.3720,2.6733e-06,7.3354e-07,3.4919e-06
24.3670,2.5610e-06,7.3334e-07,3.3812e-06
25.3610,2.4450e-06,7.3201e-07,3.2648e-06
26.3560,2.3275e-06,7.2939e-07,3.1443e-06
27.3500,2.2125e-06,7.2531e-07,3.0227e-06
28.3440,2.1040e-06,7.1968e-07,2.9038e-06
29.3390,2.0057e-06,7.1242e-07,2.7907e-06
30.3330,1.9188e-06,7.0359e-07,2.6849e-06
31.3280,1.8431e-06,6.9324e-07,2.5866e-06
32.3220,1.7767e-06,6.8151e-07,2.4953e-06
33.3170,1.7166e-06,6.6861e-07,2.4095e-06
34.3110,1.6581e-06,6.5484e-07,2.3263e-06
35.3060,1.5995e-06,6.4060e-07,2.2455e-06
36.3000,1.5441e-06,6.2644e-07,2.1715e-06
37.2940,1.4992e-06,6.1296e-07,2.1123e-06
38.2890,1.4742e-06,6.0078e-07,2.0775e-06
39.2830,1.4792e-06,5.9051e-07,2.0767e-06
40.2780,1.5262e-06,5.8251e-07,2.1206e-06
41.2720,1.6264e-06,5.7681e-07,2.2187e-06
42.2670,1.7801e-06,5.7306e-07,2.3704e-06
43.2610,1.9730e-06,5.7076e-07,2.5614e-06
44.2560,2.2039e-06,5.6955e-07,2.7916e-06
45.2500,2.4896e-06,5.6911e-07,3.0784e-06
46.2440,2.8425e-06,5.6938e-07,3.4348e-06
47.2390,3.2795e-06,5.6994e-07,3.8765e-06
48.2330,3.8066e-06,5.6887e-07,4.4070e-06
49.2280,4.4031e-06,5.6287e-07,5.0000e-06
50.2220,5.0670e-06,5.4693e-07,5.6474e-06
51.2170,5.8282e-06,5.1654e-07,6.3740e-06
52.2110,6.7825e-06,4.7160e-07,7.2767e-06
53.2060,8.0071e-06,4.1834e-07,8.4426e-06
54.2000,9.5783e-06,3.6230e-07,9.9543e-06
55.1940,1.1524e-05,3.0878e-07,1.1844e-05
56.1890,1.3772e-05,2.6635e-07,1.4047e-05
57.1830,1.6369e-05,2.4187e-07,1.6615e-05
58.1780,1.9329e-05,2.3056e-07,1.9562e-05
59.1720,2.2563e-05,2.2976e-07,2.2795e-05
60.1670,2.6066e-05,2.4378e-07,2.6314e-05
61.1610,2.9860e-05,2.4484e-07,3.0112e-05
62.1560,3.3985e-05,2.4457e-07,3.4239e-05
63.1500,3.8674e-05,2.4074e-07,3.8922e-05
64.1440,4.4231e-05,2.3646e-07,4.4472e-05
65.1390,5.0837e-05,2.2689e-07,5.1068e-05
66.1330,5.8163e-05,2.1690e-07,5.8383e-05
67.1280,6.6399e-05,2.0619e-07,6.6606e-05
68.1220,7.4598e-05,2.1228e-07,7.4811e-05
69.1170,8.2577e-05,2.2842e-07,8.2806e-05
70.1110,9.0550e-05,2.3535e-07,9.0785e-05
71.1060,9.7506e-05,2.2300e-07,9.7730e-05
72.1000,1.0338e-04,2.0707e-07,1.0359e-04
73.0940,1.0721e-04,2.1236e-07,1.0742e-04
74.0890,1.0505e-04,2.1610e-07,1.0527e-04
75.0830,9.3567e-05,2.2418e-07,9.3798e-05
76.0780,7.4486e-05,2.1874e-07,7.4715e-05
77.0720,5.9251e-05,2.1297e-07,5.9472e-05
78.0670,3.8488e-05,1.9292e-07,3.8691e-05
79.0610,2.4066e-05,1.4115e-07,2.4211e-05
80.0560,1.9935e-05,9.4234e-08,2.0029e-05
81.0500,2.5211e-05,6.8468e-08,2.5279e-05
82.0440,1.7168e-05,6.3041e-08,1.7239e-05
83.0390,1.8200e-06,1.6374e-08,1.8366e-06
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
