# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10g for E = 5000.0 keV, L* = 4.5, MLT = 19.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,9.5967e-18,1.0000e-31,9.5967e-18
1.4940,8.8738e-17,1.0000e-31,8.8738e-17
2.4890,2.6083e-16,1.0000e-31,2.6083e-16
3.4830,5.5145e-16,1.0000e-31,5.5145e-16
4.4780,9.9647e-16,1.0000e-31,9.9647e-16
5.4720,1.6416e-15,1.0000e-31,1.6416e-15
6.4670,2.5425e-15,1.0000e-31,2.5425e-15
7.4610,3.7665e-15,1.0000e-31,3.7665e-15
8.4560,5.3941e-15,1.0000e-31,5.3941e-15
9.4500,7.5216e-15,1.0000e-31,7.5216e-15
10.4440,1.0264e-14,1.0000e-31,1.0264e-14
11.4390,1.3758e-14,1.0000e-31,1.3758e-14
12.4330,1.8167e-14,1.0000e-31,1.8167e-14
13.4280,2.3682e-14,1.0000e-31,2.3682e-14
14.4220,3.0529e-14,1.0000e-31,3.0529e-14
15.4170,3.8969e-14,1.0000e-31,3.8969e-14
16.4110,4.9308e-14,1.0000e-31,4.9308e-14
17.4060,6.1901e-14,1.0000e-31,6.1901e-14
18.4000,7.7150e-14,1.0000e-31,7.7150e-14
19.3940,9.5509e-14,1.0000e-31,9.5509e-14
20.3890,1.1748e-13,1.0000e-31,1.1748e-13
21.3830,1.4357e-13,1.0000e-31,1.4357e-13
22.3780,1.7436e-13,1.0000e-31,1.7436e-13
23.3720,2.1039e-13,1.0000e-31,2.1039e-13
24.3670,2.5228e-13,1.0000e-31,2.5228e-13
25.3610,3.0080e-13,1.0000e-31,3.0080e-13
26.3560,3.5740e-13,1.0000e-31,3.5740e-13
27.3500,4.2445e-13,1.0000e-31,4.2445e-13
28.3440,5.0580e-13,1.0000e-31,5.0580e-13
29.3390,6.0708e-13,1.0000e-31,6.0708e-13
30.3330,7.3504e-13,1.0000e-31,7.3504e-13
31.3280,8.9687e-13,1.0000e-31,8.9687e-13
32.3220,1.0985e-12,1.0000e-31,1.0985e-12
33.3170,1.3415e-12,1.0000e-31,1.3415e-12
34.3110,1.6248e-12,1.0000e-31,1.6248e-12
35.3060,1.9525e-12,1.0000e-31,1.9525e-12
36.3000,2.3322e-12,1.0000e-31,2.3322e-12
37.2940,2.7726e-12,1.0000e-31,2.7726e-12
38.2890,3.2830e-12,1.0000e-31,3.2830e-12
39.2830,3.8757e-12,1.0000e-31,3.8757e-12
40.2780,4.5576e-12,1.0000e-31,4.5576e-12
41.2720,5.3102e-12,1.0000e-31,5.3102e-12
42.2670,6.1229e-12,1.0000e-31,6.1229e-12
43.2610,6.9915e-12,1.0000e-31,6.9915e-12
44.2560,7.9201e-12,1.0000e-31,7.9201e-12
45.2500,8.9054e-12,1.0000e-31,8.9054e-12
46.2440,1.0029e-11,1.0000e-31,1.0029e-11
47.2390,1.1495e-11,1.0000e-31,1.1495e-11
48.2330,1.3576e-11,1.0000e-31,1.3576e-11
49.2280,1.5736e-11,1.0000e-31,1.5736e-11
50.2220,1.8796e-11,1.0000e-31,1.8796e-11
51.2170,2.1636e-11,1.0000e-31,2.1636e-11
52.2110,2.4402e-11,1.0000e-31,2.4402e-11
53.2060,2.6210e-11,1.0000e-31,2.6210e-11
54.2000,2.6259e-11,1.0000e-31,2.6259e-11
55.1940,2.7745e-11,1.0000e-31,2.7745e-11
56.1890,2.8591e-11,1.0000e-31,2.8591e-11
57.1830,3.2656e-11,1.0000e-31,3.2656e-11
58.1780,3.5209e-11,1.0000e-31,3.5209e-11
59.1720,3.4869e-11,1.0000e-31,3.4869e-11
60.1670,3.3408e-11,6.1193e-22,3.3408e-11
61.1610,3.0635e-11,1.2347e-21,3.0636e-11
62.1560,2.5933e-11,2.3664e-16,2.5936e-11
63.1500,2.0422e-11,2.8929e-15,2.0427e-11
64.1440,1.5435e-11,5.8583e-15,1.5442e-11
65.1390,1.4821e-11,9.2457e-15,1.4830e-11
66.1330,1.5985e-11,1.2593e-14,1.5998e-11
67.1280,1.7687e-11,1.5584e-14,1.7703e-11
68.1220,1.9779e-11,1.7905e-14,1.9797e-11
69.1170,2.2922e-11,1.9307e-14,2.2941e-11
70.1110,2.7066e-11,3.5316e-14,2.7102e-11
71.1060,3.1295e-11,1.0111e-13,3.1396e-11
72.1000,3.6963e-11,1.3019e-13,3.7098e-11
73.0940,4.5988e-11,1.9049e-13,4.6203e-11
74.0890,5.7773e-11,3.2026e-13,5.8174e-11
75.0830,7.4884e-11,6.6237e-13,7.5691e-11
76.0780,9.6656e-11,1.3874e-12,9.8246e-11
77.0720,1.1953e-10,2.5887e-12,1.2237e-10
78.0670,1.4648e-10,4.5910e-12,1.5129e-10
79.0610,1.7540e-10,7.2104e-12,1.8275e-10
80.0560,1.9452e-10,1.0271e-11,2.0489e-10
81.0500,2.0788e-10,1.3270e-11,2.2117e-10
82.0440,2.2181e-10,1.5942e-11,2.3776e-10
83.0390,2.2386e-10,1.8668e-11,2.4254e-10
84.0330,2.2650e-10,2.0696e-11,2.4720e-10
85.0280,2.1610e-10,2.2292e-11,2.3852e-10
86.0220,1.9190e-10,2.4443e-11,2.1653e-10
87.0170,2.3570e-10,2.9111e-11,2.6561e-10
88.0110,1.6674e-10,4.4737e-11,2.1320e-10
89.0060,3.2552e-10,4.2182e-11,3.6774e-10
