# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10gg for E = 50.0 keV, L* = 4.5, MLT = 1.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.7322e-04,1.8979e-06,3.7512e-04
1.4940,3.7617e-04,1.9158e-06,3.7809e-04
2.4890,3.7931e-04,1.9377e-06,3.8124e-04
3.4830,3.8262e-04,1.9639e-06,3.8458e-04
4.4780,3.8612e-04,1.9944e-06,3.8811e-04
5.4720,3.8980e-04,2.0298e-06,3.9183e-04
6.4670,3.9368e-04,2.0704e-06,3.9575e-04
7.4610,3.9775e-04,2.1170e-06,3.9987e-04
8.4560,4.0202e-04,2.1701e-06,4.0419e-04
9.4500,4.0650e-04,2.2309e-06,4.0873e-04
10.4440,4.1119e-04,2.3003e-06,4.1349e-04
11.4390,4.1608e-04,2.3800e-06,4.1846e-04
12.4330,4.2120e-04,2.4718e-06,4.2367e-04
13.4280,4.2654e-04,2.5779e-06,4.2912e-04
14.4220,4.3210e-04,2.7009e-06,4.3480e-04
15.4170,4.3789e-04,2.8441e-06,4.4073e-04
16.4110,4.4388e-04,3.0112e-06,4.4689e-04
17.4060,4.5003e-04,3.2066e-06,4.5324e-04
18.4000,4.5631e-04,3.4354e-06,4.5975e-04
19.3940,4.6267e-04,3.7031e-06,4.6638e-04
20.3890,4.6908e-04,4.0165e-06,4.7310e-04
21.3830,4.7548e-04,4.3828e-06,4.7987e-04
22.3780,4.8180e-04,4.8104e-06,4.8661e-04
23.3720,4.8795e-04,5.3081e-06,4.9325e-04
24.3670,4.9383e-04,5.8825e-06,4.9971e-04
25.3610,4.9931e-04,6.5350e-06,5.0584e-04
26.3560,5.0425e-04,7.2631e-06,5.1152e-04
27.3500,5.0853e-04,8.0608e-06,5.1659e-04
28.3440,5.1199e-04,8.9196e-06,5.2090e-04
29.3390,5.1451e-04,9.8291e-06,5.2434e-04
30.3330,5.1594e-04,1.0778e-05,5.2671e-04
31.3280,5.1608e-04,1.1753e-05,5.2783e-04
32.3220,5.1472e-04,1.2743e-05,5.2746e-04
33.3170,5.1165e-04,1.3735e-05,5.2539e-04
34.3110,5.0677e-04,1.4717e-05,5.2149e-04
35.3060,5.0033e-04,1.5683e-05,5.1601e-04
36.3000,4.9275e-04,1.6626e-05,5.0938e-04
37.2940,4.8405e-04,1.7538e-05,5.0159e-04
38.2890,4.7414e-04,1.8402e-05,4.9254e-04
39.2830,4.6294e-04,1.9209e-05,4.8215e-04
40.2780,4.5026e-04,1.9957e-05,4.7022e-04
41.2720,4.3584e-04,2.0645e-05,4.5649e-04
42.2670,4.1949e-04,2.1272e-05,4.4076e-04
43.2610,4.0102e-04,2.1836e-05,4.2285e-04
44.2560,3.8032e-04,2.2336e-05,4.0266e-04
45.2500,3.5881e-04,2.2771e-05,3.8158e-04
46.2440,3.3773e-04,2.3137e-05,3.6087e-04
47.2390,3.1740e-04,2.3422e-05,3.4083e-04
48.2330,2.9852e-04,2.3591e-05,3.2211e-04
49.2280,2.8187e-04,2.3615e-05,3.0549e-04
50.2220,2.6845e-04,2.3477e-05,2.9193e-04
51.2170,2.5891e-04,2.3148e-05,2.8206e-04
52.2110,2.5406e-04,2.2563e-05,2.7662e-04
53.2060,2.5394e-04,2.1735e-05,2.7567e-04
54.2000,2.5901e-04,2.0617e-05,2.7963e-04
55.1940,2.6678e-04,1.9226e-05,2.8601e-04
56.1890,2.7637e-04,1.7621e-05,2.9399e-04
57.1830,2.8509e-04,1.5851e-05,3.0094e-04
58.1780,2.9475e-04,1.4059e-05,3.0881e-04
59.1720,3.0679e-04,1.2287e-05,3.1908e-04
60.1670,3.1999e-04,1.0628e-05,3.3062e-04
61.1610,3.3406e-04,9.1672e-06,3.4323e-04
62.1560,3.4839e-04,7.9273e-06,3.5632e-04
63.1500,3.6188e-04,6.6914e-06,3.6857e-04
64.1440,3.7412e-04,5.5891e-06,3.7971e-04
65.1390,3.8640e-04,4.7853e-06,3.9119e-04
66.1330,4.0229e-04,5.1369e-06,4.0743e-04
67.1280,3.8411e-04,8.6704e-06,3.9278e-04
68.1220,3.4796e-04,1.9608e-05,3.6756e-04
69.1170,2.7325e-04,4.9262e-05,3.2252e-04
70.1110,1.8985e-04,8.6029e-05,2.7588e-04
71.1060,8.9875e-05,1.2477e-04,2.1464e-04
72.1000,2.8673e-05,1.6081e-04,1.8948e-04
73.0940,1.7249e-07,1.8502e-04,1.8520e-04
74.0890,4.5872e-08,1.7459e-04,1.7463e-04
75.0830,5.7507e-09,1.4498e-04,1.4499e-04
76.0780,2.7360e-09,1.1057e-04,1.1058e-04
77.0720,1.8126e-09,7.9197e-05,7.9198e-05
78.0670,1.1076e-09,5.2840e-05,5.2841e-05
79.0610,5.7606e-10,2.9406e-05,2.9407e-05
80.0560,1.7396e-10,1.1270e-05,1.1270e-05
81.0500,1.0000e-31,3.0394e-06,3.0394e-06
82.0440,1.0000e-31,8.8440e-07,8.8440e-07
83.0390,1.0000e-31,3.6047e-08,3.6047e-08
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
