# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10h for E = 5000.0 keV, L* = 4.5, MLT = 22.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.0184e-21,4.5352e-21,6.6429e-21
1.4940,3.0179e-19,9.3877e-19,1.3280e-18
2.4890,4.2152e-18,1.3450e-17,1.9224e-17
3.4830,2.7549e-17,9.6419e-17,1.3475e-16
4.4780,1.2138e-16,5.3079e-16,6.9957e-16
5.4720,4.1780e-16,2.5705e-15,3.1548e-15
6.4670,1.2126e-15,1.1270e-14,1.3001e-14
7.4610,3.1052e-15,4.4499e-14,4.9065e-14
8.4560,7.2264e-15,1.5745e-13,1.6842e-13
9.4500,1.5612e-14,5.0032e-13,5.2469e-13
10.4440,3.1767e-14,1.4364e-12,1.4871e-12
11.4390,6.1513e-14,3.7507e-12,3.8507e-12
12.4330,1.1424e-13,8.9592e-12,9.1471e-12
13.4280,2.0473e-13,1.9659e-11,1.9997e-11
14.4220,3.5578e-13,3.9728e-11,4.0314e-11
15.4170,6.0189e-13,7.4009e-11,7.4993e-11
16.4110,9.9407e-13,1.2704e-10,1.2864e-10
17.4060,1.6067e-12,2.0056e-10,2.0309e-10
18.4000,2.5462e-12,2.9031e-10,2.9420e-10
19.3940,3.9622e-12,3.8364e-10,3.8945e-10
20.3890,6.0605e-12,4.6060e-10,4.6901e-10
21.3830,9.1177e-12,5.0044e-10,5.1219e-10
22.3780,1.3501e-11,4.9258e-10,5.0841e-10
23.3720,1.9717e-11,4.4753e-10,4.6845e-10
24.3670,2.8566e-11,4.0593e-10,4.3460e-10
25.3610,4.1195e-11,4.3591e-10,4.7714e-10
26.3560,5.9261e-11,5.5492e-10,6.1419e-10
27.3500,8.5107e-11,6.9601e-10,7.8112e-10
28.3440,1.2246e-10,7.8472e-10,9.0736e-10
29.3390,1.7675e-10,7.8034e-10,9.5845e-10
30.3330,2.5613e-10,6.9003e-10,9.4978e-10
31.3280,3.7267e-10,5.4783e-10,9.2486e-10
32.3220,5.4245e-10,3.8784e-10,9.3252e-10
33.3170,7.8314e-10,2.5145e-10,1.0347e-09
34.3110,1.1125e-09,1.8763e-10,1.3010e-09
35.3060,1.5560e-09,2.2078e-10,1.7788e-09
36.3000,2.1517e-09,3.2156e-10,2.4740e-09
37.2940,2.9503e-09,4.1977e-10,3.3701e-09
38.2890,4.0120e-09,4.5394e-10,4.4671e-09
39.2830,5.4017e-09,4.1041e-10,5.8157e-09
40.2780,7.1892e-09,3.3434e-10,7.5286e-09
41.2720,9.4670e-09,2.9119e-10,9.7618e-09
42.2670,1.2390e-08,3.0317e-10,1.2695e-08
43.2610,1.6218e-08,3.3842e-10,1.6558e-08
44.2560,2.1300e-08,3.5793e-10,2.1661e-08
45.2500,2.7871e-08,3.5242e-10,2.8230e-08
46.2440,3.6063e-08,3.4319e-10,3.6418e-08
47.2390,4.6319e-08,3.5167e-10,4.6684e-08
48.2330,6.0300e-08,3.5937e-10,6.0672e-08
49.2280,7.9639e-08,3.5843e-10,8.0006e-08
50.2220,1.0228e-07,3.6089e-10,1.0265e-07
51.2170,1.2882e-07,3.6144e-10,1.2919e-07
52.2110,1.5870e-07,3.6683e-10,1.5907e-07
53.2060,1.9213e-07,3.6877e-10,1.9250e-07
54.2000,2.2778e-07,3.7076e-10,2.2815e-07
55.1940,2.6099e-07,3.7392e-10,2.6136e-07
56.1890,2.9560e-07,3.7404e-10,2.9598e-07
57.1830,3.2836e-07,3.7355e-10,3.2874e-07
58.1780,3.2761e-07,3.6853e-10,3.2798e-07
59.1720,3.2304e-07,3.7001e-10,3.2341e-07
60.1670,2.7917e-07,3.6065e-10,2.7953e-07
61.1610,2.2357e-07,3.4757e-10,2.2392e-07
62.1560,1.4703e-07,3.3535e-10,1.4737e-07
63.1500,8.6103e-08,3.3042e-10,8.6434e-08
64.1440,5.1260e-08,3.0330e-10,5.1563e-08
65.1390,9.9035e-09,2.7211e-10,1.0177e-08
66.1330,1.1006e-08,2.2625e-10,1.1233e-08
67.1280,1.3932e-08,1.9182e-10,1.4130e-08
68.1220,2.1070e-08,1.4098e-10,2.1219e-08
69.1170,3.4496e-08,1.0475e-10,3.4611e-08
70.1110,6.0985e-08,7.6700e-11,6.1068e-08
71.1060,1.1430e-07,5.7030e-11,1.1436e-07
72.1000,1.8681e-07,6.0183e-11,1.8688e-07
73.0940,3.0762e-07,6.6387e-11,3.0769e-07
74.0890,4.2706e-07,7.1044e-11,4.2713e-07
75.0830,5.5339e-07,7.5747e-11,5.5346e-07
76.0780,6.6346e-07,1.0094e-10,6.6356e-07
77.0720,7.1637e-07,1.4841e-10,7.1652e-07
78.0670,6.8697e-07,1.6280e-10,6.8713e-07
79.0610,6.1722e-07,1.7645e-10,6.1739e-07
80.0560,5.1293e-07,1.9359e-10,5.1313e-07
81.0500,3.8257e-07,2.0378e-10,3.8277e-07
82.0440,2.0915e-07,1.5758e-10,2.0931e-07
83.0390,6.4234e-08,5.5617e-11,6.4290e-08
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
