# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10hh for E = 50.0 keV, L* = 4.5, MLT = 4.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.5301e-07,1.5248e-08,1.6826e-07
1.4940,1.5810e-07,1.6803e-08,1.7491e-07
2.4890,1.6725e-07,1.9921e-08,1.8717e-07
3.4830,1.8061e-07,2.4824e-08,2.0543e-07
4.4780,1.9835e-07,3.1835e-08,2.3019e-07
5.4720,2.2069e-07,4.1386e-08,2.6208e-07
6.4670,2.4788e-07,5.4020e-08,3.0190e-07
7.4610,2.8022e-07,7.0398e-08,3.5061e-07
8.4560,3.1802e-07,9.1309e-08,4.0933e-07
9.4500,3.6167e-07,1.1767e-07,4.7934e-07
10.4440,4.1159e-07,1.5053e-07,5.6213e-07
11.4390,4.6825e-07,1.9109e-07,6.5934e-07
12.4330,5.3216e-07,2.4068e-07,7.7284e-07
13.4280,6.0392e-07,3.0076e-07,9.0468e-07
14.4220,6.8417e-07,3.7295e-07,1.0571e-06
15.4170,7.7362e-07,4.5901e-07,1.2326e-06
16.4110,8.7306e-07,5.6079e-07,1.4338e-06
17.4060,9.8347e-07,6.8019e-07,1.6637e-06
18.4000,1.1058e-06,8.1965e-07,1.9255e-06
19.3940,1.2412e-06,9.8226e-07,2.2234e-06
20.3890,1.3907e-06,1.1709e-06,2.5616e-06
21.3830,1.5557e-06,1.3886e-06,2.9443e-06
22.3780,1.7099e-06,1.6386e-06,3.3484e-06
23.3720,1.8388e-06,1.9240e-06,3.7629e-06
24.3670,1.9479e-06,2.2587e-06,4.2067e-06
25.3610,1.9960e-06,2.6762e-06,4.6722e-06
26.3560,1.9862e-06,3.2287e-06,5.2150e-06
27.3500,2.1719e-06,4.0120e-06,6.1839e-06
28.3440,2.4049e-06,5.1215e-06,7.5264e-06
29.3390,2.6621e-06,6.5700e-06,9.2321e-06
30.3330,2.9453e-06,8.3329e-06,1.1278e-05
31.3280,3.2565e-06,1.0367e-05,1.3623e-05
32.3220,3.5994e-06,1.2619e-05,1.6218e-05
33.3170,3.9770e-06,1.5032e-05,1.9009e-05
34.3110,4.3995e-06,1.7560e-05,2.1960e-05
35.3060,4.9044e-06,2.0156e-05,2.5060e-05
36.3000,5.5794e-06,2.2774e-05,2.8354e-05
37.2940,6.5170e-06,2.5378e-05,3.1895e-05
38.2890,7.6880e-06,2.7936e-05,3.5624e-05
39.2830,8.9847e-06,3.0423e-05,3.9408e-05
40.2780,1.0388e-05,3.2827e-05,4.3215e-05
41.2720,1.1931e-05,3.5123e-05,4.7054e-05
42.2670,1.3645e-05,3.7356e-05,5.1001e-05
43.2610,1.3851e-05,4.0891e-05,5.4742e-05
44.2560,1.1715e-05,4.8614e-05,6.0329e-05
45.2500,7.6584e-06,6.2483e-05,7.0141e-05
46.2440,8.8123e-06,7.9097e-05,8.7910e-05
47.2390,1.0116e-05,9.5266e-05,1.0538e-04
48.2330,1.1536e-05,1.0937e-04,1.2091e-04
49.2280,1.3162e-05,1.2088e-04,1.3404e-04
50.2220,1.5971e-05,1.2980e-04,1.4577e-04
51.2170,2.2136e-05,1.3635e-04,1.5849e-04
52.2110,3.1154e-05,1.4100e-04,1.7215e-04
53.2060,4.1304e-05,1.4418e-04,1.8548e-04
54.2000,5.2679e-05,1.4570e-04,1.9838e-04
55.1940,6.5318e-05,1.4540e-04,2.1072e-04
56.1890,7.9374e-05,1.4327e-04,2.2265e-04
57.1830,9.5280e-05,1.3952e-04,2.3480e-04
58.1780,1.1418e-04,1.3461e-04,2.4879e-04
59.1720,1.3630e-04,1.2909e-04,2.6539e-04
60.1670,1.6095e-04,1.2268e-04,2.8363e-04
61.1610,1.8842e-04,1.1474e-04,3.0315e-04
62.1560,2.1905e-04,1.0502e-04,3.2407e-04
63.1500,2.5325e-04,9.4149e-05,3.4740e-04
64.1440,2.9143e-04,8.2351e-05,3.7378e-04
65.1390,3.3333e-04,7.0073e-05,4.0340e-04
66.1330,3.7870e-04,5.7392e-05,4.3610e-04
67.1280,4.2945e-04,4.4760e-05,4.7421e-04
68.1220,4.8648e-04,3.3619e-05,5.2010e-04
69.1170,5.5660e-04,2.5298e-05,5.8189e-04
70.1110,6.3196e-04,2.8181e-05,6.6014e-04
71.1060,7.0670e-04,4.3212e-05,7.4991e-04
72.1000,7.9042e-04,4.5127e-05,8.3555e-04
73.0940,8.5421e-04,9.1147e-05,9.4536e-04
74.0890,9.1318e-04,3.4501e-04,1.2582e-03
75.0830,8.6066e-04,6.1349e-04,1.4742e-03
76.0780,7.3371e-04,6.5052e-04,1.3842e-03
77.0720,3.3264e-04,7.7199e-04,1.1046e-03
78.0670,9.2134e-06,8.8767e-04,8.9688e-04
79.0610,1.1098e-06,7.3633e-04,7.3744e-04
80.0560,2.9437e-08,5.7440e-04,5.7443e-04
81.0500,1.7158e-08,4.3366e-04,4.3368e-04
82.0440,8.9900e-09,2.9868e-04,2.9869e-04
83.0390,3.9492e-09,1.8676e-04,1.8676e-04
84.0330,1.1169e-09,9.1879e-05,9.1880e-05
85.0280,4.5273e-11,4.8001e-05,4.8001e-05
86.0220,1.0000e-31,3.0099e-05,3.0099e-05
87.0170,1.0000e-31,1.4489e-05,1.4489e-05
88.0110,1.0000e-31,1.8064e-06,1.8064e-06
89.0060,1.0000e-31,3.2588e-07,3.2588e-07
