# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10i for E = 1000.0 keV, L* = 4.5, MLT = 1.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,5.6022e-06,2.9712e-09,5.6072e-06
1.4940,5.6433e-06,3.6641e-09,5.6488e-06
2.4890,5.6838e-06,4.8386e-09,5.6902e-06
3.4830,5.7235e-06,6.4414e-09,5.7314e-06
4.4780,5.7623e-06,8.5110e-09,5.7722e-06
5.4720,5.8003e-06,1.1111e-08,5.8128e-06
6.4670,5.8372e-06,1.4311e-08,5.8529e-06
7.4610,5.8729e-06,1.8187e-08,5.8925e-06
8.4560,5.9071e-06,2.2820e-08,5.9314e-06
9.4500,5.9398e-06,2.8293e-08,5.9696e-06
10.4440,5.9706e-06,3.4699e-08,6.0069e-06
11.4390,5.9993e-06,4.2132e-08,6.0431e-06
12.4330,6.0255e-06,5.0688e-08,6.0779e-06
13.4280,6.0490e-06,6.0469e-08,6.1112e-06
14.4220,6.0692e-06,7.1575e-08,6.1426e-06
15.4170,6.0858e-06,8.4107e-08,6.1718e-06
16.4110,6.0983e-06,9.8161e-08,6.1984e-06
17.4060,6.1061e-06,1.1383e-07,6.2220e-06
18.4000,6.1087e-06,1.3121e-07,6.2420e-06
19.3940,6.1053e-06,1.5034e-07,6.2578e-06
20.3890,6.0953e-06,1.7127e-07,6.2688e-06
21.3830,6.0778e-06,1.9398e-07,6.2741e-06
22.3780,6.0520e-06,2.1834e-07,6.2728e-06
23.3720,6.0169e-06,2.4409e-07,6.2636e-06
24.3670,5.9715e-06,2.7078e-07,6.2450e-06
25.3610,5.9147e-06,2.9776e-07,6.2154e-06
26.3560,5.8452e-06,3.2404e-07,6.1726e-06
27.3500,5.7620e-06,3.4836e-07,6.1141e-06
28.3440,5.6636e-06,3.6914e-07,6.0370e-06
29.3390,5.5487e-06,3.8474e-07,5.9384e-06
30.3330,5.4158e-06,3.9367e-07,5.8153e-06
31.3280,5.2635e-06,3.9500e-07,5.6654e-06
32.3220,5.0904e-06,3.8864e-07,5.4870e-06
33.3170,4.8946e-06,3.7560e-07,5.2795e-06
34.3110,4.6751e-06,3.5786e-07,5.0437e-06
35.3060,4.4346e-06,3.3790e-07,4.7848e-06
36.3000,4.1793e-06,3.1845e-07,4.5117e-06
37.2940,3.9145e-06,3.0162e-07,4.2317e-06
38.2890,3.6582e-06,2.8874e-07,3.9641e-06
39.2830,3.4282e-06,2.8067e-07,3.7273e-06
40.2780,3.2349e-06,2.7832e-07,3.5325e-06
41.2720,3.0894e-06,2.8307e-07,3.3919e-06
42.2670,3.0050e-06,2.9717e-07,3.3207e-06
43.2610,3.0001e-06,3.2348e-07,3.3400e-06
44.2560,3.1098e-06,3.6544e-07,3.4883e-06
45.2500,3.3744e-06,4.2694e-07,3.8103e-06
46.2440,3.8018e-06,5.1160e-07,4.3184e-06
47.2390,4.3951e-06,6.2061e-07,5.0176e-06
48.2330,5.1480e-06,7.4903e-07,5.8973e-06
49.2280,6.0925e-06,8.8834e-07,6.9809e-06
50.2220,7.2380e-06,1.0381e-06,8.2762e-06
51.2170,8.6104e-06,1.2037e-06,9.8144e-06
52.2110,1.0244e-05,1.3807e-06,1.1625e-05
53.2060,1.2183e-05,1.5662e-06,1.3749e-05
54.2000,1.4439e-05,1.7377e-06,1.6177e-05
55.1940,1.7035e-05,1.8441e-06,1.8879e-05
56.1890,2.0170e-05,1.9061e-06,2.2077e-05
57.1830,2.4181e-05,1.9722e-06,2.6156e-05
58.1780,2.9124e-05,2.0854e-06,3.1211e-05
59.1720,3.4422e-05,2.1922e-06,3.6615e-05
60.1670,3.9638e-05,2.2358e-06,4.1877e-05
61.1610,4.4620e-05,2.2074e-06,4.6830e-05
62.1560,4.9288e-05,2.0639e-06,5.1351e-05
63.1500,5.2329e-05,1.9997e-06,5.4328e-05
64.1440,5.7466e-05,2.0647e-06,5.9531e-05
65.1390,5.9033e-05,2.1306e-06,6.1164e-05
66.1330,5.7118e-05,2.1392e-06,5.9258e-05
67.1280,5.4857e-05,2.1087e-06,5.6966e-05
68.1220,5.3516e-05,1.9088e-06,5.5426e-05
69.1170,5.1647e-05,1.7988e-06,5.3453e-05
70.1110,4.1716e-05,1.7832e-06,4.3500e-05
71.1060,3.5679e-05,1.8676e-06,3.7555e-05
72.1000,3.2047e-05,1.9290e-06,3.3999e-05
73.0940,2.8957e-05,1.8805e-06,3.0853e-05
74.0890,3.1031e-05,1.7256e-06,3.2757e-05
75.0830,3.5296e-05,1.6775e-06,3.6982e-05
76.0780,3.1672e-05,1.5288e-06,3.3223e-05
77.0720,3.3112e-05,1.5355e-06,3.4659e-05
78.0670,3.7463e-05,1.5688e-06,3.9032e-05
79.0610,2.2371e-05,1.4415e-06,2.3830e-05
80.0560,9.3653e-06,7.4286e-07,1.0108e-05
81.0500,6.3260e-06,5.0671e-07,6.8347e-06
82.0440,3.4352e-06,4.2263e-07,3.8671e-06
83.0390,1.5496e-06,1.2757e-07,1.7211e-06
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
