# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10ii for E = 50.0 keV, L* = 4.5, MLT = 7.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.3902e-05,5.6064e-06,1.9508e-05
1.4940,1.4026e-05,5.6656e-06,1.9692e-05
2.4890,1.4171e-05,5.7426e-06,1.9914e-05
3.4830,1.4337e-05,5.8378e-06,2.0175e-05
4.4780,1.4526e-05,5.9517e-06,2.0477e-05
5.4720,1.4737e-05,6.0847e-06,2.0822e-05
6.4670,1.4972e-05,6.2373e-06,2.1210e-05
7.4610,1.5233e-05,6.4099e-06,2.1642e-05
8.4560,1.5518e-05,6.6027e-06,2.2121e-05
9.4500,1.5831e-05,6.8159e-06,2.2647e-05
10.4440,1.6172e-05,7.0496e-06,2.3222e-05
11.4390,1.6543e-05,7.3035e-06,2.3846e-05
12.4330,1.6945e-05,7.5772e-06,2.4522e-05
13.4280,1.7380e-05,7.8699e-06,2.5250e-05
14.4220,1.7850e-05,8.1803e-06,2.6030e-05
15.4170,1.8356e-05,8.5068e-06,2.6863e-05
16.4110,1.8901e-05,8.8471e-06,2.7748e-05
17.4060,1.9486e-05,9.1991e-06,2.8685e-05
18.4000,2.0113e-05,9.5598e-06,2.9673e-05
19.3940,2.0772e-05,9.9256e-06,3.0697e-05
20.3890,2.1433e-05,1.0292e-05,3.1724e-05
21.3830,2.2092e-05,1.0654e-05,3.2746e-05
22.3780,2.2829e-05,1.1005e-05,3.3834e-05
23.3720,2.3644e-05,1.1341e-05,3.4985e-05
24.3670,2.4525e-05,1.1652e-05,3.6177e-05
25.3610,2.5475e-05,1.1934e-05,3.7409e-05
26.3560,2.6501e-05,1.2178e-05,3.8679e-05
27.3500,2.7611e-05,1.2380e-05,3.9991e-05
28.3440,2.8812e-05,1.2533e-05,4.1346e-05
29.3390,3.0113e-05,1.2633e-05,4.2746e-05
30.3330,3.1519e-05,1.2662e-05,4.4181e-05
31.3280,3.3041e-05,1.2609e-05,4.5649e-05
32.3220,3.4691e-05,1.2472e-05,4.7163e-05
33.3170,3.6488e-05,1.2252e-05,4.8740e-05
34.3110,3.8464e-05,1.1951e-05,5.0414e-05
35.3060,4.0619e-05,1.1573e-05,5.2192e-05
36.3000,4.2936e-05,1.1126e-05,5.4061e-05
37.2940,4.5416e-05,1.0616e-05,5.6032e-05
38.2890,4.8075e-05,1.0054e-05,5.8129e-05
39.2830,5.0932e-05,9.4536e-06,6.0385e-05
40.2780,5.3855e-05,8.8288e-06,6.2684e-05
41.2720,5.6936e-05,8.1953e-06,6.5131e-05
42.2670,6.0217e-05,7.5704e-06,6.7788e-05
43.2610,6.3701e-05,6.9694e-06,7.0671e-05
44.2560,6.7375e-05,6.4028e-06,7.3778e-05
45.2500,7.1499e-05,5.8744e-06,7.7374e-05
46.2440,7.5977e-05,5.3907e-06,8.1367e-05
47.2390,8.0838e-05,4.9796e-06,8.5818e-05
48.2330,8.6056e-05,4.6566e-06,9.0712e-05
49.2280,9.1670e-05,4.4468e-06,9.6117e-05
50.2220,9.7720e-05,4.3611e-06,1.0208e-04
51.2170,1.0426e-04,4.3844e-06,1.0864e-04
52.2110,1.1063e-04,4.4664e-06,1.1509e-04
53.2060,1.1753e-04,4.5723e-06,1.2210e-04
54.2000,1.2510e-04,4.6500e-06,1.2975e-04
55.1940,1.3332e-04,4.6486e-06,1.3797e-04
56.1890,1.4234e-04,4.5501e-06,1.4689e-04
57.1830,1.5238e-04,4.3176e-06,1.5669e-04
58.1780,1.6324e-04,3.9261e-06,1.6717e-04
59.1720,1.7465e-04,3.4294e-06,1.7808e-04
60.1670,1.8642e-04,2.8982e-06,1.8931e-04
61.1610,1.9753e-04,2.4193e-06,1.9995e-04
62.1560,2.0910e-04,2.0393e-06,2.1114e-04
63.1500,2.2097e-04,1.8047e-06,2.2277e-04
64.1440,2.3277e-04,1.7454e-06,2.3452e-04
65.1390,2.4426e-04,1.8927e-06,2.4616e-04
66.1330,2.5523e-04,2.2765e-06,2.5751e-04
67.1280,2.6484e-04,2.9480e-06,2.6778e-04
68.1220,2.7276e-04,4.0318e-06,2.7680e-04
69.1170,2.8063e-04,4.1902e-06,2.8482e-04
70.1110,2.7757e-04,3.9396e-06,2.8151e-04
71.1060,2.6994e-04,3.3121e-06,2.7325e-04
72.1000,2.4276e-04,2.4898e-06,2.4525e-04
73.0940,1.7427e-04,1.1288e-06,1.7540e-04
74.0890,1.4104e-04,5.6487e-07,1.4161e-04
75.0830,1.1153e-04,2.8497e-07,1.1182e-04
76.0780,8.5917e-05,9.5469e-08,8.6012e-05
77.0720,5.2586e-05,4.6249e-09,5.2591e-05
78.0670,5.7898e-05,3.0144e-09,5.7901e-05
79.0610,3.4840e-05,2.7007e-09,3.4843e-05
80.0560,2.0187e-05,1.9115e-09,2.0188e-05
81.0500,4.8008e-06,1.7505e-09,4.8025e-06
82.0440,1.4623e-06,1.4814e-09,1.4638e-06
83.0390,1.0799e-06,6.3844e-10,1.0805e-06
84.0330,9.2951e-07,5.9750e-10,9.3011e-07
85.0280,7.2511e-07,3.0931e-10,7.2542e-07
86.0220,5.2166e-07,2.2764e-10,5.2189e-07
87.0170,3.4701e-07,7.9775e-11,3.4709e-07
88.0110,2.2685e-07,1.9251e-11,2.2687e-07
89.0060,1.1018e-07,5.2174e-12,1.1018e-07
