# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10j for E = 1000.0 keV, L* = 4.5, MLT = 4.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.5173e-15,4.5336e-15,8.0990e-15
1.4940,3.1728e-14,4.0989e-14,7.3149e-14
2.4890,8.9054e-14,1.1559e-13,2.0585e-13
3.4830,1.7691e-13,2.3130e-13,4.1060e-13
4.4780,2.9714e-13,3.9250e-13,6.9361e-13
5.4720,4.5206e-13,6.0548e-13,1.0635e-12
6.4670,6.4450e-13,8.7942e-13,1.5322e-12
7.4610,8.7785e-13,1.2281e-12,2.1169e-12
8.4560,1.1561e-12,1.6730e-12,2.8427e-12
9.4500,1.4841e-12,2.2483e-12,3.7485e-12
10.4440,1.8673e-12,3.0107e-12,4.8959e-12
11.4390,2.3122e-12,4.0540e-12,6.3849e-12
12.4330,2.8263e-12,5.5358e-12,8.3802e-12
13.4280,3.4184e-12,7.7210e-12,1.1156e-11
14.4220,4.0985e-12,1.1055e-11,1.5168e-11
15.4170,4.8786e-12,1.6284e-11,2.1175e-11
16.4110,5.7726e-12,2.4649e-11,3.0434e-11
17.4060,6.7974e-12,3.8191e-11,4.5003e-11
18.4000,7.9739e-12,6.0226e-11,6.8220e-11
19.3940,9.3280e-12,9.6060e-11,1.0542e-10
20.3890,1.0892e-11,1.5391e-10,1.6485e-10
21.3830,1.2708e-11,2.4634e-10,2.5912e-10
22.3780,1.4828e-11,3.9224e-10,4.0717e-10
23.3720,1.7312e-11,6.1907e-10,6.3651e-10
24.3670,2.0219e-11,9.6594e-10,9.8631e-10
25.3610,2.3598e-11,1.4871e-09,1.5109e-09
26.3560,2.7492e-11,2.2518e-09,2.2795e-09
27.3500,3.1980e-11,3.3480e-09,3.3803e-09
28.3440,3.7201e-11,4.8812e-09,4.9188e-09
29.3390,4.3334e-11,6.9742e-09,7.0179e-09
30.3330,5.0585e-11,9.7616e-09,9.8127e-09
31.3280,5.9222e-11,1.3383e-08,1.3443e-08
32.3220,6.9623e-11,1.7996e-08,1.8066e-08
33.3170,8.2347e-11,2.3756e-08,2.3839e-08
34.3110,9.8221e-11,3.0815e-08,3.0914e-08
35.3060,1.1844e-10,3.9456e-08,3.9575e-08
36.3000,1.4464e-10,5.0093e-08,5.0239e-08
37.2940,1.7897e-10,6.3418e-08,6.3597e-08
38.2890,2.2467e-10,8.0675e-08,8.0900e-08
39.2830,2.8846e-10,1.0425e-07,1.0454e-07
40.2780,3.7834e-10,1.3814e-07,1.3852e-07
41.2720,5.0806e-10,1.8771e-07,1.8821e-07
42.2670,7.0072e-10,2.5855e-07,2.5925e-07
43.2610,9.9115e-10,3.5591e-07,3.5690e-07
44.2560,1.4398e-09,4.8550e-07,4.8694e-07
45.2500,2.1377e-09,6.5582e-07,6.5797e-07
46.2440,3.2304e-09,8.7846e-07,8.8170e-07
47.2390,4.7766e-09,1.1590e-06,1.1638e-06
48.2330,7.0436e-09,1.5032e-06,1.5103e-06
49.2280,1.0761e-08,1.9280e-06,1.9388e-06
50.2220,1.6506e-08,2.3993e-06,2.4158e-06
51.2170,2.4697e-08,2.8797e-06,2.9044e-06
52.2110,3.7309e-08,3.4116e-06,3.4492e-06
53.2060,5.5755e-08,3.9699e-06,4.0261e-06
54.2000,8.0547e-08,4.4202e-06,4.5010e-06
55.1940,1.1760e-07,4.7647e-06,4.8825e-06
56.1890,1.7703e-07,5.4355e-06,5.6131e-06
57.1830,2.4218e-07,6.4758e-06,6.7222e-06
58.1780,3.4455e-07,7.2469e-06,7.5947e-06
59.1720,5.2557e-07,6.9549e-06,7.4814e-06
60.1670,7.7329e-07,6.6141e-06,7.3903e-06
61.1610,1.1185e-06,6.7093e-06,7.8295e-06
62.1560,1.3511e-06,8.0178e-06,9.3786e-06
63.1500,1.6567e-06,8.9017e-06,1.0587e-05
64.1440,2.5255e-06,8.3027e-06,1.0836e-05
65.1390,3.7521e-06,7.4596e-06,1.1214e-05
66.1330,5.1566e-06,6.8463e-06,1.2018e-05
67.1280,6.2785e-06,7.5093e-06,1.3810e-05
68.1220,6.5509e-06,8.8162e-06,1.5410e-05
69.1170,8.7511e-06,9.0280e-06,1.7892e-05
70.1110,1.2829e-05,8.0309e-06,2.0913e-05
71.1060,1.5740e-05,7.2388e-06,2.3080e-05
72.1000,2.0273e-05,7.5563e-06,2.7904e-05
73.0940,2.1253e-05,8.7414e-06,3.0007e-05
74.0890,2.4030e-05,8.9463e-06,3.3136e-05
75.0830,2.7379e-05,8.8951e-06,3.6321e-05
76.0780,4.1607e-05,8.6725e-06,5.0515e-05
77.0720,5.0951e-05,9.1499e-06,6.0195e-05
78.0670,4.1840e-05,1.0324e-05,5.2519e-05
79.0610,3.2622e-05,1.0096e-05,4.2816e-05
80.0560,4.0905e-05,9.5323e-06,5.0531e-05
81.0500,6.7294e-05,1.1842e-05,7.9321e-05
82.0440,6.1068e-05,1.4039e-05,7.5108e-05
83.0390,1.1348e-04,1.5964e-05,1.2948e-04
84.0330,3.8332e-05,1.1335e-05,4.9681e-05
85.0280,3.5573e-05,9.0120e-06,4.5114e-05
86.0220,3.7259e-05,1.1051e-05,4.8378e-05
87.0170,3.2473e-05,2.3711e-05,5.8780e-05
88.0110,6.5395e-05,1.4082e-05,8.3609e-05
89.0060,4.3306e-05,7.6424e-06,5.4390e-05
