# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10jj for E = 50.0 keV, L* = 4.5, MLT = 10.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.2227e-04,1.4083e-04,3.6310e-04
1.4940,2.2394e-04,1.4176e-04,3.6570e-04
2.4890,2.2564e-04,1.4257e-04,3.6821e-04
3.4830,2.2735e-04,1.4326e-04,3.7060e-04
4.4780,2.2907e-04,1.4381e-04,3.7289e-04
5.4720,2.3081e-04,1.4424e-04,3.7505e-04
6.4670,2.3256e-04,1.4452e-04,3.7709e-04
7.4610,2.3432e-04,1.4466e-04,3.7899e-04
8.4560,2.3609e-04,1.4465e-04,3.8074e-04
9.4500,2.3786e-04,1.4449e-04,3.8234e-04
10.4440,2.3963e-04,1.4416e-04,3.8379e-04
11.4390,2.4141e-04,1.4366e-04,3.8507e-04
12.4330,2.4320e-04,1.4298e-04,3.8618e-04
13.4280,2.4498e-04,1.4213e-04,3.8712e-04
14.4220,2.4677e-04,1.4110e-04,3.8787e-04
15.4170,2.4855e-04,1.3986e-04,3.8842e-04
16.4110,2.5033e-04,1.3844e-04,3.8877e-04
17.4060,2.5211e-04,1.3683e-04,3.8893e-04
18.4000,2.5387e-04,1.3501e-04,3.8888e-04
19.3940,2.5562e-04,1.3300e-04,3.8861e-04
20.3890,2.5734e-04,1.3078e-04,3.8812e-04
21.3830,2.5904e-04,1.2835e-04,3.8739e-04
22.3780,2.6070e-04,1.2572e-04,3.8642e-04
23.3720,2.6233e-04,1.2288e-04,3.8521e-04
24.3670,2.6392e-04,1.1983e-04,3.8375e-04
25.3610,2.6546e-04,1.1658e-04,3.8204e-04
26.3560,2.6695e-04,1.1312e-04,3.8006e-04
27.3500,2.6837e-04,1.0943e-04,3.7780e-04
28.3440,2.6973e-04,1.0551e-04,3.7524e-04
29.3390,2.7102e-04,1.0135e-04,3.7237e-04
30.3330,2.7222e-04,9.6919e-05,3.6914e-04
31.3280,2.7333e-04,9.2154e-05,3.6549e-04
32.3220,2.7433e-04,8.7001e-05,3.6133e-04
33.3170,2.7521e-04,8.1389e-05,3.5659e-04
34.3110,2.7591e-04,7.5265e-05,3.5117e-04
35.3060,2.7617e-04,6.8649e-05,3.4481e-04
36.3000,2.7619e-04,6.1664e-05,3.3785e-04
37.2940,2.7611e-04,5.4510e-05,3.3062e-04
38.2890,2.7596e-04,4.7363e-05,3.2332e-04
39.2830,2.7579e-04,4.0320e-05,3.1611e-04
40.2780,2.7557e-04,3.3480e-05,3.0905e-04
41.2720,2.7540e-04,2.6916e-05,3.0232e-04
42.2670,2.7520e-04,2.0778e-05,2.9598e-04
43.2610,2.7472e-04,1.5234e-05,2.8996e-04
44.2560,2.7409e-04,1.0607e-05,2.8470e-04
45.2500,2.7323e-04,7.1578e-06,2.8039e-04
46.2440,2.7215e-04,4.7826e-06,2.7694e-04
47.2390,2.7103e-04,4.7489e-06,2.7578e-04
48.2330,2.6995e-04,9.8675e-06,2.7982e-04
49.2280,2.6908e-04,1.0488e-05,2.7957e-04
50.2220,2.6829e-04,1.1178e-05,2.7947e-04
51.2170,2.6769e-04,1.2572e-05,2.8026e-04
52.2110,2.6713e-04,1.4242e-05,2.8137e-04
53.2060,2.6599e-04,3.2959e-06,2.6929e-04
54.2000,2.6446e-04,3.0786e-08,2.6449e-04
55.1940,2.6243e-04,2.8944e-08,2.6246e-04
56.1890,2.5960e-04,2.7554e-08,2.5963e-04
57.1830,2.5569e-04,2.0104e-08,2.5571e-04
58.1780,2.5031e-04,1.3960e-08,2.5032e-04
59.1720,2.4324e-04,8.9316e-09,2.4325e-04
60.1670,2.3374e-04,8.1500e-09,2.3375e-04
61.1610,2.2276e-04,6.4093e-09,2.2277e-04
62.1560,2.1092e-04,4.2938e-09,2.1092e-04
63.1500,1.9784e-04,3.2605e-09,1.9785e-04
64.1440,1.8296e-04,6.2615e-09,1.8296e-04
65.1390,1.6631e-04,1.1774e-08,1.6632e-04
66.1330,1.4692e-04,1.7184e-08,1.4694e-04
67.1280,1.2739e-04,2.2008e-08,1.2741e-04
68.1220,1.0843e-04,2.6319e-08,1.0845e-04
69.1170,9.1209e-05,2.8541e-08,9.1238e-05
70.1110,7.4876e-05,2.8427e-08,7.4904e-05
71.1060,6.2214e-05,2.3405e-08,6.2237e-05
72.1000,5.2125e-05,1.6302e-08,5.2141e-05
73.0940,4.5320e-05,1.0145e-08,4.5330e-05
74.0890,4.2316e-05,5.2108e-09,4.2321e-05
75.0830,3.8921e-05,1.5669e-09,3.8922e-05
76.0780,3.5728e-05,2.5771e-10,3.5729e-05
77.0720,4.0625e-05,2.9337e-12,4.0625e-05
78.0670,4.1695e-05,1.0000e-31,4.1695e-05
79.0610,3.5037e-05,1.0000e-31,3.5037e-05
80.0560,2.9229e-05,1.0000e-31,2.9229e-05
81.0500,2.3848e-05,1.0000e-31,2.3848e-05
82.0440,1.9229e-05,1.0000e-31,1.9229e-05
83.0390,1.5333e-05,1.0000e-31,1.5333e-05
84.0330,1.1787e-05,1.0000e-31,1.1787e-05
85.0280,8.5065e-06,1.0000e-31,8.5065e-06
86.0220,5.3992e-06,1.0000e-31,5.3992e-06
87.0170,2.9066e-06,1.0000e-31,2.9066e-06
88.0110,1.7967e-06,1.0000e-31,1.7967e-06
89.0060,9.0285e-07,1.0000e-31,9.0285e-07
