# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10k for E = 1000.0 keV, L* = 4.5, MLT = 7.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.5297e-08,3.0584e-09,3.8424e-08
1.4940,3.5619e-08,3.0991e-09,3.8785e-08
2.4890,3.6003e-08,3.1594e-09,3.9226e-08
3.4830,3.6450e-08,3.2434e-09,3.9752e-08
4.4780,3.6962e-08,3.3570e-09,4.0372e-08
5.4720,3.7543e-08,3.5100e-09,4.1098e-08
6.4670,3.8195e-08,3.7170e-09,4.1950e-08
7.4610,3.8920e-08,4.0000e-09,4.2952e-08
8.4560,3.9719e-08,4.3917e-09,4.4137e-08
9.4500,4.0588e-08,4.9400e-09,4.5548e-08
10.4440,4.1510e-08,5.7148e-09,4.7242e-08
11.4390,4.2467e-08,6.8157e-09,4.9296e-08
12.4330,4.3414e-08,8.3830e-09,5.1806e-08
13.4280,4.4389e-08,1.0610e-08,5.5004e-08
14.4220,4.5438e-08,1.3760e-08,5.9200e-08
15.4170,4.6563e-08,1.8187e-08,6.4750e-08
16.4110,4.7759e-08,2.4355e-08,7.2116e-08
17.4060,4.9021e-08,3.2873e-08,8.1903e-08
18.4000,5.0318e-08,4.4519e-08,9.4859e-08
19.3940,5.1622e-08,6.0261e-08,1.1193e-07
20.3890,5.2931e-08,8.1248e-08,1.3426e-07
21.3830,5.4167e-08,1.0873e-07,1.6301e-07
22.3780,5.5443e-08,1.4390e-07,1.9949e-07
23.3720,5.6803e-08,1.8754e-07,2.4451e-07
24.3670,5.8289e-08,2.3957e-07,2.9803e-07
25.3610,5.9868e-08,2.9843e-07,3.5847e-07
26.3560,6.1503e-08,3.6055e-07,4.2221e-07
27.3500,6.3340e-08,4.2009e-07,4.8358e-07
28.3440,6.5464e-08,4.6928e-07,5.3488e-07
29.3390,6.7888e-08,4.9959e-07,5.6759e-07
30.3330,7.0574e-08,5.0368e-07,5.7433e-07
31.3280,7.3741e-08,4.7777e-07,5.5157e-07
32.3220,7.7390e-08,4.2399e-07,5.0142e-07
33.3170,8.1789e-08,3.5105e-07,4.3285e-07
34.3110,8.7156e-08,2.7243e-07,3.5959e-07
35.3060,9.3575e-08,2.0266e-07,2.9624e-07
36.3000,1.0142e-07,1.5275e-07,2.5418e-07
37.2940,1.1097e-07,1.2662e-07,2.3760e-07
38.2890,1.2177e-07,1.2021e-07,2.4198e-07
39.2830,1.3388e-07,1.2425e-07,2.5814e-07
40.2780,1.4787e-07,1.2927e-07,2.7716e-07
41.2720,1.6481e-07,1.3042e-07,2.9526e-07
42.2670,1.8590e-07,1.2896e-07,3.1489e-07
43.2610,2.0858e-07,1.2854e-07,3.3713e-07
44.2560,2.2784e-07,1.3023e-07,3.5808e-07
45.2500,2.5040e-07,1.3198e-07,3.8239e-07
46.2440,2.7618e-07,1.3228e-07,4.0847e-07
47.2390,3.0960e-07,1.3170e-07,4.4135e-07
48.2330,3.5164e-07,1.3115e-07,4.8292e-07
49.2280,3.9574e-07,1.3069e-07,5.2662e-07
50.2220,4.5289e-07,1.2996e-07,5.8307e-07
51.2170,5.3291e-07,1.2848e-07,6.6158e-07
52.2110,6.3330e-07,1.2617e-07,7.5965e-07
53.2060,7.4482e-07,1.2419e-07,8.6920e-07
54.2000,8.7685e-07,1.2288e-07,9.9995e-07
55.1940,1.0262e-06,1.2264e-07,1.1490e-06
56.1890,1.2116e-06,1.2158e-07,1.3333e-06
57.1830,1.4441e-06,1.1853e-07,1.5627e-06
58.1780,1.7373e-06,1.1732e-07,1.8546e-06
59.1720,2.0593e-06,1.1545e-07,2.1748e-06
60.1670,2.4241e-06,1.1492e-07,2.5392e-06
61.1610,2.8227e-06,1.1677e-07,2.9397e-06
62.1560,3.3245e-06,1.1674e-07,3.4414e-06
63.1500,3.9406e-06,1.1693e-07,4.0577e-06
64.1440,4.6795e-06,1.1541e-07,4.7949e-06
65.1390,5.4180e-06,1.1229e-07,5.5303e-06
66.1330,6.2417e-06,1.0852e-07,6.3502e-06
67.1280,7.0632e-06,1.0476e-07,7.1680e-06
68.1220,7.7985e-06,9.7650e-08,7.8963e-06
69.1170,9.0605e-06,9.1134e-08,9.1517e-06
70.1110,1.0241e-05,8.2853e-08,1.0323e-05
71.1060,1.1508e-05,7.4221e-08,1.1582e-05
72.1000,1.3123e-05,6.2406e-08,1.3186e-05
73.0940,1.4847e-05,4.8463e-08,1.4896e-05
74.0890,1.6086e-05,3.4632e-08,1.6121e-05
75.0830,1.5822e-05,2.2717e-08,1.5845e-05
76.0780,1.5970e-05,1.1995e-08,1.5982e-05
77.0720,1.6646e-05,9.7787e-10,1.6647e-05
78.0670,1.7300e-05,1.2142e-10,1.7300e-05
79.0610,1.9585e-05,1.2080e-10,1.9585e-05
80.0560,2.0339e-05,1.2138e-10,2.0339e-05
81.0500,2.9751e-05,7.4658e-11,2.9751e-05
82.0440,1.3200e-05,4.8758e-11,1.3200e-05
83.0390,1.7138e-05,4.0176e-11,1.7138e-05
84.0330,1.5483e-05,4.0564e-11,1.5483e-05
85.0280,2.2117e-05,4.5368e-11,2.2117e-05
86.0220,1.2468e-05,3.6215e-11,1.2468e-05
87.0170,8.0064e-06,2.7449e-11,8.0064e-06
88.0110,1.1249e-05,2.8583e-11,1.1249e-05
89.0060,1.3019e-05,6.5067e-11,1.3019e-05
