# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10kk for E = 50.0 keV, L* = 4.5, MLT = 13.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.7919e-04,1.0000e-31,2.7919e-04
1.4940,2.8145e-04,1.0000e-31,2.8145e-04
2.4890,2.8387e-04,1.0000e-31,2.8387e-04
3.4830,2.8647e-04,1.0000e-31,2.8647e-04
4.4780,2.8926e-04,1.0000e-31,2.8926e-04
5.4720,2.9222e-04,1.0000e-31,2.9222e-04
6.4670,2.9537e-04,1.0000e-31,2.9537e-04
7.4610,2.9871e-04,1.0000e-31,2.9871e-04
8.4560,3.0221e-04,1.0000e-31,3.0221e-04
9.4500,3.0587e-04,1.0000e-31,3.0587e-04
10.4440,3.0965e-04,1.0000e-31,3.0965e-04
11.4390,3.1351e-04,1.0000e-31,3.1351e-04
12.4330,3.1740e-04,1.0000e-31,3.1740e-04
13.4280,3.2125e-04,1.0000e-31,3.2125e-04
14.4220,3.2496e-04,1.0000e-31,3.2496e-04
15.4170,3.2846e-04,1.0000e-31,3.2846e-04
16.4110,3.3165e-04,1.0000e-31,3.3165e-04
17.4060,3.3449e-04,1.0000e-31,3.3449e-04
18.4000,3.3699e-04,1.0000e-31,3.3699e-04
19.3940,3.3930e-04,1.0000e-31,3.3930e-04
20.3890,3.4158e-04,1.0000e-31,3.4158e-04
21.3830,3.4390e-04,1.0000e-31,3.4390e-04
22.3780,3.4633e-04,1.0000e-31,3.4633e-04
23.3720,3.4893e-04,1.0000e-31,3.4893e-04
24.3670,3.5164e-04,1.0000e-31,3.5164e-04
25.3610,3.5425e-04,1.0000e-31,3.5425e-04
26.3560,3.5656e-04,1.0000e-31,3.5656e-04
27.3500,3.5837e-04,1.0000e-31,3.5837e-04
28.3440,3.5966e-04,1.0000e-31,3.5966e-04
29.3390,3.6066e-04,1.0000e-31,3.6066e-04
30.3330,3.6152e-04,1.0000e-31,3.6152e-04
31.3280,3.6266e-04,1.0000e-31,3.6266e-04
32.3220,3.6437e-04,1.0000e-31,3.6437e-04
33.3170,3.6553e-04,1.0000e-31,3.6553e-04
34.3110,3.6620e-04,1.0000e-31,3.6620e-04
35.3060,3.6803e-04,1.0000e-31,3.6803e-04
36.3000,3.7514e-04,1.0000e-31,3.7514e-04
37.2940,3.8418e-04,1.0000e-31,3.8418e-04
38.2890,3.8357e-04,1.0000e-31,3.8357e-04
39.2830,3.8023e-04,1.0000e-31,3.8023e-04
40.2780,3.7629e-04,1.0000e-31,3.7629e-04
41.2720,3.7172e-04,1.0000e-31,3.7172e-04
42.2670,3.6654e-04,1.0000e-31,3.6654e-04
43.2610,3.6079e-04,1.0000e-31,3.6079e-04
44.2560,3.5443e-04,1.0000e-31,3.5443e-04
45.2500,3.4720e-04,1.0000e-31,3.4720e-04
46.2440,3.3913e-04,1.0000e-31,3.3913e-04
47.2390,3.3023e-04,1.0000e-31,3.3023e-04
48.2330,3.2069e-04,1.0000e-31,3.2069e-04
49.2280,3.1069e-04,1.0000e-31,3.1069e-04
50.2220,3.0044e-04,1.0000e-31,3.0044e-04
51.2170,2.9013e-04,1.0000e-31,2.9013e-04
52.2110,2.7956e-04,1.0000e-31,2.7956e-04
53.2060,2.6869e-04,1.0000e-31,2.6869e-04
54.2000,2.5794e-04,1.0000e-31,2.5794e-04
55.1940,2.4790e-04,1.0000e-31,2.4790e-04
56.1890,2.3918e-04,1.0000e-31,2.3918e-04
57.1830,2.3250e-04,1.0000e-31,2.3250e-04
58.1780,2.2847e-04,1.0000e-31,2.2847e-04
59.1720,2.2492e-04,1.0000e-31,2.2492e-04
60.1670,2.1992e-04,1.0000e-31,2.1992e-04
61.1610,2.1432e-04,1.0000e-31,2.1432e-04
62.1560,2.0809e-04,1.0000e-31,2.0809e-04
63.1500,2.0131e-04,1.0000e-31,2.0131e-04
64.1440,1.9397e-04,1.0000e-31,1.9397e-04
65.1390,1.8518e-04,1.0000e-31,1.8518e-04
66.1330,1.7621e-04,1.0000e-31,1.7621e-04
67.1280,1.6615e-04,1.0000e-31,1.6615e-04
68.1220,1.5461e-04,1.0000e-31,1.5461e-04
69.1170,1.4195e-04,1.0000e-31,1.4195e-04
70.1110,1.2763e-04,1.0000e-31,1.2763e-04
71.1060,1.1199e-04,1.0000e-31,1.1199e-04
72.1000,9.4039e-05,1.0000e-31,9.4039e-05
73.0940,7.2720e-05,1.0000e-31,7.2720e-05
74.0890,4.9953e-05,1.0000e-31,4.9953e-05
75.0830,2.9278e-05,1.0000e-31,2.9278e-05
76.0780,2.1811e-05,1.0000e-31,2.1811e-05
77.0720,1.8999e-05,1.0000e-31,1.8999e-05
78.0670,1.6747e-05,1.0000e-31,1.6747e-05
79.0610,1.2646e-05,1.0000e-31,1.2646e-05
80.0560,8.6892e-06,1.0000e-31,8.6892e-06
81.0500,7.6660e-06,1.0000e-31,7.6660e-06
82.0440,9.5684e-06,1.0000e-31,9.5684e-06
83.0390,1.1332e-05,1.0000e-31,1.1332e-05
84.0330,1.5406e-05,1.0000e-31,1.5406e-05
85.0280,2.1685e-05,1.0000e-31,2.1685e-05
86.0220,3.9609e-05,1.0000e-31,3.9609e-05
87.0170,1.1415e-04,1.0000e-31,1.1415e-04
88.0110,1.8658e-04,1.0000e-31,1.8658e-04
89.0060,1.9483e-08,1.0000e-31,1.9483e-08
