# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10l for E = 1000.0 keV, L* = 4.5, MLT = 10.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.9808e-06,6.7523e-10,2.9816e-06
1.4940,3.0051e-06,6.1340e-09,3.0126e-06
2.4890,3.0316e-06,1.7455e-08,3.0528e-06
3.4830,3.0602e-06,3.5370e-08,3.1027e-06
4.4780,3.0910e-06,6.0920e-08,3.1632e-06
5.4720,3.1238e-06,9.5459e-08,3.2352e-06
6.4670,3.1587e-06,1.4066e-07,3.3202e-06
7.4610,3.1957e-06,1.9853e-07,3.4199e-06
8.4560,3.2348e-06,2.7142e-07,3.5363e-06
9.4500,3.2765e-06,3.6208e-07,3.6725e-06
10.4440,3.3211e-06,4.7365e-07,3.8315e-06
11.4390,3.3691e-06,6.0972e-07,4.0172e-06
12.4330,3.4206e-06,7.7431e-07,4.2336e-06
13.4280,3.4764e-06,9.7194e-07,4.4859e-06
14.4220,3.5373e-06,1.2076e-06,4.7799e-06
15.4170,3.6044e-06,1.4866e-06,5.1222e-06
16.4110,3.6782e-06,1.8147e-06,5.5193e-06
17.4060,3.7582e-06,2.1980e-06,5.9772e-06
18.4000,3.8436e-06,2.6423e-06,6.5012e-06
19.3940,3.9346e-06,3.1534e-06,7.0980e-06
20.3890,4.0306e-06,3.7364e-06,7.7725e-06
21.3830,4.1304e-06,4.3952e-06,8.5278e-06
22.3780,4.2326e-06,5.1320e-06,9.3648e-06
23.3720,4.3366e-06,5.9465e-06,1.0283e-05
24.3670,4.4480e-06,6.8358e-06,1.1286e-05
25.3610,4.5728e-06,7.7930e-06,1.2373e-05
26.3560,4.7096e-06,8.8076e-06,1.3531e-05
27.3500,4.8629e-06,9.8652e-06,1.4750e-05
28.3440,5.0400e-06,1.0948e-05,1.6019e-05
29.3390,5.2379e-06,1.2032e-05,1.7312e-05
30.3330,5.4508e-06,1.3094e-05,1.8598e-05
31.3280,5.6739e-06,1.4102e-05,1.9842e-05
32.3220,5.9083e-06,1.5028e-05,2.1014e-05
33.3170,6.1606e-06,1.5842e-05,2.2091e-05
34.3110,6.4393e-06,1.6516e-05,2.3052e-05
35.3060,6.7507e-06,1.7033e-05,2.3886e-05
36.3000,7.1020e-06,1.7382e-05,2.4585e-05
37.2940,7.4780e-06,1.7570e-05,2.5140e-05
38.2890,7.8640e-06,1.7626e-05,2.5570e-05
39.2830,8.2391e-06,1.7619e-05,2.5924e-05
40.2780,8.6064e-06,1.7636e-05,2.6290e-05
41.2720,8.9766e-06,1.7699e-05,2.6705e-05
42.2670,9.3746e-06,1.7631e-05,2.7022e-05
43.2610,9.7746e-06,1.7409e-05,2.7192e-05
44.2560,1.0142e-05,1.7030e-05,2.7179e-05
45.2500,1.0543e-05,1.6303e-05,2.6855e-05
46.2440,1.0960e-05,1.5055e-05,2.6029e-05
47.2390,1.1378e-05,1.3046e-05,2.4446e-05
48.2330,1.1856e-05,1.0346e-05,2.2232e-05
49.2280,1.2299e-05,7.5749e-06,1.9916e-05
50.2220,1.2789e-05,4.8352e-06,1.7678e-05
51.2170,1.3330e-05,2.4892e-06,1.5863e-05
52.2110,1.3886e-05,9.4464e-07,1.4843e-05
53.2060,1.4377e-05,3.2182e-07,1.4699e-05
54.2000,1.4864e-05,1.7013e-09,1.4865e-05
55.1940,1.5326e-05,1.3902e-09,1.5328e-05
56.1890,1.5806e-05,1.1227e-09,1.5807e-05
57.1830,1.6296e-05,8.4959e-10,1.6297e-05
58.1780,1.6740e-05,6.7334e-10,1.6740e-05
59.1720,1.7175e-05,5.5078e-10,1.7176e-05
60.1670,1.7527e-05,4.9254e-10,1.7527e-05
61.1610,1.7978e-05,4.4398e-10,1.7978e-05
62.1560,1.8602e-05,4.1257e-10,1.8602e-05
63.1500,1.9283e-05,3.8648e-10,1.9283e-05
64.1440,2.0006e-05,3.5745e-10,2.0007e-05
65.1390,2.0873e-05,3.4801e-10,2.0873e-05
66.1330,2.2041e-05,3.4121e-10,2.2041e-05
67.1280,2.2983e-05,3.2422e-10,2.2983e-05
68.1220,2.3928e-05,3.0416e-10,2.3929e-05
69.1170,2.4777e-05,2.9994e-10,2.4777e-05
70.1110,2.5448e-05,2.9713e-10,2.5448e-05
71.1060,2.6386e-05,2.5445e-10,2.6387e-05
72.1000,2.7809e-05,1.9849e-10,2.7809e-05
73.0940,2.9699e-05,1.5727e-10,2.9699e-05
74.0890,3.1333e-05,1.2656e-10,3.1333e-05
75.0830,3.2889e-05,7.3027e-11,3.2889e-05
76.0780,3.4436e-05,2.7516e-11,3.4436e-05
77.0720,3.4904e-05,4.2347e-12,3.4904e-05
78.0670,3.5755e-05,1.0000e-31,3.5755e-05
79.0610,3.6968e-05,1.0000e-31,3.6968e-05
80.0560,3.8297e-05,1.0000e-31,3.8297e-05
81.0500,3.9655e-05,1.0000e-31,3.9655e-05
82.0440,4.5302e-05,1.0000e-31,4.5302e-05
83.0390,4.7831e-05,1.0000e-31,4.7831e-05
84.0330,4.6162e-05,1.0000e-31,4.6162e-05
85.0280,3.7781e-05,1.0000e-31,3.7781e-05
86.0220,2.3952e-05,1.0000e-31,2.3952e-05
87.0170,1.7776e-05,1.0000e-31,1.7776e-05
88.0110,1.3436e-05,1.0000e-31,1.3436e-05
89.0060,1.2665e-05,1.0000e-31,1.2665e-05
