# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10ll for E = 50.0 keV, L* = 4.5, MLT = 16.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,4.5830e-08,1.0000e-31,4.5830e-08
1.4940,4.6178e-08,1.0000e-31,4.6178e-08
2.4890,4.6531e-08,1.0000e-31,4.6531e-08
3.4830,4.6890e-08,1.0000e-31,4.6890e-08
4.4780,4.7255e-08,1.0000e-31,4.7255e-08
5.4720,4.7626e-08,1.0000e-31,4.7626e-08
6.4670,4.8002e-08,1.0000e-31,4.8002e-08
7.4610,4.8384e-08,1.0000e-31,4.8384e-08
8.4560,4.8771e-08,1.0000e-31,4.8771e-08
9.4500,4.9163e-08,1.0000e-31,4.9163e-08
10.4440,4.9560e-08,1.0000e-31,4.9560e-08
11.4390,4.9961e-08,1.0000e-31,4.9961e-08
12.4330,5.0366e-08,1.0000e-31,5.0366e-08
13.4280,5.0774e-08,1.0000e-31,5.0774e-08
14.4220,5.1184e-08,1.0000e-31,5.1184e-08
15.4170,5.1597e-08,1.0000e-31,5.1597e-08
16.4110,5.2010e-08,1.0000e-31,5.2010e-08
17.4060,5.2425e-08,1.0000e-31,5.2425e-08
18.4000,5.2839e-08,1.0000e-31,5.2839e-08
19.3940,5.3254e-08,1.0000e-31,5.3254e-08
20.3890,5.3668e-08,1.0000e-31,5.3668e-08
21.3830,5.4079e-08,1.0000e-31,5.4079e-08
22.3780,5.4485e-08,1.0000e-31,5.4485e-08
23.3720,5.4887e-08,1.0000e-31,5.4887e-08
24.3670,5.5285e-08,1.0000e-31,5.5285e-08
25.3610,5.5676e-08,1.0000e-31,5.5676e-08
26.3560,5.6052e-08,1.0000e-31,5.6052e-08
27.3500,5.6406e-08,1.0000e-31,5.6406e-08
28.3440,5.6740e-08,1.0000e-31,5.6740e-08
29.3390,5.7072e-08,1.0000e-31,5.7072e-08
30.3330,5.7412e-08,1.0000e-31,5.7412e-08
31.3280,5.7762e-08,1.0000e-31,5.7762e-08
32.3220,5.8132e-08,1.0000e-31,5.8132e-08
33.3170,5.8537e-08,1.0000e-31,5.8537e-08
34.3110,5.9008e-08,1.0000e-31,5.9008e-08
35.3060,5.9630e-08,1.0000e-31,5.9630e-08
36.3000,6.0583e-08,1.0000e-31,6.0583e-08
37.2940,6.1886e-08,1.0000e-31,6.1886e-08
38.2890,6.3251e-08,1.0000e-31,6.3251e-08
39.2830,6.4657e-08,1.0000e-31,6.4657e-08
40.2780,6.6093e-08,1.0000e-31,6.6093e-08
41.2720,6.7544e-08,1.0000e-31,6.7544e-08
42.2670,6.9000e-08,1.0000e-31,6.9000e-08
43.2610,7.0448e-08,1.0000e-31,7.0448e-08
44.2560,7.1875e-08,1.0000e-31,7.1875e-08
45.2500,7.3275e-08,1.0000e-31,7.3275e-08
46.2440,7.4613e-08,1.0000e-31,7.4613e-08
47.2390,7.5845e-08,1.0000e-31,7.5845e-08
48.2330,7.6976e-08,1.0000e-31,7.6976e-08
49.2280,7.8031e-08,1.0000e-31,7.8031e-08
50.2220,7.8800e-08,1.0000e-31,7.8800e-08
51.2170,7.9281e-08,1.0000e-31,7.9281e-08
52.2110,7.9530e-08,1.0000e-31,7.9530e-08
53.2060,7.9618e-08,1.0000e-31,7.9618e-08
54.2000,7.9530e-08,1.0000e-31,7.9530e-08
55.1940,7.9265e-08,1.0000e-31,7.9265e-08
56.1890,7.8780e-08,1.0000e-31,7.8780e-08
57.1830,7.8023e-08,1.0000e-31,7.8023e-08
58.1780,7.6930e-08,1.0000e-31,7.6930e-08
59.1720,7.5427e-08,1.0000e-31,7.5427e-08
60.1670,7.3398e-08,1.0000e-31,7.3398e-08
61.1610,7.0793e-08,1.0000e-31,7.0793e-08
62.1560,6.7514e-08,1.0000e-31,6.7514e-08
63.1500,6.3340e-08,1.0000e-31,6.3340e-08
64.1440,5.7914e-08,1.0000e-31,5.7914e-08
65.1390,5.1391e-08,1.0000e-31,5.1391e-08
66.1330,4.4222e-08,1.0000e-31,4.4222e-08
67.1280,3.6712e-08,1.0000e-31,3.6712e-08
68.1220,2.9423e-08,1.0000e-31,2.9423e-08
69.1170,2.4772e-08,1.0000e-31,2.4772e-08
70.1110,2.6797e-08,1.0000e-31,2.6797e-08
71.1060,2.9684e-08,1.0000e-31,2.9684e-08
72.1000,3.2137e-08,1.0000e-31,3.2137e-08
73.0940,3.4990e-08,1.0000e-31,3.4990e-08
74.0890,3.8526e-08,1.0000e-31,3.8526e-08
75.0830,4.2322e-08,1.0000e-31,4.2322e-08
76.0780,4.5225e-08,1.0000e-31,4.5225e-08
77.0720,4.7673e-08,1.0000e-31,4.7673e-08
78.0670,5.1382e-08,1.0000e-31,5.1382e-08
79.0610,5.2770e-08,1.0000e-31,5.2770e-08
80.0560,5.2202e-08,1.0000e-31,5.2202e-08
81.0500,5.0656e-08,1.0000e-31,5.0656e-08
82.0440,4.2950e-08,1.0000e-31,4.2950e-08
83.0390,3.2282e-08,1.0000e-31,3.2282e-08
84.0330,2.5149e-08,1.0000e-31,2.5149e-08
85.0280,2.7624e-08,1.0000e-31,2.7624e-08
86.0220,5.8260e-08,1.0000e-31,5.8260e-08
87.0170,1.0088e-07,1.0000e-31,1.0088e-07
88.0110,1.8521e-07,1.0000e-31,1.8521e-07
89.0060,1.0586e-08,1.0000e-31,1.0586e-08
