# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10m for E = 1000.0 keV, L* = 4.5, MLT = 13.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.7036e-06,1.0000e-31,1.7036e-06
1.4940,1.7183e-06,1.0000e-31,1.7183e-06
2.4890,1.7351e-06,1.0000e-31,1.7351e-06
3.4830,1.7542e-06,1.0000e-31,1.7542e-06
4.4780,1.7757e-06,1.0000e-31,1.7757e-06
5.4720,1.8000e-06,1.0000e-31,1.8000e-06
6.4670,1.8277e-06,1.0000e-31,1.8277e-06
7.4610,1.8592e-06,1.0000e-31,1.8592e-06
8.4560,1.8955e-06,1.0000e-31,1.8955e-06
9.4500,1.9384e-06,1.0000e-31,1.9384e-06
10.4440,1.9912e-06,1.0000e-31,1.9912e-06
11.4390,2.0572e-06,1.0000e-31,2.0572e-06
12.4330,2.1380e-06,1.0000e-31,2.1380e-06
13.4280,2.2306e-06,1.0000e-31,2.2306e-06
14.4220,2.3418e-06,1.0000e-31,2.3418e-06
15.4170,2.4710e-06,1.0000e-31,2.4710e-06
16.4110,2.6188e-06,1.0000e-31,2.6188e-06
17.4060,2.7746e-06,1.0000e-31,2.7746e-06
18.4000,2.9454e-06,1.0000e-31,2.9454e-06
19.3940,3.1294e-06,1.0000e-31,3.1294e-06
20.3890,3.3076e-06,1.0000e-31,3.3076e-06
21.3830,3.4760e-06,1.0000e-31,3.4760e-06
22.3780,3.6522e-06,1.0000e-31,3.6522e-06
23.3720,3.8393e-06,1.0000e-31,3.8393e-06
24.3670,4.0694e-06,1.0000e-31,4.0694e-06
25.3610,4.4355e-06,1.0000e-31,4.4355e-06
26.3560,4.9113e-06,1.0000e-31,4.9113e-06
27.3500,5.5450e-06,1.0000e-31,5.5450e-06
28.3440,6.1788e-06,1.0000e-31,6.1788e-06
29.3390,6.8033e-06,1.0000e-31,6.8033e-06
30.3330,7.4379e-06,1.0000e-31,7.4379e-06
31.3280,8.0947e-06,1.0000e-31,8.0947e-06
32.3220,8.6581e-06,1.0000e-31,8.6581e-06
33.3170,9.2713e-06,1.0000e-31,9.2713e-06
34.3110,1.0031e-05,1.0000e-31,1.0031e-05
35.3060,1.0974e-05,1.0000e-31,1.0974e-05
36.3000,1.2205e-05,1.0000e-31,1.2205e-05
37.2940,1.3513e-05,1.0000e-31,1.3513e-05
38.2890,1.4592e-05,1.0000e-31,1.4592e-05
39.2830,1.5449e-05,1.0000e-31,1.5449e-05
40.2780,1.6282e-05,1.0000e-31,1.6282e-05
41.2720,1.7200e-05,1.0000e-31,1.7200e-05
42.2670,1.8334e-05,1.0000e-31,1.8334e-05
43.2610,1.9414e-05,1.0000e-31,1.9414e-05
44.2560,2.0416e-05,1.0000e-31,2.0416e-05
45.2500,2.1162e-05,1.0000e-31,2.1162e-05
46.2440,2.1769e-05,1.0000e-31,2.1769e-05
47.2390,2.2699e-05,1.0000e-31,2.2699e-05
48.2330,2.3268e-05,1.0000e-31,2.3268e-05
49.2280,2.4011e-05,1.0000e-31,2.4011e-05
50.2220,2.4809e-05,1.0000e-31,2.4809e-05
51.2170,2.5178e-05,1.0000e-31,2.5178e-05
52.2110,2.5192e-05,1.0000e-31,2.5192e-05
53.2060,2.5208e-05,1.0000e-31,2.5208e-05
54.2000,2.4793e-05,1.0000e-31,2.4793e-05
55.1940,2.4294e-05,1.0000e-31,2.4294e-05
56.1890,2.3595e-05,1.0000e-31,2.3595e-05
57.1830,2.2477e-05,1.0000e-31,2.2477e-05
58.1780,2.1350e-05,1.0000e-31,2.1350e-05
59.1720,2.0090e-05,1.0000e-31,2.0090e-05
60.1670,1.8659e-05,1.0000e-31,1.8659e-05
61.1610,1.7491e-05,1.0000e-31,1.7491e-05
62.1560,1.6460e-05,1.0000e-31,1.6460e-05
63.1500,1.6170e-05,1.0000e-31,1.6170e-05
64.1440,1.6679e-05,1.0000e-31,1.6679e-05
65.1390,1.7829e-05,1.0000e-31,1.7829e-05
66.1330,1.8592e-05,1.0000e-31,1.8592e-05
67.1280,1.9145e-05,1.0000e-31,1.9145e-05
68.1220,1.9768e-05,1.0000e-31,1.9768e-05
69.1170,2.1075e-05,1.0000e-31,2.1075e-05
70.1110,2.3309e-05,1.0000e-31,2.3309e-05
71.1060,2.4663e-05,1.0000e-31,2.4663e-05
72.1000,2.6017e-05,1.0000e-31,2.6017e-05
73.0940,2.8039e-05,1.0000e-31,2.8039e-05
74.0890,3.1600e-05,1.0000e-31,3.1600e-05
75.0830,3.3831e-05,1.0000e-31,3.3831e-05
76.0780,3.5740e-05,1.0000e-31,3.5740e-05
77.0720,3.7689e-05,1.0000e-31,3.7689e-05
78.0670,3.8245e-05,1.0000e-31,3.8245e-05
79.0610,3.7185e-05,1.0000e-31,3.7185e-05
80.0560,3.5974e-05,1.0000e-31,3.5974e-05
81.0500,3.5284e-05,1.0000e-31,3.5284e-05
82.0440,3.5374e-05,1.0000e-31,3.5374e-05
83.0390,3.6892e-05,1.0000e-31,3.6892e-05
84.0330,3.6609e-05,1.0000e-31,3.6609e-05
85.0280,3.6284e-05,1.0000e-31,3.6284e-05
86.0220,2.5282e-05,1.0000e-31,2.5282e-05
87.0170,3.3690e-05,1.0000e-31,3.3690e-05
88.0110,2.7685e-05,1.0000e-31,2.7685e-05
89.0060,9.7433e-05,1.0000e-31,9.7433e-05
