# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10mm for E = 50.0 keV, L* = 4.5, MLT = 19.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.4167e-09,5.4404e-16,1.4167e-09
1.4940,1.4284e-09,5.1328e-15,1.4284e-09
2.4890,1.4412e-09,1.5690e-14,1.4413e-09
3.4830,1.4553e-09,3.5088e-14,1.4553e-09
4.4780,1.4705e-09,6.8018e-14,1.4706e-09
5.4720,1.4870e-09,1.2151e-13,1.4871e-09
6.4670,1.5048e-09,2.0565e-13,1.5050e-09
7.4610,1.5239e-09,3.3459e-13,1.5242e-09
8.4560,1.5443e-09,5.2778e-13,1.5449e-09
9.4500,1.5663e-09,8.1171e-13,1.5671e-09
10.4440,1.5897e-09,1.2220e-12,1.5909e-09
11.4390,1.6147e-09,1.8059e-12,1.6165e-09
12.4330,1.6415e-09,2.6259e-12,1.6441e-09
13.4280,1.6703e-09,3.7634e-12,1.6741e-09
14.4220,1.7014e-09,5.3234e-12,1.7068e-09
15.4170,1.7353e-09,7.4403e-12,1.7428e-09
16.4110,1.7725e-09,1.0283e-11,1.7828e-09
17.4060,1.8137e-09,1.4058e-11,1.8278e-09
18.4000,1.8597e-09,1.9041e-11,1.8787e-09
19.3940,1.9111e-09,2.5571e-11,1.9367e-09
20.3890,1.9686e-09,3.4078e-11,2.0027e-09
21.3830,2.0332e-09,4.5100e-11,2.0783e-09
22.3780,2.1057e-09,5.9310e-11,2.1650e-09
23.3720,2.1872e-09,7.7541e-11,2.2647e-09
24.3670,2.2790e-09,1.0083e-10,2.3798e-09
25.3610,2.3817e-09,1.3051e-10,2.5122e-09
26.3560,2.4973e-09,1.6813e-10,2.6654e-09
27.3500,2.6273e-09,2.1557e-10,2.8429e-09
28.3440,2.7734e-09,2.7501e-10,3.0484e-09
29.3390,2.9373e-09,3.4877e-10,3.2861e-09
30.3330,3.1198e-09,4.4001e-10,3.5599e-09
31.3280,3.3202e-09,5.5215e-10,3.8724e-09
32.3220,3.5362e-09,6.8901e-10,4.2252e-09
33.3170,3.7667e-09,8.5503e-10,4.6218e-09
34.3110,4.0122e-09,1.0548e-09,5.0670e-09
35.3060,4.2733e-09,1.2937e-09,5.5670e-09
36.3000,4.5507e-09,1.5781e-09,6.1288e-09
37.2940,4.8451e-09,1.9140e-09,6.7590e-09
38.2890,5.1597e-09,2.3047e-09,7.4644e-09
39.2830,5.5004e-09,2.7572e-09,8.2576e-09
40.2780,5.8659e-09,3.2744e-09,9.1403e-09
41.2720,6.2578e-09,3.8576e-09,1.0115e-08
42.2670,6.6790e-09,4.5099e-09,1.1189e-08
43.2610,7.1297e-09,5.2454e-09,1.2375e-08
44.2560,7.6094e-09,6.0591e-09,1.3668e-08
45.2500,8.1200e-09,6.9254e-09,1.5045e-08
46.2440,8.6675e-09,7.7932e-09,1.6461e-08
47.2390,9.2280e-09,8.6177e-09,1.7846e-08
48.2330,9.7595e-09,9.2933e-09,1.9053e-08
49.2280,1.0250e-08,9.8436e-09,2.0093e-08
50.2220,1.0690e-08,1.0300e-08,2.0989e-08
51.2170,1.1071e-08,1.0656e-08,2.1727e-08
52.2110,1.1364e-08,1.0915e-08,2.2279e-08
53.2060,1.1529e-08,1.1084e-08,2.2613e-08
54.2000,1.1565e-08,1.1226e-08,2.2791e-08
55.1940,1.1542e-08,1.1437e-08,2.2979e-08
56.1890,1.1519e-08,1.1933e-08,2.3452e-08
57.1830,1.1488e-08,1.2656e-08,2.4144e-08
58.1780,1.1462e-08,1.3812e-08,2.5274e-08
59.1720,1.1506e-08,1.4195e-08,2.5701e-08
60.1670,1.1632e-08,1.4020e-08,2.5652e-08
61.1610,1.1847e-08,1.3872e-08,2.5719e-08
62.1560,1.1979e-08,1.3979e-08,2.5958e-08
63.1500,1.1923e-08,1.4487e-08,2.6410e-08
64.1440,1.1372e-08,1.5453e-08,2.6825e-08
65.1390,1.0467e-08,1.6798e-08,2.7264e-08
66.1330,8.9315e-09,1.7909e-08,2.6841e-08
67.1280,7.2206e-09,1.7909e-08,2.5130e-08
68.1220,5.2816e-09,1.6373e-08,2.1655e-08
69.1170,3.3918e-09,1.4487e-08,1.7878e-08
70.1110,3.2269e-09,1.2416e-08,1.5643e-08
71.1060,3.1288e-09,1.0670e-08,1.3799e-08
72.1000,3.2507e-09,1.0696e-08,1.3947e-08
73.0940,3.5115e-09,1.2886e-08,1.6397e-08
74.0890,3.7821e-09,9.6356e-09,1.3418e-08
75.0830,3.6999e-09,6.7766e-09,1.0476e-08
76.0780,1.7939e-09,8.5519e-09,1.0346e-08
77.0720,9.7521e-10,1.6056e-08,1.7031e-08
78.0670,1.0000e-31,2.4852e-08,2.4852e-08
79.0610,1.0000e-31,2.4331e-08,2.4331e-08
80.0560,1.0000e-31,1.5063e-08,1.5063e-08
81.0500,1.0385e-11,6.2605e-09,6.2708e-09
82.0440,5.6360e-11,7.5567e-09,7.6130e-09
83.0390,6.2055e-10,1.3125e-08,1.3746e-08
84.0330,1.4359e-09,1.4575e-08,1.6011e-08
85.0280,2.5576e-09,1.7478e-08,2.0036e-08
86.0220,6.1255e-09,2.3420e-08,2.9545e-08
87.0170,1.1104e-08,2.0814e-08,3.1918e-08
88.0110,5.3208e-09,7.1987e-09,1.2520e-08
89.0060,1.0000e-31,9.7500e-10,9.7500e-10
