# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10n for E = 1000.0 keV, L* = 4.5, MLT = 16.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,4.1396e-10,1.0000e-31,4.1396e-10
1.4940,4.1776e-10,1.0000e-31,4.1776e-10
2.4890,4.2230e-10,1.0000e-31,4.2230e-10
3.4830,4.2763e-10,1.0000e-31,4.2763e-10
4.4780,4.3383e-10,1.0000e-31,4.3383e-10
5.4720,4.4099e-10,1.0000e-31,4.4099e-10
6.4670,4.4923e-10,1.0000e-31,4.4923e-10
7.4610,4.5872e-10,1.0000e-31,4.5872e-10
8.4560,4.6963e-10,1.0000e-31,4.6963e-10
9.4500,4.8217e-10,1.0000e-31,4.8217e-10
10.4440,4.9653e-10,1.0000e-31,4.9653e-10
11.4390,5.1303e-10,1.0000e-31,5.1303e-10
12.4330,5.3194e-10,1.0000e-31,5.3194e-10
13.4280,5.5281e-10,1.0000e-31,5.5281e-10
14.4220,5.7528e-10,1.0000e-31,5.7528e-10
15.4170,5.9993e-10,1.0000e-31,5.9993e-10
16.4110,6.2660e-10,1.0000e-31,6.2660e-10
17.4060,6.5552e-10,1.0000e-31,6.5552e-10
18.4000,6.8629e-10,1.0000e-31,6.8629e-10
19.3940,7.1656e-10,1.0000e-31,7.1656e-10
20.3890,7.4446e-10,1.0000e-31,7.4446e-10
21.3830,7.7276e-10,1.0000e-31,7.7276e-10
22.3780,8.0498e-10,1.0000e-31,8.0498e-10
23.3720,8.4153e-10,1.0000e-31,8.4153e-10
24.3670,8.8107e-10,1.0000e-31,8.8107e-10
25.3610,9.2738e-10,1.0000e-31,9.2738e-10
26.3560,9.8539e-10,1.0000e-31,9.8539e-10
27.3500,1.0447e-09,1.0000e-31,1.0447e-09
28.3440,1.0920e-09,1.0000e-31,1.0920e-09
29.3390,1.1368e-09,1.0000e-31,1.1368e-09
30.3330,1.1747e-09,1.0000e-31,1.1747e-09
31.3280,1.2031e-09,1.0000e-31,1.2031e-09
32.3220,1.2375e-09,1.0000e-31,1.2375e-09
33.3170,1.2869e-09,1.0000e-31,1.2869e-09
34.3110,1.3295e-09,1.0000e-31,1.3295e-09
35.3060,1.3769e-09,1.0000e-31,1.3769e-09
36.3000,1.4207e-09,1.0000e-31,1.4207e-09
37.2940,1.4590e-09,1.0000e-31,1.4590e-09
38.2890,1.4924e-09,1.0000e-31,1.4924e-09
39.2830,1.5327e-09,1.0000e-31,1.5327e-09
40.2780,1.5563e-09,1.0000e-31,1.5563e-09
41.2720,1.5838e-09,1.0000e-31,1.5838e-09
42.2670,1.6229e-09,1.0000e-31,1.6229e-09
43.2610,1.6841e-09,1.0000e-31,1.6841e-09
44.2560,1.7414e-09,1.0000e-31,1.7414e-09
45.2500,1.7962e-09,1.0000e-31,1.7962e-09
46.2440,1.8394e-09,1.0000e-31,1.8394e-09
47.2390,1.8900e-09,1.0000e-31,1.8900e-09
48.2330,1.9558e-09,1.0000e-31,1.9558e-09
49.2280,2.0470e-09,1.0000e-31,2.0470e-09
50.2220,2.2103e-09,1.0000e-31,2.2103e-09
51.2170,2.4262e-09,1.0000e-31,2.4262e-09
52.2110,2.6720e-09,1.0000e-31,2.6720e-09
53.2060,2.9832e-09,1.0000e-31,2.9832e-09
54.2000,3.3419e-09,1.0000e-31,3.3419e-09
55.1940,3.8197e-09,1.0000e-31,3.8197e-09
56.1890,4.4668e-09,1.0000e-31,4.4668e-09
57.1830,5.1157e-09,1.0000e-31,5.1157e-09
58.1780,5.8134e-09,1.0000e-31,5.8134e-09
59.1720,6.5382e-09,1.0000e-31,6.5382e-09
60.1670,7.3196e-09,1.0000e-31,7.3196e-09
61.1610,8.4163e-09,1.0000e-31,8.4163e-09
62.1560,9.4706e-09,1.0000e-31,9.4706e-09
63.1500,1.0695e-08,1.0000e-31,1.0695e-08
64.1440,1.3019e-08,1.0000e-31,1.3019e-08
65.1390,1.5469e-08,1.0000e-31,1.5469e-08
66.1330,1.6563e-08,1.0000e-31,1.6563e-08
67.1280,1.8066e-08,1.0000e-31,1.8066e-08
68.1220,1.9429e-08,1.0000e-31,1.9429e-08
69.1170,2.1591e-08,1.0000e-31,2.1591e-08
70.1110,2.4386e-08,1.0000e-31,2.4386e-08
71.1060,2.5994e-08,1.0000e-31,2.5994e-08
72.1000,2.7798e-08,1.0000e-31,2.7798e-08
73.0940,2.9349e-08,1.0000e-31,2.9349e-08
74.0890,3.1121e-08,1.0000e-31,3.1121e-08
75.0830,3.2835e-08,1.0000e-31,3.2835e-08
76.0780,3.4161e-08,1.0000e-31,3.4161e-08
77.0720,3.4750e-08,1.0000e-31,3.4750e-08
78.0670,3.5716e-08,1.0000e-31,3.5716e-08
79.0610,3.8256e-08,1.0000e-31,3.8256e-08
80.0560,3.9091e-08,1.0000e-31,3.9091e-08
81.0500,3.7464e-08,1.0000e-31,3.7464e-08
82.0440,3.4537e-08,1.0000e-31,3.4537e-08
83.0390,2.8502e-08,1.0000e-31,2.8502e-08
84.0330,1.9351e-08,1.0000e-31,1.9351e-08
85.0280,1.7491e-08,1.0000e-31,1.7491e-08
86.0220,2.8115e-08,1.0000e-31,2.8115e-08
87.0170,4.1467e-08,1.0000e-31,4.1467e-08
88.0110,3.9904e-08,1.0000e-31,3.9904e-08
89.0060,1.0922e-07,1.0000e-31,1.0922e-07
