# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10nn for E = 50.0 keV, L* = 4.5, MLT = 22.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.2276e-06,9.0297e-07,2.1306e-06
1.4940,1.2388e-06,9.0897e-07,2.1478e-06
2.4890,1.2520e-06,9.1422e-07,2.1662e-06
3.4830,1.2673e-06,9.1869e-07,2.1860e-06
4.4780,1.2849e-06,9.2236e-07,2.2073e-06
5.4720,1.3049e-06,9.2519e-07,2.2301e-06
6.4670,1.3275e-06,9.2716e-07,2.2547e-06
7.4610,1.3529e-06,9.2822e-07,2.2811e-06
8.4560,1.3812e-06,9.2833e-07,2.3096e-06
9.4500,1.4129e-06,9.2743e-07,2.3403e-06
10.4440,1.4482e-06,9.2547e-07,2.3736e-06
11.4390,1.4874e-06,9.2238e-07,2.4098e-06
12.4330,1.5310e-06,9.1809e-07,2.4491e-06
13.4280,1.5793e-06,9.1252e-07,2.4918e-06
14.4220,1.6328e-06,9.0558e-07,2.5383e-06
15.4170,1.6919e-06,8.9717e-07,2.5891e-06
16.4110,1.7572e-06,8.8722e-07,2.6444e-06
17.4060,1.8291e-06,8.7561e-07,2.7047e-06
18.4000,1.9083e-06,8.6228e-07,2.7706e-06
19.3940,1.9961e-06,8.4715e-07,2.8433e-06
20.3890,2.0956e-06,8.3016e-07,2.9257e-06
21.3830,2.2116e-06,8.1130e-07,3.0229e-06
22.3780,2.3492e-06,7.9057e-07,3.1398e-06
23.3720,2.5128e-06,7.6803e-07,3.2808e-06
24.3670,2.7078e-06,7.4375e-07,3.4516e-06
25.3610,2.9408e-06,7.1788e-07,3.6586e-06
26.3560,3.2192e-06,6.9059e-07,3.9097e-06
27.3500,3.5491e-06,6.6211e-07,4.2112e-06
28.3440,3.9292e-06,6.3272e-07,4.5619e-06
29.3390,4.3508e-06,6.0276e-07,4.9536e-06
30.3330,4.8134e-06,5.7264e-07,5.3860e-06
31.3280,5.3200e-06,5.4285e-07,5.8629e-06
32.3220,5.8705e-06,5.1395e-07,6.3844e-06
33.3170,6.4617e-06,4.8662e-07,6.9483e-06
34.3110,7.0949e-06,4.6157e-07,7.5565e-06
35.3060,7.7725e-06,4.3953e-07,8.2120e-06
36.3000,8.4976e-06,4.2116e-07,8.9188e-06
37.2940,9.2731e-06,4.0706e-07,9.6802e-06
38.2890,1.0101e-05,3.9754e-07,1.0498e-05
39.2830,1.0983e-05,3.9274e-07,1.1375e-05
40.2780,1.1940e-05,3.9257e-07,1.2333e-05
41.2720,1.2993e-05,3.9666e-07,1.3390e-05
42.2670,1.4150e-05,4.0450e-07,1.4555e-05
43.2610,1.5418e-05,4.1603e-07,1.5834e-05
44.2560,1.6811e-05,4.3297e-07,1.7244e-05
45.2500,1.8357e-05,4.5922e-07,1.8816e-05
46.2440,2.0074e-05,4.9840e-07,2.0572e-05
47.2390,2.1984e-05,5.5136e-07,2.2535e-05
48.2330,2.4111e-05,6.2317e-07,2.4735e-05
49.2280,2.6484e-05,7.0090e-07,2.7185e-05
50.2220,2.9133e-05,7.7438e-07,2.9908e-05
51.2170,3.2098e-05,8.2833e-07,3.2927e-05
52.2110,3.5420e-05,8.4066e-07,3.6261e-05
53.2060,3.9149e-05,8.0783e-07,3.9957e-05
54.2000,4.3367e-05,7.3633e-07,4.4103e-05
55.1940,4.8215e-05,6.4003e-07,4.8855e-05
56.1890,5.3808e-05,5.3399e-07,5.4342e-05
57.1830,6.0201e-05,4.4450e-07,6.0646e-05
58.1780,6.6798e-05,4.0436e-07,6.7202e-05
59.1720,7.3038e-05,4.0816e-07,7.3447e-05
60.1670,7.8584e-05,4.1647e-07,7.9000e-05
61.1610,8.3021e-05,4.1223e-07,8.3433e-05
62.1560,8.7498e-05,3.7760e-07,8.7875e-05
63.1500,9.2386e-05,3.1489e-07,9.2701e-05
64.1440,9.7705e-05,2.7391e-07,9.7979e-05
65.1390,1.0348e-04,2.7598e-07,1.0375e-04
66.1330,1.0999e-04,3.0100e-07,1.1029e-04
67.1280,1.1728e-04,3.3432e-07,1.1761e-04
68.1220,1.2385e-04,3.6114e-07,1.2421e-04
69.1170,1.2644e-04,3.7088e-07,1.2681e-04
70.1110,1.2325e-04,3.9836e-07,1.2365e-04
71.1060,1.1171e-04,4.5319e-07,1.1217e-04
72.1000,9.0492e-05,5.1059e-07,9.1002e-05
73.0940,6.5425e-05,5.5915e-07,6.5984e-05
74.0890,4.1803e-05,5.3660e-07,4.2340e-05
75.0830,2.1791e-05,3.9164e-07,2.2182e-05
76.0780,1.4829e-05,2.7654e-07,1.5106e-05
77.0720,1.6605e-05,2.4874e-07,1.6853e-05
78.0670,2.0436e-05,2.1664e-07,2.0653e-05
79.0610,2.5981e-05,1.9119e-07,2.6173e-05
80.0560,3.4429e-05,1.8385e-07,3.4613e-05
81.0500,2.5249e-05,2.1960e-07,2.5469e-05
82.0440,1.0246e-05,1.1975e-07,1.0366e-05
83.0390,8.9440e-07,2.0464e-08,9.1486e-07
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
