# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10p for E = 1000.0 keV, L* = 4.5, MLT = 22.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.8160e-08,1.1390e-11,2.8221e-08
1.4940,3.2032e-08,1.8654e-11,3.2173e-08
2.4890,3.7909e-08,3.1978e-11,3.8155e-08
3.4830,4.4700e-08,5.4665e-11,4.5068e-08
4.4780,5.2073e-08,9.2065e-11,5.2587e-08
5.4720,6.0022e-08,1.5163e-10,6.0724e-08
6.4670,6.8672e-08,2.4351e-10,6.9624e-08
7.4610,7.8214e-08,3.8129e-10,7.9507e-08
8.4560,8.8893e-08,5.8279e-10,9.0653e-08
9.4500,1.0100e-07,8.7080e-10,1.0340e-07
10.4440,1.1490e-07,1.2738e-09,1.1818e-07
11.4390,1.3098e-07,1.8263e-09,1.3546e-07
12.4330,1.4973e-07,2.5690e-09,1.5581e-07
13.4280,1.7162e-07,3.5476e-09,1.7982e-07
14.4220,1.9710e-07,4.8116e-09,2.0804e-07
15.4170,2.2627e-07,6.4111e-09,2.4068e-07
16.4110,2.5901e-07,8.3924e-09,2.7763e-07
17.4060,2.9584e-07,1.0792e-08,3.1940e-07
18.4000,3.3751e-07,1.3631e-08,3.6671e-07
19.3940,3.8508e-07,1.6904e-08,4.2043e-07
20.3890,4.3974e-07,2.0575e-08,4.8157e-07
21.3830,5.0240e-07,2.4571e-08,5.5082e-07
22.3780,5.7344e-07,2.8780e-08,6.2831e-07
23.3720,6.5165e-07,3.3045e-08,7.1284e-07
24.3670,7.3589e-07,3.7172e-08,8.0309e-07
25.3610,8.2657e-07,4.0943e-08,8.9909e-07
26.3560,9.2426e-07,4.4134e-08,1.0009e-06
27.3500,1.0297e-06,4.6532e-08,1.1088e-06
28.3440,1.1436e-06,4.7955e-08,1.2230e-06
29.3390,1.2674e-06,4.8276e-08,1.3446e-06
30.3330,1.4040e-06,4.7437e-08,1.4760e-06
31.3280,1.5577e-06,4.5458e-08,1.6217e-06
32.3220,1.7321e-06,4.2445e-08,1.7867e-06
33.3170,1.9291e-06,3.8606e-08,1.9744e-06
34.3110,2.1273e-06,3.4210e-08,2.1648e-06
35.3060,2.3195e-06,2.9563e-08,2.3505e-06
36.3000,2.5080e-06,2.4978e-08,2.5335e-06
37.2940,2.6966e-06,2.0737e-08,2.7175e-06
38.2890,2.8891e-06,1.7052e-08,2.9062e-06
39.2830,3.0856e-06,1.4069e-08,3.0997e-06
40.2780,3.2844e-06,1.1849e-08,3.2963e-06
41.2720,3.4806e-06,1.0347e-08,3.4911e-06
42.2670,3.6621e-06,9.4176e-09,3.6716e-06
43.2610,3.8094e-06,8.8712e-09,3.8182e-06
44.2560,3.9270e-06,8.5555e-09,3.9355e-06
45.2500,4.0403e-06,8.3661e-09,4.0487e-06
46.2440,4.1475e-06,8.2467e-09,4.1558e-06
47.2390,4.2447e-06,8.1824e-09,4.2530e-06
48.2330,4.3286e-06,8.2115e-09,4.3368e-06
49.2280,4.3932e-06,8.4009e-09,4.4016e-06
50.2220,4.4314e-06,8.7795e-09,4.4402e-06
51.2170,4.4396e-06,9.3228e-09,4.4489e-06
52.2110,4.4098e-06,9.9296e-09,4.4198e-06
53.2060,4.3323e-06,1.0374e-08,4.3427e-06
54.2000,4.1949e-06,1.0440e-08,4.2054e-06
55.1940,3.9806e-06,1.0093e-08,3.9908e-06
56.1890,3.6789e-06,9.3221e-09,3.6883e-06
57.1830,3.2617e-06,8.0291e-09,3.2698e-06
58.1780,2.8057e-06,6.4404e-09,2.8121e-06
59.1720,2.3830e-06,5.1040e-09,2.3881e-06
60.1670,1.8562e-06,4.5280e-09,1.8608e-06
61.1610,1.4059e-06,4.5932e-09,1.4105e-06
62.1560,1.0707e-06,6.4830e-09,1.0772e-06
63.1500,8.8359e-07,7.1954e-09,8.9083e-07
64.1440,7.2187e-07,6.7104e-09,7.2861e-07
65.1390,6.3170e-07,6.3117e-09,6.3802e-07
66.1330,8.5267e-07,6.1959e-09,8.5895e-07
67.1280,1.1666e-06,5.4999e-09,1.1721e-06
68.1220,1.6111e-06,4.4297e-09,1.6157e-06
69.1170,2.2283e-06,4.6943e-09,2.2331e-06
70.1110,3.0885e-06,5.5231e-09,3.0942e-06
71.1060,4.1781e-06,6.3217e-09,4.1846e-06
72.1000,5.6901e-06,7.8450e-09,5.6982e-06
73.0940,7.4182e-06,9.9432e-09,7.4283e-06
74.0890,8.9453e-06,1.1940e-08,8.9575e-06
75.0830,1.0610e-05,1.3856e-08,1.0624e-05
76.0780,1.1817e-05,1.5224e-08,1.1832e-05
77.0720,1.1625e-05,1.5465e-08,1.1641e-05
78.0670,1.0959e-05,1.4083e-08,1.0974e-05
79.0610,1.0209e-05,1.1956e-08,1.0221e-05
80.0560,8.1630e-06,9.7273e-09,8.1728e-06
81.0500,4.0983e-06,7.2327e-09,4.1056e-06
82.0440,2.9460e-06,4.3546e-09,2.9504e-06
83.0390,1.9428e-06,1.3325e-09,1.9441e-06
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
