# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10q for E = 500.0 keV, L* = 4.5, MLT = 1.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.6678e-06,1.7638e-07,2.0309e-06
1.4940,1.6784e-06,1.7907e-07,2.0447e-06
2.4890,1.6872e-06,1.8315e-07,2.0571e-06
3.4830,1.6944e-06,1.8865e-07,2.0684e-06
4.4780,1.7000e-06,1.9558e-07,2.0783e-06
5.4720,1.7041e-06,2.0393e-07,2.0870e-06
6.4670,1.7075e-06,2.1373e-07,2.0950e-06
7.4610,1.7101e-06,2.2496e-07,2.1022e-06
8.4560,1.7122e-06,2.3762e-07,2.1089e-06
9.4500,1.7143e-06,2.5173e-07,2.1154e-06
10.4440,1.7163e-06,2.6728e-07,2.1217e-06
11.4390,1.7185e-06,2.8427e-07,2.1282e-06
12.4330,1.7207e-06,3.0271e-07,2.1351e-06
13.4280,1.7229e-06,3.2261e-07,2.1423e-06
14.4220,1.7246e-06,3.4399e-07,2.1503e-06
15.4170,1.7257e-06,3.6685e-07,2.1591e-06
16.4110,1.7257e-06,3.9121e-07,2.1689e-06
17.4060,1.7246e-06,4.1709e-07,2.1802e-06
18.4000,1.7227e-06,4.4451e-07,2.1938e-06
19.3940,1.7213e-06,4.7348e-07,2.2114e-06
20.3890,1.7222e-06,5.0394e-07,2.2350e-06
21.3830,1.7282e-06,5.3581e-07,2.2675e-06
22.3780,1.7429e-06,5.6894e-07,2.3125e-06
23.3720,1.7707e-06,6.0304e-07,2.3738e-06
24.3670,1.8172e-06,6.3765e-07,2.4563e-06
25.3610,1.8884e-06,6.7219e-07,2.5649e-06
26.3560,1.9908e-06,7.0588e-07,2.7046e-06
27.3500,2.1304e-06,7.3775e-07,2.8797e-06
28.3440,2.3117e-06,7.6667e-07,3.0929e-06
29.3390,2.5405e-06,7.9153e-07,3.3485e-06
30.3330,2.8250e-06,8.1146e-07,3.6534e-06
31.3280,3.1729e-06,8.2609e-07,4.0151e-06
32.3220,3.5892e-06,8.3568e-07,4.4389e-06
33.3170,4.0730e-06,8.4123e-07,4.9258e-06
34.3110,4.6243e-06,8.4484e-07,5.4782e-06
35.3060,5.2545e-06,8.4946e-07,6.1108e-06
36.3000,5.9760e-06,8.5839e-07,6.8398e-06
37.2940,6.7989e-06,8.7520e-07,7.6784e-06
38.2890,7.7352e-06,9.0361e-07,8.6426e-06
39.2830,8.8010e-06,9.4770e-07,9.7523e-06
40.2780,1.0014e-05,1.0112e-06,1.1029e-05
41.2720,1.1388e-05,1.0973e-06,1.2491e-05
42.2670,1.2937e-05,1.2087e-06,1.4152e-05
43.2610,1.4684e-05,1.3463e-06,1.6040e-05
44.2560,1.6688e-05,1.5081e-06,1.8211e-05
45.2500,1.9025e-05,1.6892e-06,2.0734e-05
46.2440,2.1754e-05,1.8849e-06,2.3667e-05
47.2390,2.4954e-05,2.1018e-06,2.7095e-05
48.2330,2.8722e-05,2.3518e-06,3.1128e-05
49.2280,3.3177e-05,2.6421e-06,3.5896e-05
50.2220,3.8465e-05,2.9846e-06,4.1553e-05
51.2170,4.4751e-05,3.3883e-06,4.8263e-05
52.2110,5.2119e-05,3.8275e-06,5.6071e-05
53.2060,6.0499e-05,4.2491e-06,6.4844e-05
54.2000,6.9670e-05,4.5961e-06,7.4315e-05
55.1940,7.9406e-05,4.8299e-06,8.4247e-05
56.1890,8.9826e-05,4.9397e-06,9.4765e-05
57.1830,1.0088e-04,4.9411e-06,1.0583e-04
58.1780,1.1217e-04,5.1054e-06,1.1727e-04
59.1720,1.2336e-04,5.4816e-06,1.2886e-04
60.1670,1.3468e-04,5.8113e-06,1.4059e-04
61.1610,1.4563e-04,5.9884e-06,1.5183e-04
62.1560,1.5448e-04,5.8721e-06,1.6062e-04
63.1500,1.5930e-04,5.5793e-06,1.6498e-04
64.1440,1.6728e-04,5.1323e-06,1.7241e-04
65.1390,1.5952e-04,4.7263e-06,1.6438e-04
66.1330,1.4634e-04,4.6589e-06,1.5138e-04
67.1280,1.3134e-04,5.1663e-06,1.3683e-04
68.1220,1.1639e-04,5.7979e-06,1.2230e-04
69.1170,1.0370e-04,5.8164e-06,1.0952e-04
70.1110,7.6322e-05,5.5616e-06,8.1958e-05
71.1060,7.1376e-05,4.7614e-06,7.6301e-05
72.1000,6.9304e-05,3.7782e-06,7.3182e-05
73.0940,6.7968e-05,3.0714e-06,7.1055e-05
74.0890,8.5679e-05,2.9443e-06,8.8680e-05
75.0830,7.6045e-05,3.6730e-06,7.9825e-05
76.0780,7.7729e-05,4.0539e-06,8.1859e-05
77.0720,9.5336e-05,4.3602e-06,9.9731e-05
78.0670,6.9780e-05,4.6603e-06,7.4445e-05
79.0610,2.3904e-05,3.4698e-06,2.7781e-05
80.0560,2.4762e-05,1.7168e-06,2.6831e-05
81.0500,2.3643e-05,6.6362e-07,2.4482e-05
82.0440,1.6146e-05,2.1716e-07,1.6412e-05
83.0390,4.4714e-06,1.2305e-07,4.6105e-06
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
