# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10r for E = 500.0 keV, L* = 4.5, MLT = 4.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,5.1851e-10,4.8600e-11,5.6745e-10
1.4940,5.2517e-10,4.9228e-11,5.7473e-10
2.4890,5.3454e-10,5.0149e-11,5.8499e-10
3.4830,5.4638e-10,5.1418e-11,5.9807e-10
4.4780,5.6033e-10,5.3129e-11,6.1368e-10
5.4720,5.7585e-10,5.5431e-11,6.3146e-10
6.4670,5.9230e-10,5.8556e-11,6.5099e-10
7.4610,6.0902e-10,6.2859e-11,6.7197e-10
8.4560,6.2549e-10,6.8878e-11,6.9442e-10
9.4500,6.4163e-10,7.7423e-11,7.1907e-10
10.4440,6.5839e-10,8.9701e-11,7.4809e-10
11.4390,6.7704e-10,1.0751e-10,7.8456e-10
12.4330,6.9787e-10,1.3352e-10,8.3145e-10
13.4280,7.2120e-10,1.7165e-10,8.9300e-10
14.4220,7.4742e-10,2.2767e-10,9.7533e-10
15.4170,7.7696e-10,3.0990e-10,1.0872e-09
16.4110,8.1024e-10,4.3031e-10,1.2408e-09
17.4060,8.4756e-10,6.0595e-10,1.4537e-09
18.4000,8.8900e-10,8.6106e-10,1.7501e-09
19.3940,9.3435e-10,1.2296e-09,2.1639e-09
20.3890,9.8352e-10,1.7591e-09,2.7428e-09
21.3830,1.0368e-09,2.5162e-09,3.5535e-09
22.3780,1.0957e-09,3.5937e-09,4.6905e-09
23.3720,1.1620e-09,5.1177e-09,6.2818e-09
24.3670,1.2371e-09,7.2653e-09,8.5062e-09
25.3610,1.3231e-09,1.0280e-08,1.1609e-08
26.3560,1.4223e-09,1.4487e-08,1.5918e-08
27.3500,1.5379e-09,2.0317e-08,2.1868e-08
28.3440,1.6739e-09,2.8368e-08,3.0060e-08
29.3390,1.8361e-09,3.9453e-08,4.1314e-08
30.3330,2.0324e-09,5.4678e-08,5.6742e-08
31.3280,2.2752e-09,7.5544e-08,7.7863e-08
32.3220,2.5811e-09,1.0409e-07,1.0673e-07
33.3170,2.9694e-09,1.4303e-07,1.4609e-07
34.3110,3.4646e-09,1.9583e-07,1.9942e-07
35.3060,4.1066e-09,2.6711e-07,2.7139e-07
36.3000,4.9547e-09,3.6266e-07,3.6786e-07
37.2940,6.0641e-09,4.8936e-07,4.9577e-07
38.2890,7.4859e-09,6.5547e-07,6.6343e-07
39.2830,9.3781e-09,8.7042e-07,8.8047e-07
40.2780,1.2050e-08,1.1447e-06,1.1576e-06
41.2720,1.5631e-08,1.4924e-06,1.5091e-06
42.2670,2.0270e-08,1.9378e-06,1.9594e-06
43.2610,2.6380e-08,2.5235e-06,2.5516e-06
44.2560,3.4621e-08,3.3053e-06,3.3418e-06
45.2500,4.6259e-08,4.3201e-06,4.3683e-06
46.2440,6.2577e-08,5.5508e-06,5.6154e-06
47.2390,8.5249e-08,6.9132e-06,7.0005e-06
48.2330,1.1693e-07,8.2715e-06,8.3908e-06
49.2280,1.6082e-07,9.4731e-06,9.6372e-06
50.2220,2.1793e-07,1.0384e-05,1.0607e-05
51.2170,2.7772e-07,1.1024e-05,1.1310e-05
52.2110,3.4173e-07,1.1942e-05,1.2302e-05
53.2060,4.4351e-07,1.3874e-05,1.4351e-05
54.2000,5.8547e-07,1.6600e-05,1.7233e-05
55.1940,7.5454e-07,1.9147e-05,1.9938e-05
56.1890,1.0166e-06,2.0738e-05,2.1779e-05
57.1830,1.3954e-06,2.0886e-05,2.2287e-05
58.1780,1.9278e-06,1.9872e-05,2.1801e-05
59.1720,2.6321e-06,1.8418e-05,2.1063e-05
60.1670,3.2203e-06,1.8648e-05,2.1869e-05
61.1610,3.8333e-06,2.1109e-05,2.5031e-05
62.1560,4.6700e-06,2.1672e-05,2.6566e-05
63.1500,5.7862e-06,2.3045e-05,2.8933e-05
64.1440,7.5656e-06,2.4200e-05,3.1775e-05
65.1390,9.5421e-06,2.2855e-05,3.2494e-05
66.1330,1.2981e-05,1.9134e-05,3.2308e-05
67.1280,1.6546e-05,1.6859e-05,3.3637e-05
68.1220,1.6467e-05,2.0884e-05,3.7396e-05
69.1170,1.9095e-05,2.2026e-05,4.1377e-05
70.1110,2.7090e-05,2.0493e-05,4.7695e-05
71.1060,3.5744e-05,1.8672e-05,5.4628e-05
72.1000,4.4258e-05,2.0673e-05,6.5058e-05
73.0940,6.1600e-05,2.0592e-05,8.2407e-05
74.0890,7.1754e-05,2.0121e-05,9.5027e-05
75.0830,7.1822e-05,2.1859e-05,9.4383e-05
76.0780,4.5945e-05,2.5276e-05,7.2891e-05
77.0720,5.8334e-05,2.0982e-05,8.0923e-05
78.0670,7.0302e-05,1.6833e-05,8.7752e-05
79.0610,1.0605e-04,1.5557e-05,1.2171e-04
80.0560,1.5497e-04,1.9956e-05,1.7516e-04
81.0500,1.7422e-04,3.8066e-05,2.1502e-04
82.0440,2.6684e-04,4.2384e-05,3.0922e-04
83.0390,1.1881e-04,4.1660e-05,1.6057e-04
84.0330,4.7424e-05,2.6571e-05,7.9649e-05
85.0280,6.7828e-05,1.4514e-05,8.6568e-05
86.0220,8.7823e-05,7.7014e-06,9.8227e-05
87.0170,1.0641e-04,5.3106e-06,1.1293e-04
88.0110,1.2110e-04,1.3735e-05,1.3759e-04
89.0060,1.1833e-04,7.1271e-05,1.8979e-04
