# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10s for E = 500.0 keV, L* = 4.5, MLT = 7.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.7861e-07,9.9253e-09,1.8856e-07
1.4940,1.8005e-07,1.0270e-08,1.9034e-07
2.4890,1.8161e-07,1.0909e-08,1.9253e-07
3.4830,1.8328e-07,1.1883e-08,1.9517e-07
4.4780,1.8508e-07,1.3255e-08,1.9833e-07
5.4720,1.8699e-07,1.5110e-08,2.0210e-07
6.4670,1.8905e-07,1.7562e-08,2.0662e-07
7.4610,1.9124e-07,2.0754e-08,2.1201e-07
8.4560,1.9358e-07,2.4867e-08,2.1849e-07
9.4500,1.9608e-07,3.0122e-08,2.2626e-07
10.4440,1.9874e-07,3.6788e-08,2.3562e-07
11.4390,2.0158e-07,4.5197e-08,2.4688e-07
12.4330,2.0459e-07,5.5758e-08,2.6047e-07
13.4280,2.0779e-07,6.8985e-08,2.7690e-07
14.4220,2.1119e-07,8.5540e-08,2.9684e-07
15.4170,2.1479e-07,1.0629e-07,3.2117e-07
16.4110,2.1861e-07,1.3236e-07,3.5104e-07
17.4060,2.2264e-07,1.6524e-07,3.8793e-07
18.4000,2.2690e-07,2.0686e-07,4.3378e-07
19.3940,2.3140e-07,2.5960e-07,4.9101e-07
20.3890,2.3618e-07,3.2623e-07,5.6242e-07
21.3830,2.4137e-07,4.0968e-07,6.5112e-07
22.3780,2.4728e-07,5.1253e-07,7.5996e-07
23.3720,2.5381e-07,6.3625e-07,8.9038e-07
24.3670,2.6100e-07,7.8029e-07,1.0418e-06
25.3610,2.6900e-07,9.4083e-07,1.2107e-06
26.3560,2.7794e-07,1.1098e-06,1.3889e-06
27.3500,2.8809e-07,1.2743e-06,1.5640e-06
28.3440,2.9966e-07,1.4173e-06,1.7190e-06
29.3390,3.1279e-07,1.5200e-06,1.8352e-06
30.3330,3.2781e-07,1.5653e-06,1.8959e-06
31.3280,3.4511e-07,1.5427e-06,1.8907e-06
32.3220,3.6514e-07,1.4517e-06,1.8196e-06
33.3170,3.8841e-07,1.3039e-06,1.6947e-06
34.3110,4.1504e-07,1.1207e-06,1.5376e-06
35.3060,4.4615e-07,9.2851e-07,1.3759e-06
36.3000,4.8249e-07,7.5190e-07,1.2351e-06
37.2940,5.2459e-07,6.0733e-07,1.1323e-06
38.2890,5.7314e-07,5.0002e-07,1.0734e-06
39.2830,6.2782e-07,4.2780e-07,1.0558e-06
40.2780,6.8685e-07,3.8568e-07,1.0728e-06
41.2720,7.4742e-07,3.6833e-07,1.1163e-06
42.2670,8.0883e-07,3.7027e-07,1.1800e-06
43.2610,8.7993e-07,3.8461e-07,1.2659e-06
44.2560,9.6459e-07,4.0383e-07,1.3703e-06
45.2500,1.0683e-06,4.2245e-07,1.4928e-06
46.2440,1.1882e-06,4.3802e-07,1.6283e-06
47.2390,1.3255e-06,4.4917e-07,1.7764e-06
48.2330,1.4796e-06,4.5639e-07,1.9373e-06
49.2280,1.6514e-06,4.6179e-07,2.1143e-06
50.2220,1.8551e-06,4.6465e-07,2.3208e-06
51.2170,2.1016e-06,4.6214e-07,2.5648e-06
52.2110,2.4190e-06,4.5330e-07,2.8734e-06
53.2060,2.7921e-06,4.4064e-07,3.2337e-06
54.2000,3.1758e-06,4.3067e-07,3.6075e-06
55.1940,3.6102e-06,4.2143e-07,4.0329e-06
56.1890,4.1036e-06,3.9848e-07,4.5034e-06
57.1830,4.6942e-06,3.6367e-07,5.0596e-06
58.1780,5.4149e-06,3.2993e-07,5.7465e-06
59.1720,6.2515e-06,3.1508e-07,6.5675e-06
60.1670,7.1214e-06,3.1872e-07,7.4407e-06
61.1610,8.0596e-06,3.2081e-07,8.3806e-06
62.1560,9.1167e-06,3.0822e-07,9.4251e-06
63.1500,1.0441e-05,2.9370e-07,1.0734e-05
64.1440,1.1908e-05,2.8843e-07,1.2196e-05
65.1390,1.3631e-05,3.0566e-07,1.3936e-05
66.1330,1.5385e-05,2.9502e-07,1.5680e-05
67.1280,1.7437e-05,2.7688e-07,1.7714e-05
68.1220,1.9526e-05,2.5263e-07,1.9779e-05
69.1170,2.1871e-05,2.2572e-07,2.2097e-05
70.1110,2.4064e-05,2.0186e-07,2.4266e-05
71.1060,2.4668e-05,1.8786e-07,2.4856e-05
72.1000,2.6277e-05,1.4976e-07,2.6427e-05
73.0940,2.9069e-05,1.1686e-07,2.9186e-05
74.0890,3.2486e-05,8.8188e-08,3.2574e-05
75.0830,3.6049e-05,6.2761e-08,3.6112e-05
76.0780,3.9188e-05,3.8505e-08,3.9227e-05
77.0720,4.1507e-05,2.3387e-09,4.1509e-05
78.0670,3.9655e-05,3.2594e-10,3.9656e-05
79.0610,4.4261e-05,3.5375e-10,4.4261e-05
80.0560,5.5954e-05,3.6061e-10,5.5954e-05
81.0500,3.0506e-05,2.0225e-10,3.0506e-05
82.0440,3.7360e-05,1.4976e-10,3.7360e-05
83.0390,3.9680e-05,1.1091e-10,3.9680e-05
84.0330,5.1617e-05,1.2587e-10,5.1617e-05
85.0280,6.4918e-05,1.0672e-10,6.4918e-05
86.0220,3.0238e-05,7.3889e-11,3.0238e-05
87.0170,2.9939e-05,4.9065e-11,2.9939e-05
88.0110,3.1302e-05,6.2420e-11,3.1302e-05
89.0060,1.3407e-05,1.1375e-10,1.3407e-05
