# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10t for E = 500.0 keV, L* = 4.5, MLT = 10.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.3641e-05,2.8382e-07,1.4625e-05
1.4940,1.3757e-05,3.5472e-07,1.4786e-05
2.4890,1.3887e-05,4.8338e-07,1.5002e-05
3.4830,1.4033e-05,6.5976e-07,1.5274e-05
4.4780,1.4193e-05,8.7919e-07,1.5605e-05
5.4720,1.4370e-05,1.1410e-06,1.5998e-05
6.4670,1.4563e-05,1.4470e-06,1.6457e-05
7.4610,1.4775e-05,1.8003e-06,1.6986e-05
8.4560,1.5005e-05,2.2053e-06,1.7591e-05
9.4500,1.5255e-05,2.6668e-06,1.8277e-05
10.4440,1.5526e-05,3.1905e-06,1.9050e-05
11.4390,1.5818e-05,3.7829e-06,1.9917e-05
12.4330,1.6132e-05,4.4508e-06,2.0885e-05
13.4280,1.6468e-05,5.2019e-06,2.1962e-05
14.4220,1.6827e-05,6.0442e-06,2.3154e-05
15.4170,1.7209e-05,6.9869e-06,2.4472e-05
16.4110,1.7614e-05,8.0394e-06,2.5926e-05
17.4060,1.8045e-05,9.2119e-06,2.7525e-05
18.4000,1.8499e-05,1.0515e-05,2.9280e-05
19.3940,1.8977e-05,1.1961e-05,3.1200e-05
20.3890,1.9479e-05,1.3560e-05,3.3295e-05
21.3830,2.0007e-05,1.5323e-05,3.5581e-05
22.3780,2.0568e-05,1.7263e-05,3.8072e-05
23.3720,2.1164e-05,1.9387e-05,4.0779e-05
24.3670,2.1794e-05,2.1702e-05,4.3706e-05
25.3610,2.2460e-05,2.4211e-05,4.6862e-05
26.3560,2.3171e-05,2.6919e-05,5.0256e-05
27.3500,2.3937e-05,2.9823e-05,5.3900e-05
28.3440,2.4743e-05,3.2908e-05,5.7763e-05
29.3390,2.5577e-05,3.6149e-05,6.1808e-05
30.3330,2.6435e-05,3.9494e-05,6.5982e-05
31.3280,2.7310e-05,4.2864e-05,7.0202e-05
32.3220,2.8203e-05,4.6127e-05,7.4339e-05
33.3170,2.9128e-05,4.9118e-05,7.8246e-05
34.3110,3.0089e-05,5.1742e-05,8.1835e-05
35.3060,3.1084e-05,5.3903e-05,8.5006e-05
36.3000,3.2141e-05,5.5507e-05,8.7695e-05
37.2940,3.3251e-05,5.6481e-05,8.9814e-05
38.2890,3.4383e-05,5.6740e-05,9.1242e-05
39.2830,3.5489e-05,5.6162e-05,9.1807e-05
40.2780,3.6558e-05,5.4663e-05,9.1408e-05
41.2720,3.7627e-05,5.2205e-05,9.0047e-05
42.2670,3.8823e-05,4.8838e-05,8.7905e-05
43.2610,4.0122e-05,4.4699e-05,8.5091e-05
44.2560,4.1342e-05,3.9687e-05,8.1314e-05
45.2500,4.2598e-05,3.3799e-05,7.6690e-05
46.2440,4.3854e-05,2.7215e-05,7.1355e-05
47.2390,4.5066e-05,2.0507e-05,6.5851e-05
48.2330,4.6303e-05,1.4164e-05,6.0721e-05
49.2280,4.7510e-05,9.6510e-06,5.7332e-05
50.2220,4.8718e-05,5.5640e-06,5.4379e-05
51.2170,5.0027e-05,3.0229e-06,5.3079e-05
52.2110,5.1650e-05,1.7171e-06,5.3371e-05
53.2060,5.2736e-05,1.1400e-06,5.3876e-05
54.2000,5.3589e-05,4.4616e-09,5.3594e-05
55.1940,5.4378e-05,3.7614e-09,5.4382e-05
56.1890,5.5101e-05,3.1217e-09,5.5104e-05
57.1830,5.5775e-05,2.5335e-09,5.5777e-05
58.1780,5.6435e-05,1.9988e-09,5.6437e-05
59.1720,5.7065e-05,1.5844e-09,5.7067e-05
60.1670,5.7722e-05,1.3486e-09,5.7723e-05
61.1610,5.8716e-05,1.1301e-09,5.8718e-05
62.1560,5.9937e-05,9.7176e-10,5.9937e-05
63.1500,6.1290e-05,8.8141e-10,6.1291e-05
64.1440,6.2211e-05,8.1038e-10,6.2211e-05
65.1390,6.3325e-05,7.8842e-10,6.3326e-05
66.1330,6.4941e-05,7.4647e-10,6.4942e-05
67.1280,6.6690e-05,7.1975e-10,6.6691e-05
68.1220,6.8576e-05,7.0341e-10,6.8577e-05
69.1170,7.0244e-05,7.5863e-10,7.0244e-05
70.1110,7.1255e-05,7.1011e-10,7.1256e-05
71.1060,7.2775e-05,5.8469e-10,7.2775e-05
72.1000,7.4806e-05,5.0913e-10,7.4807e-05
73.0940,7.6519e-05,4.4753e-10,7.6520e-05
74.0890,7.7735e-05,4.0999e-10,7.7735e-05
75.0830,7.7596e-05,1.9117e-10,7.7596e-05
76.0780,7.5339e-05,4.1266e-11,7.5339e-05
77.0720,7.3375e-05,4.2029e-12,7.3375e-05
78.0670,7.1429e-05,1.0000e-31,7.1429e-05
79.0610,6.9516e-05,1.0000e-31,6.9516e-05
80.0560,6.8427e-05,1.0000e-31,6.8427e-05
81.0500,6.9160e-05,1.0000e-31,6.9160e-05
82.0440,6.6130e-05,1.0000e-31,6.6130e-05
83.0390,7.6764e-05,1.0000e-31,7.6764e-05
84.0330,6.6968e-05,1.0000e-31,6.6968e-05
85.0280,5.7941e-05,1.0000e-31,5.7941e-05
86.0220,4.7620e-05,1.0000e-31,4.7620e-05
87.0170,3.5229e-05,1.0000e-31,3.5229e-05
88.0110,1.6382e-05,1.0000e-31,1.6382e-05
89.0060,5.8034e-06,1.0000e-31,5.8034e-06
