# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10u for E = 500.0 keV, L* = 4.5, MLT = 13.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,1.8602e-05,1.0000e-31,1.8602e-05
1.4940,1.8775e-05,1.0000e-31,1.8775e-05
2.4890,1.8981e-05,1.0000e-31,1.8981e-05
3.4830,1.9223e-05,1.0000e-31,1.9223e-05
4.4780,1.9501e-05,1.0000e-31,1.9501e-05
5.4720,1.9815e-05,1.0000e-31,1.9815e-05
6.4670,2.0167e-05,1.0000e-31,2.0167e-05
7.4610,2.0556e-05,1.0000e-31,2.0556e-05
8.4560,2.0982e-05,1.0000e-31,2.0982e-05
9.4500,2.1443e-05,1.0000e-31,2.1443e-05
10.4440,2.1940e-05,1.0000e-31,2.1940e-05
11.4390,2.2474e-05,1.0000e-31,2.2474e-05
12.4330,2.3046e-05,1.0000e-31,2.3046e-05
13.4280,2.3655e-05,1.0000e-31,2.3655e-05
14.4220,2.4302e-05,1.0000e-31,2.4302e-05
15.4170,2.5002e-05,1.0000e-31,2.5002e-05
16.4110,2.5793e-05,1.0000e-31,2.5793e-05
17.4060,2.6664e-05,1.0000e-31,2.6664e-05
18.4000,2.7577e-05,1.0000e-31,2.7577e-05
19.3940,2.8546e-05,1.0000e-31,2.8546e-05
20.3890,2.9578e-05,1.0000e-31,2.9578e-05
21.3830,3.0669e-05,1.0000e-31,3.0669e-05
22.3780,3.1801e-05,1.0000e-31,3.1801e-05
23.3720,3.2938e-05,1.0000e-31,3.2938e-05
24.3670,3.4030e-05,1.0000e-31,3.4030e-05
25.3610,3.5238e-05,1.0000e-31,3.5238e-05
26.3560,3.6608e-05,1.0000e-31,3.6608e-05
27.3500,3.7938e-05,1.0000e-31,3.7938e-05
28.3440,3.9053e-05,1.0000e-31,3.9053e-05
29.3390,4.0256e-05,1.0000e-31,4.0256e-05
30.3330,4.1587e-05,1.0000e-31,4.1587e-05
31.3280,4.2949e-05,1.0000e-31,4.2949e-05
32.3220,4.4399e-05,1.0000e-31,4.4399e-05
33.3170,4.5973e-05,1.0000e-31,4.5973e-05
34.3110,4.7240e-05,1.0000e-31,4.7240e-05
35.3060,4.8481e-05,1.0000e-31,4.8481e-05
36.3000,4.9976e-05,1.0000e-31,4.9976e-05
37.2940,5.1633e-05,1.0000e-31,5.1633e-05
38.2890,5.3425e-05,1.0000e-31,5.3425e-05
39.2830,5.6596e-05,1.0000e-31,5.6596e-05
40.2780,5.9375e-05,1.0000e-31,5.9375e-05
41.2720,6.1506e-05,1.0000e-31,6.1506e-05
42.2670,6.2652e-05,1.0000e-31,6.2652e-05
43.2610,6.3633e-05,1.0000e-31,6.3633e-05
44.2560,6.4157e-05,1.0000e-31,6.4157e-05
45.2500,6.5494e-05,1.0000e-31,6.5494e-05
46.2440,6.5880e-05,1.0000e-31,6.5880e-05
47.2390,6.6045e-05,1.0000e-31,6.6045e-05
48.2330,6.5903e-05,1.0000e-31,6.5903e-05
49.2280,6.6234e-05,1.0000e-31,6.6234e-05
50.2220,6.6975e-05,1.0000e-31,6.6975e-05
51.2170,6.7497e-05,1.0000e-31,6.7497e-05
52.2110,6.6207e-05,1.0000e-31,6.6207e-05
53.2060,6.4563e-05,1.0000e-31,6.4563e-05
54.2000,6.2558e-05,1.0000e-31,6.2558e-05
55.1940,6.0703e-05,1.0000e-31,6.0703e-05
56.1890,5.8696e-05,1.0000e-31,5.8696e-05
57.1830,5.6025e-05,1.0000e-31,5.6025e-05
58.1780,5.3475e-05,1.0000e-31,5.3475e-05
59.1720,5.1497e-05,1.0000e-31,5.1497e-05
60.1670,5.0641e-05,1.0000e-31,5.0641e-05
61.1610,4.9787e-05,1.0000e-31,4.9787e-05
62.1560,4.8597e-05,1.0000e-31,4.8597e-05
63.1500,4.6541e-05,1.0000e-31,4.6541e-05
64.1440,4.5439e-05,1.0000e-31,4.5439e-05
65.1390,4.5713e-05,1.0000e-31,4.5713e-05
66.1330,4.7632e-05,1.0000e-31,4.7632e-05
67.1280,4.8890e-05,1.0000e-31,4.8890e-05
68.1220,4.9701e-05,1.0000e-31,4.9701e-05
69.1170,5.0160e-05,1.0000e-31,5.0160e-05
70.1110,5.0600e-05,1.0000e-31,5.0600e-05
71.1060,5.1463e-05,1.0000e-31,5.1463e-05
72.1000,5.2837e-05,1.0000e-31,5.2837e-05
73.0940,5.4513e-05,1.0000e-31,5.4513e-05
74.0890,5.6265e-05,1.0000e-31,5.6265e-05
75.0830,5.8281e-05,1.0000e-31,5.8281e-05
76.0780,6.1405e-05,1.0000e-31,6.1405e-05
77.0720,6.5064e-05,1.0000e-31,6.5064e-05
78.0670,6.7986e-05,1.0000e-31,6.7986e-05
79.0610,7.6929e-05,1.0000e-31,7.6929e-05
80.0560,7.2357e-05,1.0000e-31,7.2357e-05
81.0500,6.9039e-05,1.0000e-31,6.9039e-05
82.0440,6.3580e-05,1.0000e-31,6.3580e-05
83.0390,5.6297e-05,1.0000e-31,5.6297e-05
84.0330,4.6150e-05,1.0000e-31,4.6150e-05
85.0280,3.4400e-05,1.0000e-31,3.4400e-05
86.0220,3.3283e-05,1.0000e-31,3.3283e-05
87.0170,3.6302e-05,1.0000e-31,3.6302e-05
88.0110,5.0266e-05,1.0000e-31,5.0266e-05
89.0060,3.7036e-04,1.0000e-31,3.7036e-04
