# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10v for E = 500.0 keV, L* = 4.5, MLT = 16.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,2.0004e-09,1.0000e-31,2.0004e-09
1.4940,2.0174e-09,1.0000e-31,2.0174e-09
2.4890,2.0367e-09,1.0000e-31,2.0367e-09
3.4830,2.0581e-09,1.0000e-31,2.0581e-09
4.4780,2.0818e-09,1.0000e-31,2.0818e-09
5.4720,2.1079e-09,1.0000e-31,2.1079e-09
6.4670,2.1366e-09,1.0000e-31,2.1366e-09
7.4610,2.1680e-09,1.0000e-31,2.1680e-09
8.4560,2.2026e-09,1.0000e-31,2.2026e-09
9.4500,2.2408e-09,1.0000e-31,2.2408e-09
10.4440,2.2831e-09,1.0000e-31,2.2831e-09
11.4390,2.3299e-09,1.0000e-31,2.3299e-09
12.4330,2.3818e-09,1.0000e-31,2.3818e-09
13.4280,2.4385e-09,1.0000e-31,2.4385e-09
14.4220,2.4996e-09,1.0000e-31,2.4996e-09
15.4170,2.5642e-09,1.0000e-31,2.5642e-09
16.4110,2.6311e-09,1.0000e-31,2.6311e-09
17.4060,2.7006e-09,1.0000e-31,2.7006e-09
18.4000,2.7704e-09,1.0000e-31,2.7704e-09
19.3940,2.8387e-09,1.0000e-31,2.8387e-09
20.3890,2.9092e-09,1.0000e-31,2.9092e-09
21.3830,2.9841e-09,1.0000e-31,2.9841e-09
22.3780,3.0641e-09,1.0000e-31,3.0641e-09
23.3720,3.1561e-09,1.0000e-31,3.1561e-09
24.3670,3.2641e-09,1.0000e-31,3.2641e-09
25.3610,3.3861e-09,1.0000e-31,3.3861e-09
26.3560,3.5150e-09,1.0000e-31,3.5150e-09
27.3500,3.6424e-09,1.0000e-31,3.6424e-09
28.3440,3.7646e-09,1.0000e-31,3.7646e-09
29.3390,3.8858e-09,1.0000e-31,3.8858e-09
30.3330,4.0044e-09,1.0000e-31,4.0044e-09
31.3280,4.1298e-09,1.0000e-31,4.1298e-09
32.3220,4.2975e-09,1.0000e-31,4.2975e-09
33.3170,4.5353e-09,1.0000e-31,4.5353e-09
34.3110,4.8053e-09,1.0000e-31,4.8053e-09
35.3060,5.0872e-09,1.0000e-31,5.0872e-09
36.3000,5.4233e-09,1.0000e-31,5.4233e-09
37.2940,5.7950e-09,1.0000e-31,5.7950e-09
38.2890,6.2112e-09,1.0000e-31,6.2112e-09
39.2830,6.8218e-09,1.0000e-31,6.8218e-09
40.2780,7.7869e-09,1.0000e-31,7.7869e-09
41.2720,8.6750e-09,1.0000e-31,8.6750e-09
42.2670,9.3182e-09,1.0000e-31,9.3182e-09
43.2610,9.9033e-09,1.0000e-31,9.9033e-09
44.2560,1.0509e-08,1.0000e-31,1.0509e-08
45.2500,1.1186e-08,1.0000e-31,1.1186e-08
46.2440,1.2093e-08,1.0000e-31,1.2093e-08
47.2390,1.3330e-08,1.0000e-31,1.3330e-08
48.2330,1.4546e-08,1.0000e-31,1.4546e-08
49.2280,1.6210e-08,1.0000e-31,1.6210e-08
50.2220,1.9706e-08,1.0000e-31,1.9706e-08
51.2170,2.2559e-08,1.0000e-31,2.2559e-08
52.2110,2.3546e-08,1.0000e-31,2.3546e-08
53.2060,2.4604e-08,1.0000e-31,2.4604e-08
54.2000,2.5770e-08,1.0000e-31,2.5770e-08
55.1940,2.7153e-08,1.0000e-31,2.7153e-08
56.1890,2.8460e-08,1.0000e-31,2.8460e-08
57.1830,2.9766e-08,1.0000e-31,2.9766e-08
58.1780,3.1114e-08,1.0000e-31,3.1114e-08
59.1720,3.2659e-08,1.0000e-31,3.2659e-08
60.1670,3.4161e-08,1.0000e-31,3.4161e-08
61.1610,3.5633e-08,1.0000e-31,3.5633e-08
62.1560,3.6988e-08,1.0000e-31,3.6988e-08
63.1500,3.8145e-08,1.0000e-31,3.8145e-08
64.1440,3.9247e-08,1.0000e-31,3.9247e-08
65.1390,4.0155e-08,1.0000e-31,4.0155e-08
66.1330,4.1144e-08,1.0000e-31,4.1144e-08
67.1280,4.2391e-08,1.0000e-31,4.2391e-08
68.1220,4.3721e-08,1.0000e-31,4.3721e-08
69.1170,4.5603e-08,1.0000e-31,4.5603e-08
70.1110,4.9413e-08,1.0000e-31,4.9413e-08
71.1060,5.3813e-08,1.0000e-31,5.3813e-08
72.1000,5.6153e-08,1.0000e-31,5.6153e-08
73.0940,6.0678e-08,1.0000e-31,6.0678e-08
74.0890,6.9133e-08,1.0000e-31,6.9133e-08
75.0830,6.8446e-08,1.0000e-31,6.8446e-08
76.0780,6.5883e-08,1.0000e-31,6.5883e-08
77.0720,6.1623e-08,1.0000e-31,6.1623e-08
78.0670,5.7092e-08,1.0000e-31,5.7092e-08
79.0610,5.1944e-08,1.0000e-31,5.1944e-08
80.0560,4.6025e-08,1.0000e-31,4.6025e-08
81.0500,4.0396e-08,1.0000e-31,4.0396e-08
82.0440,3.2542e-08,1.0000e-31,3.2542e-08
83.0390,2.7042e-08,1.0000e-31,2.7042e-08
84.0330,2.3138e-08,1.0000e-31,2.3138e-08
85.0280,2.4279e-08,1.0000e-31,2.4279e-08
86.0220,4.3982e-08,1.0000e-31,4.3982e-08
87.0170,4.9808e-08,1.0000e-31,4.9808e-08
88.0110,8.8425e-08,1.0000e-31,8.8425e-08
89.0060,1.3443e-07,1.0000e-31,1.3443e-07
