# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10w for E = 500.0 keV, L* = 4.5, MLT = 19.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,3.7052e-10,2.0875e-34,3.7052e-10
1.4940,3.7327e-10,6.2974e-30,3.7327e-10
2.4890,3.7599e-10,8.1123e-28,3.7599e-10
3.4830,3.7868e-10,2.1044e-26,3.7868e-10
4.4780,3.8135e-10,2.5259e-25,3.8135e-10
5.4720,3.8398e-10,1.9343e-24,3.8398e-10
6.4670,3.8658e-10,1.1072e-23,3.8658e-10
7.4610,3.8913e-10,5.1850e-23,3.8913e-10
8.4560,3.9162e-10,2.1024e-22,3.9162e-10
9.4500,3.9405e-10,7.6690e-22,3.9405e-10
10.4440,3.9641e-10,2.5843e-21,3.9641e-10
11.4390,3.9868e-10,8.1988e-21,3.9868e-10
12.4330,4.0085e-10,2.4814e-20,4.0085e-10
13.4280,4.0291e-10,7.2296e-20,4.0291e-10
14.4220,4.0484e-10,2.0396e-19,4.0484e-10
15.4170,4.0663e-10,5.5900e-19,4.0663e-10
16.4110,4.0825e-10,1.4913e-18,4.0825e-10
17.4060,4.0969e-10,3.8762e-18,4.0969e-10
18.4000,4.1091e-10,9.8259e-18,4.1091e-10
19.3940,4.1190e-10,2.4293e-17,4.1190e-10
20.3890,4.1262e-10,5.8589e-17,4.1262e-10
21.3830,4.1303e-10,1.3794e-16,4.1304e-10
22.3780,4.1312e-10,3.1718e-16,4.1312e-10
23.3720,4.1282e-10,7.1289e-16,4.1282e-10
24.3670,4.1211e-10,1.5679e-15,4.1211e-10
25.3610,4.1093e-10,3.3748e-15,4.1094e-10
26.3560,4.0924e-10,7.1131e-15,4.0925e-10
27.3500,4.0697e-10,1.4701e-14,4.0699e-10
28.3440,4.0406e-10,2.9805e-14,4.0411e-10
29.3390,4.0047e-10,5.9237e-14,4.0057e-10
30.3330,3.9615e-10,1.1550e-13,3.9633e-10
31.3280,3.9111e-10,2.2090e-13,3.9144e-10
32.3220,3.8539e-10,4.1412e-13,3.8599e-10
33.3170,3.7900e-10,7.6075e-13,3.8008e-10
34.3110,3.7190e-10,1.3685e-12,3.7379e-10
35.3060,3.6405e-10,2.4083e-12,3.6729e-10
36.3000,3.5546e-10,4.1408e-12,3.6091e-10
37.2940,3.4612e-10,6.9513e-12,3.5506e-10
38.2890,3.3604e-10,1.1390e-11,3.5034e-10
39.2830,3.2530e-10,1.8205e-11,3.4762e-10
40.2780,3.1420e-10,2.8331e-11,3.4813e-10
41.2720,3.0309e-10,4.2906e-11,3.5328e-10
42.2670,2.9223e-10,6.3271e-11,3.6464e-10
43.2610,2.8163e-10,9.0798e-11,3.8351e-10
44.2560,2.7124e-10,1.2714e-10,4.1145e-10
45.2500,2.6083e-10,1.7371e-10,4.4951e-10
46.2440,2.5018e-10,2.3102e-10,4.9769e-10
47.2390,2.4026e-10,2.9899e-10,5.5647e-10
48.2330,2.3740e-10,3.7723e-10,6.2966e-10
49.2280,2.4041e-10,4.6472e-10,7.1641e-10
50.2220,2.3704e-10,5.6109e-10,8.0825e-10
51.2170,2.3551e-10,6.5989e-10,9.0429e-10
52.2110,2.3765e-10,7.5760e-10,1.0020e-09
53.2060,2.5253e-10,8.4474e-10,1.1001e-09
54.2000,2.8116e-10,9.0834e-10,1.1896e-09
55.1940,3.0789e-10,9.3861e-10,1.2467e-09
56.1890,3.8361e-10,9.3206e-10,1.3157e-09
57.1830,4.8657e-10,8.9446e-10,1.3811e-09
58.1780,5.7412e-10,8.4866e-10,1.4228e-09
59.1720,6.8637e-10,8.2551e-10,1.5119e-09
60.1670,8.5526e-10,8.2566e-10,1.6813e-09
61.1610,1.0318e-09,8.2114e-10,1.8559e-09
62.1560,1.1682e-09,8.5594e-10,2.0273e-09
63.1500,1.3054e-09,8.6084e-10,2.1671e-09
64.1440,1.4448e-09,8.0879e-10,2.2551e-09
65.1390,1.5675e-09,7.7361e-10,2.3450e-09
66.1330,1.6505e-09,7.6071e-10,2.4169e-09
67.1280,1.7367e-09,7.5199e-10,2.4926e-09
68.1220,1.7801e-09,7.9908e-10,2.5817e-09
69.1170,2.0413e-09,8.6284e-10,2.9064e-09
70.1110,2.1693e-09,9.0558e-10,3.0750e-09
71.1060,2.5489e-09,9.6615e-10,3.5330e-09
72.1000,2.7860e-09,9.4946e-10,3.7650e-09
73.0940,2.9955e-09,9.4770e-10,3.9637e-09
74.0890,3.5636e-09,9.5068e-10,4.5167e-09
75.0830,4.5169e-09,9.7103e-10,5.4906e-09
76.0780,4.5511e-09,9.3593e-10,5.4885e-09
77.0720,4.6023e-09,9.5504e-10,5.5584e-09
78.0670,4.7470e-09,1.2105e-09,5.9575e-09
79.0610,4.8154e-09,1.1857e-09,6.0076e-09
80.0560,4.6295e-09,1.2835e-09,5.9247e-09
81.0500,4.1052e-09,1.3236e-09,5.4469e-09
82.0440,3.1436e-09,1.3573e-09,4.5044e-09
83.0390,1.9089e-09,1.5699e-09,3.5249e-09
84.0330,1.2735e-09,1.6900e-09,3.0120e-09
85.0280,8.5830e-10,1.9357e-09,2.8147e-09
86.0220,1.1379e-09,1.2698e-09,2.4079e-09
87.0170,3.0255e-09,1.1693e-09,4.2099e-09
88.0110,1.0310e-08,1.1775e-09,1.1674e-08
89.0060,2.0164e-08,1.9817e-09,2.2185e-08
