# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10x for E = 500.0 keV, L* = 4.5, MLT = 22.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,4.0536e-06,1.1613e-09,4.0548e-06
1.4940,4.0865e-06,1.3814e-09,4.0880e-06
2.4890,4.1222e-06,1.8212e-09,4.1241e-06
3.4830,4.1608e-06,2.4943e-09,4.1633e-06
4.4780,4.2022e-06,3.4185e-09,4.2056e-06
5.4720,4.2465e-06,4.6156e-09,4.2512e-06
6.4670,4.2939e-06,6.1102e-09,4.3001e-06
7.4610,4.3443e-06,7.9292e-09,4.3523e-06
8.4560,4.3978e-06,1.0101e-08,4.4080e-06
9.4500,4.4545e-06,1.2652e-08,4.4673e-06
10.4440,4.5144e-06,1.5607e-08,4.5302e-06
11.4390,4.5777e-06,1.8988e-08,4.5968e-06
12.4330,4.6442e-06,2.2808e-08,4.6671e-06
13.4280,4.7142e-06,2.7073e-08,4.7413e-06
14.4220,4.7875e-06,3.1776e-08,4.8194e-06
15.4170,4.8644e-06,3.6899e-08,4.9014e-06
16.4110,4.9448e-06,4.2407e-08,4.9872e-06
17.4060,5.0286e-06,4.8246e-08,5.0769e-06
18.4000,5.1161e-06,5.4345e-08,5.1704e-06
19.3940,5.2071e-06,6.0616e-08,5.2677e-06
20.3890,5.3016e-06,6.6954e-08,5.3685e-06
21.3830,5.3996e-06,7.3239e-08,5.4728e-06
22.3780,5.5011e-06,7.9335e-08,5.5805e-06
23.3720,5.6060e-06,8.5095e-08,5.6911e-06
24.3670,5.7143e-06,9.0367e-08,5.8046e-06
25.3610,5.8257e-06,9.4997e-08,5.9207e-06
26.3560,5.9402e-06,9.8836e-08,6.0390e-06
27.3500,6.0575e-06,1.0175e-07,6.1593e-06
28.3440,6.1773e-06,1.0362e-07,6.2810e-06
29.3390,6.2994e-06,1.0437e-07,6.4038e-06
30.3330,6.4233e-06,1.0393e-07,6.5272e-06
31.3280,6.5484e-06,1.0231e-07,6.6508e-06
32.3220,6.6743e-06,9.9540e-08,6.7739e-06
33.3170,6.8002e-06,9.5705e-08,6.8960e-06
34.3110,6.9251e-06,9.0926e-08,7.0160e-06
35.3060,7.0476e-06,8.5341e-08,7.1330e-06
36.3000,7.1662e-06,7.9103e-08,7.2454e-06
37.2940,7.2792e-06,7.2366e-08,7.3516e-06
38.2890,7.3845e-06,6.5297e-08,7.4498e-06
39.2830,7.4802e-06,5.8065e-08,7.5383e-06
40.2780,7.5638e-06,5.0822e-08,7.6146e-06
41.2720,7.6319e-06,4.3737e-08,7.6757e-06
42.2670,7.6807e-06,3.6982e-08,7.7177e-06
43.2610,7.7058e-06,3.0710e-08,7.7365e-06
44.2560,7.7024e-06,2.5075e-08,7.7276e-06
45.2500,7.6648e-06,2.0228e-08,7.6853e-06
46.2440,7.5841e-06,1.6344e-08,7.6010e-06
47.2390,7.4485e-06,1.3583e-08,7.4630e-06
48.2330,7.2458e-06,1.2185e-08,7.2592e-06
49.2280,6.9668e-06,1.2200e-08,6.9806e-06
50.2220,6.6179e-06,1.3283e-08,6.6329e-06
51.2170,6.1899e-06,1.4898e-08,6.2064e-06
52.2110,5.6661e-06,1.6355e-08,5.6837e-06
53.2060,5.0575e-06,1.6778e-08,5.0752e-06
54.2000,4.4115e-06,1.6379e-08,4.4287e-06
55.1940,3.7477e-06,1.5493e-08,3.7641e-06
56.1890,3.1051e-06,1.4332e-08,3.1204e-06
57.1830,2.5201e-06,1.3786e-08,2.5354e-06
58.1780,2.0890e-06,1.4571e-08,2.1051e-06
59.1720,1.8691e-06,1.7052e-08,1.8878e-06
60.1670,1.7011e-06,2.1834e-08,1.7244e-06
61.1610,1.6771e-06,3.0708e-08,1.7089e-06
62.1560,1.8376e-06,3.9214e-08,1.8772e-06
63.1500,2.1473e-06,4.3147e-08,2.1906e-06
64.1440,2.4706e-06,4.5250e-08,2.5159e-06
65.1390,2.9276e-06,4.5461e-08,2.9731e-06
66.1330,3.7369e-06,4.2701e-08,3.7796e-06
67.1280,4.7388e-06,3.9397e-08,4.7783e-06
68.1220,5.9691e-06,3.3721e-08,6.0028e-06
69.1170,7.4617e-06,3.4812e-08,7.4966e-06
70.1110,9.2469e-06,3.6523e-08,9.2835e-06
71.1060,1.1418e-05,3.7413e-08,1.1455e-05
72.1000,1.3642e-05,3.9822e-08,1.3682e-05
73.0940,1.6336e-05,4.2389e-08,1.6379e-05
74.0890,2.0202e-05,4.3640e-08,2.0245e-05
75.0830,2.2802e-05,4.5292e-08,2.2847e-05
76.0780,2.5131e-05,4.5501e-08,2.5176e-05
77.0720,2.7527e-05,4.2916e-08,2.7570e-05
78.0670,2.5361e-05,3.7935e-08,2.5399e-05
79.0610,1.9724e-05,3.1312e-08,1.9756e-05
80.0560,1.5677e-05,2.4932e-08,1.5702e-05
81.0500,1.2914e-05,1.7346e-08,1.2931e-05
82.0440,1.0245e-05,9.6642e-09,1.0255e-05
83.0390,4.0029e-06,3.9722e-09,4.0070e-06
84.0330,1.0000e-31,1.0000e-31,1.0000e-31
85.0280,1.0000e-31,1.0000e-31,1.0000e-31
86.0220,1.0000e-31,1.0000e-31,1.0000e-31
87.0170,1.0000e-31,1.0000e-31,1.0000e-31
88.0110,1.0000e-31,1.0000e-31,1.0000e-31
89.0060,1.0000e-31,1.0000e-31,1.0000e-31
