# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 10z for E = 100.0 keV, L* = 4.5, MLT = 4.5, Kp = 5.0
# Pitch Angle, Low WNA, High WNA, All WNA
0.5000,4.2494e-08,1.6502e-09,4.4145e-08
1.4940,4.3265e-08,1.8421e-09,4.5108e-08
2.4890,4.4503e-08,2.2264e-09,4.6732e-08
3.4830,4.6227e-08,2.8268e-09,4.9058e-08
4.4780,4.8460e-08,3.6797e-09,5.2147e-08
5.4720,5.1234e-08,4.8356e-09,5.6081e-08
6.4670,5.4590e-08,6.3627e-09,6.0969e-08
7.4610,5.8581e-08,8.3511e-09,6.6953e-08
8.4560,6.3276e-08,1.0918e-08,7.4218e-08
9.4500,6.8768e-08,1.4215e-08,8.3009e-08
10.4440,7.5177e-08,1.8439e-08,9.3642e-08
11.4390,8.2670e-08,2.3846e-08,1.0654e-07
12.4330,9.1466e-08,3.0766e-08,1.2225e-07
13.4280,1.0183e-07,3.9633e-08,1.4148e-07
14.4220,1.1413e-07,5.1022e-08,1.6516e-07
15.4170,1.2889e-07,6.5697e-08,1.9459e-07
16.4110,1.4662e-07,8.4698e-08,2.3132e-07
17.4060,1.6774e-07,1.0943e-07,2.7719e-07
18.4000,1.9268e-07,1.4172e-07,3.3448e-07
19.3940,2.2192e-07,1.8380e-07,4.0597e-07
20.3890,2.5611e-07,2.3831e-07,4.9500e-07
21.3830,2.9593e-07,3.0829e-07,6.0545e-07
22.3780,3.4220e-07,3.9724e-07,7.4176e-07
23.3720,3.9564e-07,5.0942e-07,9.0898e-07
24.3670,4.5681e-07,6.5022e-07,1.1129e-06
25.3610,5.2700e-07,8.2702e-07,1.3620e-06
26.3560,6.0686e-07,1.0500e-06,1.6662e-06
27.3500,6.9910e-07,1.3305e-06,2.0390e-06
28.3440,8.0944e-07,1.6790e-06,2.4975e-06
29.3390,9.3694e-07,2.1048e-06,3.0495e-06
30.3330,1.0832e-06,2.6149e-06,3.7042e-06
31.3280,1.2509e-06,3.2149e-06,4.4701e-06
32.3220,1.4424e-06,3.9087e-06,5.3536e-06
33.3170,1.6603e-06,4.6997e-06,6.3613e-06
34.3110,1.9097e-06,5.5875e-06,7.4976e-06
35.3060,2.1941e-06,6.5674e-06,8.7615e-06
36.3000,2.5176e-06,7.6306e-06,1.0148e-05
37.2940,2.8858e-06,8.7744e-06,1.1661e-05
38.2890,3.2792e-06,1.0039e-05,1.3320e-05
39.2830,3.6730e-06,1.1571e-05,1.5244e-05
40.2780,4.0285e-06,1.3608e-05,1.7639e-05
41.2720,4.5750e-06,1.6201e-05,2.0790e-05
42.2670,5.2171e-06,1.9186e-05,2.4442e-05
43.2610,5.9505e-06,2.2354e-05,2.8383e-05
44.2560,6.7814e-06,2.5515e-05,3.2428e-05
45.2500,7.7177e-06,2.8526e-05,3.6437e-05
46.2440,8.7680e-06,3.1289e-05,4.0321e-05
47.2390,9.7239e-06,3.3737e-05,4.3729e-05
48.2330,1.0426e-05,3.6135e-05,4.6721e-05
49.2280,1.1296e-05,3.9340e-05,5.0688e-05
50.2220,1.2821e-05,4.3695e-05,5.6521e-05
51.2170,1.4560e-05,4.7884e-05,6.2456e-05
52.2110,1.6539e-05,5.0989e-05,6.7601e-05
53.2060,1.8799e-05,5.2922e-05,7.1894e-05
54.2000,2.1084e-05,5.4021e-05,7.5395e-05
55.1940,2.2620e-05,5.4991e-05,7.7811e-05
56.1890,2.3498e-05,5.8723e-05,8.2234e-05
57.1830,2.5864e-05,6.7628e-05,9.3494e-05
58.1780,2.3498e-05,8.1480e-05,1.0588e-04
59.1720,1.8916e-05,1.0034e-04,1.2382e-04
60.1670,2.2582e-05,1.1426e-04,1.4249e-04
61.1610,2.7211e-05,1.1940e-04,1.5323e-04
62.1560,3.3658e-05,1.1896e-04,1.5818e-04
63.1500,3.2746e-05,1.3021e-04,1.6322e-04
64.1440,1.9529e-05,1.5637e-04,1.8174e-04
65.1390,2.5781e-05,1.6212e-04,1.9848e-04
66.1330,3.5311e-05,1.5101e-04,2.0003e-04
67.1280,5.5234e-05,1.3339e-04,2.0174e-04
68.1220,8.2106e-05,1.1431e-04,2.0809e-04
69.1170,1.1327e-04,9.3634e-05,2.1696e-04
70.1110,1.4943e-04,7.2406e-05,2.3034e-04
71.1060,1.9298e-04,5.3411e-05,2.5369e-04
72.1000,2.4558e-04,3.7979e-05,2.8978e-04
73.0940,3.1100e-04,2.7237e-05,3.4223e-04
74.0890,3.9069e-04,3.2146e-05,4.2326e-04
75.0830,4.8589e-04,6.2550e-05,5.5108e-04
76.0780,5.8823e-04,1.2376e-04,7.1589e-04
77.0720,8.0191e-04,1.6786e-04,9.7084e-04
78.0670,9.3418e-04,2.7049e-04,1.2190e-03
79.0610,8.6999e-04,3.1514e-04,1.1851e-03
80.0560,7.8868e-04,1.4597e-04,9.6000e-04
81.0500,4.5430e-04,1.7708e-04,6.9307e-04
82.0440,9.1651e-05,2.0512e-04,5.0293e-04
83.0390,7.5975e-07,2.0855e-04,2.1265e-04
84.0330,1.6320e-08,1.7233e-04,1.7235e-04
85.0280,4.7919e-09,1.3408e-04,1.3409e-04
86.0220,3.2843e-10,9.0096e-05,9.0096e-05
87.0170,1.0000e-31,4.7541e-05,4.7541e-05
88.0110,1.0000e-31,1.4795e-05,1.4795e-05
89.0060,1.0000e-31,2.9520e-06,2.9520e-06
