# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11a for E = 5000.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.7779e-21,1.4552e-09,3.3021e-13
1.4940,6.6977e-19,1.5073e-09,3.0077e-12
2.4890,9.3895e-18,1.6013e-09,8.6068e-12
3.4830,5.7623e-17,1.7416e-09,1.7600e-11
4.4780,2.3766e-16,1.9297e-09,3.0720e-11
5.4720,7.7541e-16,2.1744e-09,4.9027e-11
6.4670,2.1665e-15,2.4782e-09,7.4000e-11
7.4610,5.4196e-15,2.8562e-09,1.0764e-10
8.4560,1.2477e-14,3.3138e-09,1.5260e-10
9.4500,2.6928e-14,3.8756e-09,2.1223e-10
10.4440,5.5173e-14,4.5595e-09,2.9067e-10
11.4390,1.0830e-13,5.3863e-09,3.9277e-10
12.4330,2.0505e-13,6.4100e-09,5.2396e-10
13.4280,3.7639e-13,7.6645e-09,6.9011e-10
14.4220,6.7238e-13,9.2453e-09,8.9741e-10
15.4170,1.1725e-12,1.1164e-08,1.1525e-09
16.4110,2.0006e-12,1.3364e-08,1.4631e-09
17.4060,3.3450e-12,1.5830e-08,1.8386e-09
18.4000,5.4869e-12,1.8639e-08,2.2918e-09
19.3940,8.8405e-12,2.1812e-08,2.8389e-09
20.3890,1.4052e-11,2.5368e-08,3.5000e-09
21.3830,2.2041e-11,2.9439e-08,4.2977e-09
22.3780,3.4104e-11,3.4068e-08,5.2570e-09
23.3720,5.2037e-11,3.9580e-08,6.4072e-09
24.3670,7.8241e-11,4.6430e-08,7.7877e-09
25.3610,1.1587e-10,5.4900e-08,9.4486e-09
26.3560,1.6892e-10,6.3758e-08,1.1451e-08
27.3500,2.4236e-10,7.3198e-08,1.3864e-08
28.3440,3.4234e-10,8.3185e-08,1.6765e-08
29.3390,4.7567e-10,9.3462e-08,2.0289e-08
30.3330,6.4812e-10,1.0388e-07,2.4694e-08
31.3280,8.6091e-10,1.1399e-07,3.0462e-08
32.3220,1.1123e-09,1.2362e-07,3.8314e-08
33.3170,1.4180e-09,1.3228e-07,4.8578e-08
34.3110,1.8525e-09,1.3924e-07,6.0703e-08
35.3060,2.5343e-09,1.4338e-07,7.8028e-08
36.3000,3.4518e-09,1.4803e-07,1.0949e-07
37.2940,4.2278e-09,1.5310e-07,1.4523e-07
38.2890,5.0090e-09,1.5985e-07,1.7031e-07
39.2830,6.1017e-09,1.6971e-07,1.9460e-07
40.2780,8.1740e-09,1.7581e-07,2.1623e-07
41.2720,9.2362e-09,1.7798e-07,2.3035e-07
42.2670,1.1299e-08,1.7927e-07,2.5890e-07
43.2610,1.3183e-08,1.8224e-07,2.4669e-07
44.2560,1.4566e-08,1.8031e-07,2.6648e-07
45.2500,1.5514e-08,1.7648e-07,3.3945e-07
46.2440,1.6805e-08,1.7040e-07,4.6049e-07
47.2390,1.8546e-08,1.6532e-07,6.6015e-07
48.2330,2.0715e-08,1.5781e-07,8.6258e-07
49.2280,2.3219e-08,1.5267e-07,1.0426e-06
50.2220,2.6634e-08,1.3944e-07,1.1635e-06
51.2170,3.2039e-08,1.2363e-07,1.1817e-06
52.2110,3.9425e-08,1.1306e-07,1.1317e-06
53.2060,5.0213e-08,1.0137e-07,1.0630e-06
54.2000,6.3352e-08,9.5373e-08,9.1067e-07
55.1940,7.8907e-08,9.5025e-08,7.4513e-07
56.1890,9.8797e-08,9.4117e-08,6.0018e-07
57.1830,1.2021e-07,9.2506e-08,4.3408e-07
58.1780,1.4504e-07,9.0490e-08,2.2937e-07
59.1720,1.7079e-07,8.7146e-08,6.1045e-08
60.1670,1.9635e-07,8.3174e-08,6.6024e-08
61.1610,2.3771e-07,8.0606e-08,9.4691e-08
62.1560,2.7083e-07,7.1725e-08,1.2918e-07
63.1500,2.9490e-07,7.1662e-08,1.6991e-07
64.1440,3.2804e-07,6.6679e-08,2.1954e-07
65.1390,3.5161e-07,6.6325e-08,2.6789e-07
66.1330,3.5842e-07,7.4596e-08,3.2642e-07
67.1280,3.5936e-07,8.5108e-08,3.7513e-07
68.1220,3.6899e-07,9.9132e-08,4.2232e-07
69.1170,3.7064e-07,1.2168e-07,4.7521e-07
70.1110,4.0313e-07,1.5374e-07,5.1270e-07
71.1060,3.6875e-07,1.9870e-07,5.6670e-07
72.1000,3.8926e-07,2.5797e-07,5.7858e-07
73.0940,3.6737e-07,3.2721e-07,6.4550e-07
74.0890,3.8822e-07,3.9245e-07,7.3333e-07
75.0830,3.6216e-07,4.5698e-07,7.6233e-07
76.0780,3.7620e-07,5.4028e-07,9.6409e-07
77.0720,2.7699e-07,5.8598e-07,8.9333e-07
78.0670,2.9796e-07,6.0011e-07,9.7392e-07
79.0610,3.3353e-07,5.9070e-07,8.8354e-07
80.0560,3.2130e-07,5.7310e-07,8.0055e-07
81.0500,3.3049e-07,6.2092e-07,6.6780e-07
82.0440,3.8690e-07,5.4531e-07,5.3271e-07
83.0390,4.3836e-07,6.7426e-07,3.6135e-07
84.0330,3.6898e-07,6.9620e-07,2.6036e-07
85.0280,3.9048e-07,7.1972e-07,2.8514e-07
86.0220,4.1236e-07,7.6249e-07,3.1354e-07
87.0170,4.4644e-07,8.2747e-07,3.4238e-07
88.0110,4.2933e-07,7.3508e-07,3.5079e-07
89.0060,3.9982e-07,6.6689e-07,3.4801e-07
