# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11aa for E = 100.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2754e-05,6.4846e-06,1.3992e-04
1.4940,1.2852e-05,6.5389e-06,1.4112e-04
2.4890,1.2954e-05,6.5984e-06,1.4247e-04
3.4830,1.3059e-05,6.6645e-06,1.4399e-04
4.4780,1.3167e-05,6.7361e-06,1.4567e-04
5.4720,1.3280e-05,6.8149e-06,1.4752e-04
6.4670,1.3396e-05,6.8997e-06,1.4955e-04
7.4610,1.3517e-05,6.9923e-06,1.5177e-04
8.4560,1.3643e-05,7.0915e-06,1.5417e-04
9.4500,1.3774e-05,7.1994e-06,1.5677e-04
10.4440,1.3911e-05,7.3157e-06,1.5957e-04
11.4390,1.4055e-05,7.4396e-06,1.6259e-04
12.4330,1.4205e-05,7.5739e-06,1.6584e-04
13.4280,1.4363e-05,7.7169e-06,1.6933e-04
14.4220,1.4530e-05,7.8717e-06,1.7307e-04
15.4170,1.4705e-05,8.0364e-06,1.7707e-04
16.4110,1.4889e-05,8.2147e-06,1.8136e-04
17.4060,1.5083e-05,8.4042e-06,1.8595e-04
18.4000,1.5287e-05,8.6092e-06,1.9086e-04
19.3940,1.5501e-05,8.8292e-06,1.9609e-04
20.3890,1.5724e-05,9.0625e-06,2.0165e-04
21.3830,1.5959e-05,9.3146e-06,2.0756e-04
22.3780,1.6203e-05,9.5822e-06,2.1383e-04
23.3720,1.6456e-05,9.8715e-06,2.2047e-04
24.3670,1.6717e-05,1.0179e-05,2.2749e-04
25.3610,1.6987e-05,1.0513e-05,2.3493e-04
26.3560,1.7261e-05,1.0869e-05,2.4278e-04
27.3500,1.7540e-05,1.1255e-05,2.5107e-04
28.3440,1.7822e-05,1.1668e-05,2.5981e-04
29.3390,1.8103e-05,1.2108e-05,2.6902e-04
30.3330,1.8382e-05,1.2585e-05,2.7870e-04
31.3280,1.8657e-05,1.3090e-05,2.8887e-04
32.3220,1.8923e-05,1.3636e-05,2.9956e-04
33.3170,1.9177e-05,1.4213e-05,3.1077e-04
34.3110,1.9417e-05,1.4830e-05,3.2256e-04
35.3060,1.9639e-05,1.5476e-05,3.3495e-04
36.3000,1.9839e-05,1.6160e-05,3.4799e-04
37.2940,2.0013e-05,1.6875e-05,3.6170e-04
38.2890,2.0159e-05,1.7615e-05,3.7609e-04
39.2830,2.0272e-05,1.8391e-05,3.9109e-04
40.2780,2.0340e-05,1.9189e-05,4.0657e-04
41.2720,2.0381e-05,2.0022e-05,4.2246e-04
42.2670,2.0395e-05,2.0857e-05,4.3866e-04
43.2610,2.0382e-05,2.1674e-05,4.5509e-04
44.2560,2.0349e-05,2.2447e-05,4.7194e-04
45.2500,2.0309e-05,2.3187e-05,4.8931e-04
46.2440,2.0278e-05,2.3896e-05,5.0710e-04
47.2390,2.0283e-05,2.4560e-05,5.2524e-04
48.2330,2.0358e-05,2.5176e-05,5.4356e-04
49.2280,2.0546e-05,2.5756e-05,5.6165e-04
50.2220,2.1004e-05,2.6333e-05,5.7898e-04
51.2170,2.1579e-05,2.6872e-05,5.9481e-04
52.2110,2.2502e-05,2.7376e-05,6.0935e-04
53.2060,2.3893e-05,2.7877e-05,6.2213e-04
54.2000,2.5874e-05,2.8404e-05,6.3250e-04
55.1940,2.8525e-05,2.8985e-05,6.4170e-04
56.1890,3.1748e-05,2.9606e-05,6.4940e-04
57.1830,3.5332e-05,3.0316e-05,6.5491e-04
58.1780,3.8985e-05,3.1175e-05,6.5747e-04
59.1720,4.2334e-05,3.2195e-05,6.5433e-04
60.1670,4.5195e-05,3.3384e-05,6.4501e-04
61.1610,4.7359e-05,3.4864e-05,6.3326e-04
62.1560,4.9075e-05,3.6461e-05,6.1919e-04
63.1500,5.0005e-05,3.8288e-05,6.0082e-04
64.1440,5.0957e-05,4.0087e-05,5.7832e-04
65.1390,5.1526e-05,4.1811e-05,5.5391e-04
66.1330,5.1082e-05,4.3563e-05,5.2603e-04
67.1280,4.9403e-05,4.5316e-05,4.9337e-04
68.1220,4.6452e-05,4.7034e-05,4.5556e-04
69.1170,4.2375e-05,4.8673e-05,4.1350e-04
70.1110,3.7523e-05,5.0107e-05,3.6715e-04
71.1060,3.2593e-05,5.1619e-05,3.1646e-04
72.1000,2.4729e-05,5.3669e-05,2.6280e-04
73.0940,2.0744e-05,5.5964e-05,2.1185e-04
74.0890,2.0294e-05,6.0357e-05,1.6124e-04
75.0830,2.2363e-05,6.1635e-05,1.1093e-04
76.0780,2.5719e-05,7.2358e-05,8.2972e-05
77.0720,3.2107e-05,6.2253e-05,7.5627e-05
78.0670,2.7394e-05,5.8059e-05,8.0319e-05
79.0610,1.8476e-05,4.9351e-05,1.1431e-04
80.0560,1.7145e-05,4.7038e-05,1.6301e-04
81.0500,1.8070e-05,4.6724e-05,2.1735e-04
82.0440,2.5328e-05,4.5233e-05,2.3306e-04
83.0390,2.6131e-05,4.1572e-05,1.3707e-04
84.0330,2.3046e-05,3.4561e-05,4.0427e-05
85.0280,1.6256e-05,2.4460e-05,3.0224e-06
86.0220,8.0469e-06,1.5078e-05,8.2634e-07
87.0170,1.4300e-07,7.8180e-06,2.4432e-06
88.0110,9.3940e-10,3.7357e-06,5.0051e-06
89.0060,1.0000e-31,1.1660e-06,1.4273e-07
