# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11b for E = 5000.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.8127e-16,4.9067e-10,1.0000e-31
1.4940,9.7013e-16,5.0243e-10,1.0000e-31
2.4890,2.3085e-15,5.2222e-10,1.0000e-31
3.4830,4.4463e-15,5.5071e-10,1.0000e-31
4.4780,7.8516e-15,5.8770e-10,1.0000e-31
5.4720,1.3302e-14,6.3431e-10,1.0000e-31
6.4670,2.2061e-14,6.9032e-10,1.0000e-31
7.4610,3.6162e-14,7.5722e-10,1.0000e-31
8.4560,5.8825e-14,8.3448e-10,1.0000e-31
9.4500,9.5075e-14,9.2439e-10,1.0000e-31
10.4440,1.5261e-13,1.0275e-09,1.0000e-31
11.4390,2.4313e-13,1.1440e-09,1.0000e-31
12.4330,3.8517e-13,1.2775e-09,1.0000e-31
13.4280,6.0934e-13,1.4273e-09,1.0000e-31
14.4220,9.6940e-13,1.5982e-09,1.0000e-31
15.4170,1.5523e-12,1.7893e-09,1.0000e-31
16.4110,2.4548e-12,2.0061e-09,1.0000e-31
17.4060,3.6757e-12,2.2468e-09,1.0000e-31
18.4000,5.3137e-12,2.5185e-09,1.0000e-31
19.3940,7.7148e-12,2.8222e-09,1.0000e-31
20.3890,1.1330e-11,3.1579e-09,1.0000e-31
21.3830,1.6918e-11,3.5357e-09,1.0000e-31
22.3780,2.5557e-11,3.9492e-09,1.0000e-31
23.3720,3.9693e-11,4.4214e-09,1.0000e-31
24.3670,5.7220e-11,4.9255e-09,1.0000e-31
25.3610,7.7946e-11,5.4042e-09,1.0000e-31
26.3560,1.0498e-10,5.8088e-09,1.0000e-31
27.3500,1.3879e-10,6.1634e-09,1.0000e-31
28.3440,1.8290e-10,6.5426e-09,1.0000e-31
29.3390,2.6263e-10,7.0496e-09,1.0000e-31
30.3330,3.6318e-10,7.6816e-09,1.0000e-31
31.3280,4.4006e-10,8.5526e-09,1.0000e-31
32.3220,5.5805e-10,9.6737e-09,1.0000e-31
33.3170,7.2099e-10,1.1211e-08,1.0000e-31
34.3110,8.6753e-10,1.3041e-08,1.0000e-31
35.3060,1.0011e-09,1.5332e-08,1.0000e-31
36.3000,1.1756e-09,1.8097e-08,1.0000e-31
37.2940,1.5116e-09,2.1615e-08,1.0000e-31
38.2890,1.8148e-09,2.5705e-08,1.0000e-31
39.2830,2.0364e-09,3.0531e-08,1.0000e-31
40.2780,2.4221e-09,3.5741e-08,1.0000e-31
41.2720,2.7989e-09,4.2200e-08,1.0000e-31
42.2670,3.0875e-09,4.9875e-08,1.0000e-31
43.2610,3.4404e-09,5.9391e-08,1.0000e-31
44.2560,3.5934e-09,7.0858e-08,1.0000e-31
45.2500,3.5207e-09,8.4381e-08,1.0000e-31
46.2440,3.4641e-09,9.9917e-08,1.0000e-31
47.2390,3.4206e-09,1.2194e-07,1.0000e-31
48.2330,3.4114e-09,1.4709e-07,1.0000e-31
49.2280,3.5925e-09,1.7008e-07,1.0000e-31
50.2220,3.2985e-09,2.1037e-07,1.0000e-31
51.2170,3.6893e-09,2.3966e-07,1.0000e-31
52.2110,3.8060e-09,2.9706e-07,1.0000e-31
53.2060,4.5912e-09,3.3368e-07,1.0000e-31
54.2000,6.4973e-09,3.9113e-07,1.0000e-31
55.1940,9.5490e-09,4.3089e-07,1.0000e-31
56.1890,1.3788e-08,4.8234e-07,1.0000e-31
57.1830,1.9723e-08,5.4345e-07,1.0000e-31
58.1780,2.7606e-08,6.0555e-07,1.0000e-31
59.1720,3.6861e-08,6.8095e-07,1.0000e-31
60.1670,4.6852e-08,7.5488e-07,1.0000e-31
61.1610,5.7719e-08,8.3165e-07,1.0000e-31
62.1560,7.1379e-08,9.0851e-07,1.0000e-31
63.1500,8.6127e-08,9.9513e-07,1.0000e-31
64.1440,1.0060e-07,1.0616e-06,1.0000e-31
65.1390,1.1474e-07,1.1376e-06,1.0000e-31
66.1330,1.2597e-07,1.1392e-06,1.0000e-31
67.1280,1.3739e-07,1.1408e-06,1.0000e-31
68.1220,1.5313e-07,1.1697e-06,1.0000e-31
69.1170,1.6933e-07,1.2026e-06,1.0000e-31
70.1110,2.1239e-07,1.2066e-06,1.0000e-31
71.1060,2.2310e-07,1.2655e-06,1.0000e-31
72.1000,2.5907e-07,1.2506e-06,1.0000e-31
73.0940,2.9347e-07,1.3109e-06,1.0000e-31
74.0890,3.3090e-07,1.2906e-06,1.0000e-31
75.0830,3.7383e-07,1.2834e-06,1.0000e-31
76.0780,3.9549e-07,1.1776e-06,1.0000e-31
77.0720,4.2733e-07,1.0165e-06,1.0000e-31
78.0670,4.5713e-07,1.0222e-06,1.0000e-31
79.0610,4.1748e-07,9.0586e-07,1.0000e-31
80.0560,5.1656e-07,1.0284e-06,1.0000e-31
81.0500,4.1764e-07,8.5583e-07,1.0000e-31
82.0440,4.1182e-07,1.2153e-06,1.0000e-31
83.0390,4.8383e-07,9.9474e-07,1.0000e-31
84.0330,5.8312e-07,1.0936e-06,1.0000e-31
85.0280,5.4766e-07,1.3130e-06,1.0000e-31
86.0220,5.7696e-07,1.7266e-06,1.0000e-31
87.0170,5.4770e-07,1.7757e-06,1.0000e-31
88.0110,5.1821e-07,7.6364e-07,1.0000e-31
89.0060,4.3805e-07,6.9490e-07,1.0000e-31
