# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11bb for E = 100.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.7965e-05,2.5843e-05,3.6078e-05
1.4940,2.8167e-05,2.6030e-05,3.6357e-05
2.4890,2.8362e-05,2.6207e-05,3.6647e-05
3.4830,2.8550e-05,2.6378e-05,3.6947e-05
4.4780,2.8732e-05,2.6539e-05,3.7259e-05
5.4720,2.8905e-05,2.6694e-05,3.7581e-05
6.4670,2.9072e-05,2.6838e-05,3.7914e-05
7.4610,2.9230e-05,2.6973e-05,3.8260e-05
8.4560,2.9380e-05,2.7098e-05,3.8617e-05
9.4500,2.9519e-05,2.7213e-05,3.8987e-05
10.4440,2.9647e-05,2.7316e-05,3.9369e-05
11.4390,2.9768e-05,2.7406e-05,3.9763e-05
12.4330,2.9880e-05,2.7483e-05,4.0171e-05
13.4280,2.9984e-05,2.7546e-05,4.0590e-05
14.4220,3.0080e-05,2.7594e-05,4.1023e-05
15.4170,3.0168e-05,2.7627e-05,4.1471e-05
16.4110,3.0246e-05,2.7643e-05,4.1933e-05
17.4060,3.0316e-05,2.7642e-05,4.2410e-05
18.4000,3.0376e-05,2.7623e-05,4.2903e-05
19.3940,3.0425e-05,2.7585e-05,4.3416e-05
20.3890,3.0463e-05,2.7527e-05,4.3949e-05
21.3830,3.0489e-05,2.7445e-05,4.4504e-05
22.3780,3.0500e-05,2.7340e-05,4.5076e-05
23.3720,3.0496e-05,2.7210e-05,4.5666e-05
24.3670,3.0476e-05,2.7057e-05,4.6273e-05
25.3610,3.0437e-05,2.6877e-05,4.6894e-05
26.3560,3.0380e-05,2.6675e-05,4.7529e-05
27.3500,3.0301e-05,2.6446e-05,4.8176e-05
28.3440,3.0202e-05,2.6191e-05,4.8838e-05
29.3390,3.0083e-05,2.5915e-05,4.9519e-05
30.3330,2.9944e-05,2.5611e-05,5.0220e-05
31.3280,2.9786e-05,2.5289e-05,5.0929e-05
32.3220,2.9608e-05,2.4946e-05,5.1637e-05
33.3170,2.9414e-05,2.4580e-05,5.2346e-05
34.3110,2.9206e-05,2.4185e-05,5.3051e-05
35.3060,2.8987e-05,2.3770e-05,5.3735e-05
36.3000,2.8760e-05,2.3329e-05,5.4391e-05
37.2940,2.8527e-05,2.2868e-05,5.4997e-05
38.2890,2.8292e-05,2.2389e-05,5.5573e-05
39.2830,2.8053e-05,2.1881e-05,5.6134e-05
40.2780,2.7811e-05,2.1354e-05,5.6682e-05
41.2720,2.7598e-05,2.0798e-05,5.7195e-05
42.2670,2.7381e-05,2.0228e-05,5.7651e-05
43.2610,2.7169e-05,1.9662e-05,5.8071e-05
44.2560,2.6966e-05,1.9117e-05,5.8471e-05
45.2500,2.6766e-05,1.8570e-05,5.8814e-05
46.2440,2.6566e-05,1.8031e-05,5.9127e-05
47.2390,2.6355e-05,1.7525e-05,5.9434e-05
48.2330,2.6125e-05,1.7063e-05,5.9679e-05
49.2280,2.5864e-05,1.6647e-05,5.9915e-05
50.2220,2.5511e-05,1.6263e-05,6.0094e-05
51.2170,2.5022e-05,1.5860e-05,6.0214e-05
52.2110,2.4561e-05,1.5429e-05,6.0302e-05
53.2060,2.4081e-05,1.5048e-05,6.0448e-05
54.2000,2.3554e-05,1.4682e-05,6.0675e-05
55.1940,2.2989e-05,1.4358e-05,6.1048e-05
56.1890,2.2394e-05,1.4107e-05,6.1499e-05
57.1830,2.1771e-05,1.3943e-05,6.1975e-05
58.1780,2.1160e-05,1.3864e-05,6.2510e-05
59.1720,2.0569e-05,1.3881e-05,6.2980e-05
60.1670,1.9991e-05,1.3861e-05,6.3319e-05
61.1610,1.9276e-05,1.3856e-05,6.3424e-05
62.1560,1.8432e-05,1.3815e-05,6.3077e-05
63.1500,1.7730e-05,1.3786e-05,6.2535e-05
64.1440,1.7141e-05,1.3739e-05,6.1659e-05
65.1390,1.6403e-05,1.3729e-05,6.0511e-05
66.1330,1.5555e-05,1.3728e-05,5.8885e-05
67.1280,1.4649e-05,1.3662e-05,5.6456e-05
68.1220,1.3725e-05,1.3426e-05,5.3169e-05
69.1170,1.2812e-05,1.3158e-05,4.9231e-05
70.1110,1.1962e-05,1.2534e-05,4.4940e-05
71.1060,1.1199e-05,1.2159e-05,4.0277e-05
72.1000,8.4337e-06,1.1996e-05,3.5378e-05
73.0940,6.8320e-06,1.1621e-05,3.0400e-05
74.0890,6.0845e-06,1.2068e-05,2.5743e-05
75.0830,5.9269e-06,1.2538e-05,2.2416e-05
76.0780,6.4284e-06,1.3308e-05,1.9688e-05
77.0720,1.1739e-05,1.5334e-05,1.8315e-05
78.0670,5.8273e-06,1.6249e-05,1.6246e-05
79.0610,4.8553e-06,1.7276e-05,1.5047e-05
80.0560,4.3545e-06,1.5688e-05,1.2082e-05
81.0500,3.9051e-06,1.5390e-05,1.1246e-05
82.0440,3.4600e-06,1.5536e-05,1.0489e-05
83.0390,3.1971e-06,1.4851e-05,1.0326e-05
84.0330,2.7500e-06,1.3115e-05,9.0128e-06
85.0280,2.1193e-06,1.0695e-05,8.3916e-06
86.0220,1.3030e-06,7.8558e-06,7.0064e-06
87.0170,1.8595e-08,5.2033e-06,6.4633e-06
88.0110,1.3883e-10,2.5192e-06,5.4889e-06
89.0060,1.0000e-31,9.1096e-07,1.9772e-06
