# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11c for E = 5000.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.3220e-16,1.7046e-11,6.6801e-10
1.4940,3.7991e-15,2.7149e-11,6.9320e-10
2.4890,1.0601e-14,4.0693e-11,7.3945e-10
3.4830,2.4045e-14,5.5977e-11,8.0817e-10
4.4780,4.9691e-14,7.2449e-11,9.0101e-10
5.4720,9.7606e-14,9.0503e-11,1.0189e-09
6.4670,1.8562e-13,1.1005e-10,1.1615e-09
7.4610,3.4446e-13,1.3176e-10,1.3293e-09
8.4560,6.2533e-13,1.5563e-10,1.5267e-09
9.4500,1.1101e-12,1.8258e-10,1.7604e-09
10.4440,1.9239e-12,2.1296e-10,2.0239e-09
11.4390,3.2539e-12,2.4713e-10,2.2909e-09
12.4330,5.3795e-12,2.8659e-10,2.5612e-09
13.4280,8.7335e-12,3.3167e-10,2.8960e-09
14.4220,1.4023e-11,3.8429e-10,3.3087e-09
15.4170,2.2370e-11,4.4461e-10,3.7009e-09
16.4110,3.5450e-11,5.1466e-10,4.0479e-09
17.4060,5.5741e-11,5.9778e-10,4.4004e-09
18.4000,8.7885e-11,7.0196e-10,4.8483e-09
19.3940,1.4327e-10,8.3108e-10,5.3790e-09
20.3890,2.3027e-10,9.9361e-10,6.1464e-09
21.3830,3.3959e-10,1.2084e-09,7.1156e-09
22.3780,4.9269e-10,1.4828e-09,8.5545e-09
23.3720,6.7853e-10,1.8195e-09,1.0408e-08
24.3670,9.4969e-10,2.2479e-09,1.2669e-08
25.3610,1.2637e-09,2.7615e-09,1.5575e-08
26.3560,1.7144e-09,3.2556e-09,1.9323e-08
27.3500,2.4722e-09,3.7304e-09,2.4036e-08
28.3440,3.4090e-09,4.2875e-09,2.9999e-08
29.3390,4.1140e-09,5.1726e-09,3.7809e-08
30.3330,4.9146e-09,5.8991e-09,4.7965e-08
31.3280,6.8460e-09,6.6720e-09,6.0761e-08
32.3220,8.1059e-09,7.5093e-09,7.6879e-08
33.3170,9.8550e-09,8.5861e-09,9.6644e-08
34.3110,1.0751e-08,9.7087e-09,1.2085e-07
35.3060,1.1146e-08,9.9994e-09,1.4966e-07
36.3000,1.0058e-08,1.0904e-08,1.8321e-07
37.2940,9.7006e-09,1.1584e-08,2.2115e-07
38.2890,9.1838e-09,1.2421e-08,2.6159e-07
39.2830,9.1030e-09,1.3573e-08,3.0426e-07
40.2780,7.7362e-09,1.4738e-08,3.4676e-07
41.2720,7.8495e-09,1.5967e-08,3.8851e-07
42.2670,7.0507e-09,1.7049e-08,4.2811e-07
43.2610,6.3575e-09,1.8478e-08,4.6276e-07
44.2560,7.5269e-09,2.0925e-08,4.9269e-07
45.2500,9.4396e-09,2.2621e-08,5.1885e-07
46.2440,1.1964e-08,2.5406e-08,5.4097e-07
47.2390,1.5053e-08,2.8678e-08,5.6065e-07
48.2330,1.9445e-08,3.2352e-08,5.7750e-07
49.2280,2.5261e-08,3.6966e-08,5.9245e-07
50.2220,3.0607e-08,4.1700e-08,6.0874e-07
51.2170,3.8435e-08,4.7373e-08,6.2789e-07
52.2110,4.4634e-08,5.3053e-08,6.5245e-07
53.2060,5.1619e-08,5.9281e-08,6.8337e-07
54.2000,5.5822e-08,6.4883e-08,7.2440e-07
55.1940,5.5879e-08,7.0454e-08,7.7987e-07
56.1890,5.6039e-08,7.6492e-08,8.5476e-07
57.1830,5.5704e-08,8.3205e-08,9.5402e-07
58.1780,5.4434e-08,9.1544e-08,1.0810e-06
59.1720,5.2061e-08,1.0023e-07,1.2296e-06
60.1670,5.2433e-08,1.1062e-07,1.4030e-06
61.1610,5.1262e-08,1.2200e-07,1.5969e-06
62.1560,5.2279e-08,1.3598e-07,1.8133e-06
63.1500,4.8597e-08,1.4681e-07,2.0397e-06
64.1440,4.7071e-08,1.5636e-07,2.2791e-06
65.1390,4.5960e-08,1.6585e-07,2.5209e-06
66.1330,4.8675e-08,1.7432e-07,2.7771e-06
67.1280,5.2789e-08,1.8265e-07,3.0767e-06
68.1220,5.7418e-08,1.9430e-07,3.4344e-06
69.1170,6.2302e-08,2.1117e-07,3.8364e-06
70.1110,6.6777e-08,2.2730e-07,4.2866e-06
71.1060,6.7398e-08,2.5087e-07,4.8031e-06
72.1000,6.4027e-08,2.8390e-07,5.3713e-06
73.0940,6.2370e-08,3.2382e-07,5.9781e-06
74.0890,5.9740e-08,3.6294e-07,6.5396e-06
75.0830,6.0743e-08,3.8982e-07,7.2235e-06
76.0780,6.1669e-08,4.4277e-07,7.7381e-06
77.0720,6.1453e-08,4.5325e-07,8.1853e-06
78.0670,6.7617e-08,5.0435e-07,8.5709e-06
79.0610,7.1342e-08,5.2202e-07,8.8255e-06
80.0560,8.0256e-08,4.2326e-07,8.6398e-06
81.0500,6.7607e-08,4.6067e-07,8.8281e-06
82.0440,7.7144e-08,3.8691e-07,1.0071e-05
83.0390,9.9257e-08,4.8304e-07,7.9816e-06
84.0330,7.3878e-08,4.6345e-07,8.2613e-06
85.0280,9.6900e-08,5.1586e-07,8.2790e-06
86.0220,9.4958e-08,6.3574e-07,9.3413e-06
87.0170,9.6978e-08,8.3388e-07,7.6695e-06
88.0110,9.4958e-08,8.0213e-07,8.0719e-06
89.0060,7.9133e-08,3.4888e-07,8.2811e-06
