# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11cc for E = 100.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.2579e-05,2.0350e-05,5.3847e-05
1.4940,2.2757e-05,2.0488e-05,5.4291e-05
2.4890,2.2944e-05,2.0609e-05,5.4778e-05
3.4830,2.3141e-05,2.0715e-05,5.5310e-05
4.4780,2.3348e-05,2.0805e-05,5.5888e-05
5.4720,2.3563e-05,2.0880e-05,5.6513e-05
6.4670,2.3787e-05,2.0937e-05,5.7189e-05
7.4610,2.4018e-05,2.0977e-05,5.7914e-05
8.4560,2.4256e-05,2.1000e-05,5.8690e-05
9.4500,2.4500e-05,2.1004e-05,5.9517e-05
10.4440,2.4747e-05,2.0990e-05,6.0395e-05
11.4390,2.4996e-05,2.0956e-05,6.1323e-05
12.4330,2.5244e-05,2.0902e-05,6.2299e-05
13.4280,2.5487e-05,2.0828e-05,6.3319e-05
14.4220,2.5721e-05,2.0732e-05,6.4379e-05
15.4170,2.5942e-05,2.0615e-05,6.5471e-05
16.4110,2.6145e-05,2.0475e-05,6.6585e-05
17.4060,2.6344e-05,2.0315e-05,6.7711e-05
18.4000,2.6541e-05,2.0133e-05,6.8841e-05
19.3940,2.6735e-05,1.9930e-05,6.9975e-05
20.3890,2.6926e-05,1.9709e-05,7.1125e-05
21.3830,2.7112e-05,1.9467e-05,7.2307e-05
22.3780,2.7294e-05,1.9208e-05,7.3532e-05
23.3720,2.7471e-05,1.8930e-05,7.4824e-05
24.3670,2.7639e-05,1.8637e-05,7.6207e-05
25.3610,2.7795e-05,1.8325e-05,7.7682e-05
26.3560,2.7933e-05,1.8001e-05,7.9198e-05
27.3500,2.8047e-05,1.7660e-05,8.0655e-05
28.3440,2.8131e-05,1.7305e-05,8.2027e-05
29.3390,2.8171e-05,1.6939e-05,8.3289e-05
30.3330,2.8153e-05,1.6557e-05,8.4432e-05
31.3280,2.8070e-05,1.6168e-05,8.5526e-05
32.3220,2.7942e-05,1.5768e-05,8.6630e-05
33.3170,2.7746e-05,1.5363e-05,8.7756e-05
34.3110,2.7499e-05,1.4945e-05,8.8903e-05
35.3060,2.7211e-05,1.4522e-05,9.0025e-05
36.3000,2.6879e-05,1.4092e-05,9.1049e-05
37.2940,2.6504e-05,1.3667e-05,9.1932e-05
38.2890,2.6085e-05,1.3259e-05,9.2713e-05
39.2830,2.5621e-05,1.2871e-05,9.3421e-05
40.2780,2.5113e-05,1.2520e-05,9.3876e-05
41.2720,2.4577e-05,1.2211e-05,9.4204e-05
42.2670,2.4001e-05,1.1939e-05,9.4518e-05
43.2610,2.3362e-05,1.1701e-05,9.4940e-05
44.2560,2.2673e-05,1.1452e-05,9.5306e-05
45.2500,2.1928e-05,1.1199e-05,9.5070e-05
46.2440,2.1121e-05,1.0929e-05,9.4676e-05
47.2390,2.0244e-05,1.0629e-05,9.4264e-05
48.2330,1.9289e-05,1.0301e-05,9.3818e-05
49.2280,1.8247e-05,9.9566e-06,9.3185e-05
50.2220,1.7117e-05,9.6007e-06,9.2560e-05
51.2170,1.5882e-05,9.2020e-06,9.2509e-05
52.2110,1.4539e-05,8.7305e-06,9.2069e-05
53.2060,1.3226e-05,8.2774e-06,9.0757e-05
54.2000,1.1875e-05,7.9288e-06,8.9355e-05
55.1940,1.0533e-05,7.5649e-06,8.7935e-05
56.1890,9.2327e-06,7.2128e-06,8.6511e-05
57.1830,8.0079e-06,6.8681e-06,8.5096e-05
58.1780,6.8959e-06,6.5372e-06,8.3910e-05
59.1720,5.9290e-06,6.2250e-06,8.3073e-05
60.1670,5.1265e-06,5.9374e-06,8.2675e-05
61.1610,4.5096e-06,5.6678e-06,8.2552e-05
62.1560,3.9913e-06,5.4390e-06,8.2416e-05
63.1500,3.1482e-06,5.1190e-06,8.1942e-05
64.1440,2.7993e-06,4.6870e-06,8.1032e-05
65.1390,2.5995e-06,4.0694e-06,8.0500e-05
66.1330,2.4349e-06,3.8393e-06,8.0074e-05
67.1280,2.3022e-06,3.6096e-06,7.9710e-05
68.1220,2.1913e-06,3.3910e-06,7.9411e-05
69.1170,2.0953e-06,3.2030e-06,7.8643e-05
70.1110,2.0118e-06,3.0232e-06,7.7617e-05
71.1060,1.9462e-06,2.8414e-06,7.6268e-05
72.1000,1.9090e-06,2.6056e-06,7.3876e-05
73.0940,1.9163e-06,2.4077e-06,7.0130e-05
74.0890,1.6360e-06,2.1825e-06,6.4764e-05
75.0830,1.0523e-06,2.0500e-06,5.6607e-05
76.0780,9.5704e-07,1.8193e-06,4.8312e-05
77.0720,9.6619e-07,1.8484e-06,3.9580e-05
78.0670,1.1775e-06,2.1261e-06,3.1675e-05
79.0610,2.1620e-06,2.5462e-06,2.3408e-05
80.0560,1.9881e-06,3.1344e-06,1.9491e-05
81.0500,1.3864e-06,3.5999e-06,1.6649e-05
82.0440,7.3662e-07,3.9520e-06,8.9564e-06
83.0390,7.5679e-08,4.2346e-06,5.5558e-06
84.0330,5.4213e-13,4.2102e-06,6.0717e-06
85.0280,1.0000e-31,3.6709e-06,6.2893e-06
86.0220,1.0000e-31,2.5020e-06,8.1254e-06
87.0170,1.0000e-31,4.9731e-07,1.6324e-05
88.0110,1.0000e-31,2.6454e-08,3.1320e-05
89.0060,1.0000e-31,6.3874e-09,1.1824e-06
