# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11d for E = 5000.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.8753e-16,3.2345e-09,1.6095e-08
1.4940,2.0588e-15,3.3376e-09,1.6278e-08
2.4890,6.2112e-15,3.5206e-09,1.6524e-08
3.4830,1.5020e-14,3.7924e-09,1.6825e-08
4.4780,3.4257e-14,4.1551e-09,1.7173e-08
5.4720,7.6794e-14,4.6251e-09,1.7559e-08
6.4670,1.6871e-13,5.2067e-09,1.7977e-08
7.4610,3.6005e-13,5.9264e-09,1.8426e-08
8.4560,7.4481e-13,6.7918e-09,1.8902e-08
9.4500,1.4914e-12,7.8439e-09,1.9403e-08
10.4440,2.8927e-12,9.1082e-09,1.9926e-08
11.4390,5.4442e-12,1.0611e-08,2.0417e-08
12.4330,9.9627e-12,1.2430e-08,2.0805e-08
13.4280,1.7769e-11,1.4601e-08,2.1132e-08
14.4220,3.0964e-11,1.7246e-08,2.1509e-08
15.4170,5.2858e-11,2.0431e-08,2.1763e-08
16.4110,8.8611e-11,2.4421e-08,2.1616e-08
17.4060,1.4628e-10,2.9416e-08,2.1554e-08
18.4000,2.3840e-10,3.4925e-08,2.1795e-08
19.3940,3.8342e-10,4.0058e-08,2.2089e-08
20.3890,6.0113e-10,4.5157e-08,2.2586e-08
21.3830,9.1297e-10,5.1436e-08,2.3501e-08
22.3780,1.3338e-09,5.8811e-08,2.4522e-08
23.3720,1.8737e-09,6.7584e-08,2.5545e-08
24.3670,2.5757e-09,7.7147e-08,2.6727e-08
25.3610,3.6075e-09,8.8951e-08,2.8527e-08
26.3560,5.3343e-09,1.0579e-07,3.0792e-08
27.3500,8.0315e-09,1.2761e-07,3.3385e-08
28.3440,1.0727e-08,1.5161e-07,3.6693e-08
29.3390,1.3306e-08,1.7677e-07,4.0728e-08
30.3330,1.6549e-08,2.0519e-07,4.5604e-08
31.3280,2.4085e-08,2.3377e-07,5.0998e-08
32.3220,2.8747e-08,2.5970e-07,5.7252e-08
33.3170,3.6748e-08,2.8506e-07,6.4346e-08
34.3110,3.9299e-08,3.0465e-07,7.1835e-08
35.3060,4.2085e-08,3.0040e-07,7.9490e-08
36.3000,4.3548e-08,2.9393e-07,8.7766e-08
37.2940,4.5188e-08,2.8528e-07,9.5849e-08
38.2890,4.6604e-08,2.7391e-07,1.0387e-07
39.2830,5.1355e-08,2.5123e-07,1.1084e-07
40.2780,5.2944e-08,2.2970e-07,1.1644e-07
41.2720,5.5354e-08,2.0847e-07,1.2053e-07
42.2670,5.9028e-08,1.8891e-07,1.2221e-07
43.2610,5.9794e-08,1.6894e-07,1.2221e-07
44.2560,6.0722e-08,1.7240e-07,1.2007e-07
45.2500,6.0001e-08,1.7857e-07,1.1763e-07
46.2440,5.8704e-08,1.8227e-07,1.1599e-07
47.2390,5.6535e-08,1.8675e-07,1.1560e-07
48.2330,5.5047e-08,1.9116e-07,1.1993e-07
49.2280,5.2349e-08,1.9657e-07,1.2557e-07
50.2220,5.0421e-08,1.9862e-07,1.3758e-07
51.2170,4.5648e-08,1.9404e-07,1.5308e-07
52.2110,4.3046e-08,1.8767e-07,1.7443e-07
53.2060,4.0201e-08,1.7952e-07,1.9415e-07
54.2000,3.9466e-08,1.7795e-07,2.0876e-07
55.1940,4.0174e-08,1.8154e-07,2.1925e-07
56.1890,4.0848e-08,1.8475e-07,2.3115e-07
57.1830,4.1747e-08,1.8758e-07,2.4057e-07
58.1780,4.1995e-08,1.9043e-07,2.5015e-07
59.1720,4.1587e-08,1.9160e-07,2.5892e-07
60.1670,4.1096e-08,1.9230e-07,2.6605e-07
61.1610,4.0057e-08,1.9153e-07,2.7196e-07
62.1560,4.0422e-08,1.8782e-07,2.7767e-07
63.1500,3.8857e-08,1.8558e-07,2.8497e-07
64.1440,3.8184e-08,1.8629e-07,2.9494e-07
65.1390,3.8157e-08,1.8968e-07,3.0429e-07
66.1330,4.0731e-08,2.0093e-07,3.2141e-07
67.1280,4.3671e-08,2.1419e-07,3.4166e-07
68.1220,4.8145e-08,2.2779e-07,3.5829e-07
69.1170,4.8481e-08,2.4159e-07,3.7398e-07
70.1110,4.9147e-08,2.5639e-07,3.9568e-07
71.1060,4.8847e-08,2.7367e-07,4.2560e-07
72.1000,4.7737e-08,2.8472e-07,4.6664e-07
73.0940,4.7925e-08,2.9578e-07,4.9589e-07
74.0890,4.2507e-08,3.0687e-07,5.1927e-07
75.0830,4.0543e-08,3.2446e-07,5.6812e-07
76.0780,3.7432e-08,3.4974e-07,5.8012e-07
77.0720,3.3449e-08,3.7585e-07,6.4395e-07
78.0670,3.4472e-08,3.9026e-07,7.7235e-07
79.0610,4.1925e-08,3.9194e-07,6.4219e-07
80.0560,3.8218e-08,3.2389e-07,6.4634e-07
81.0500,3.5089e-08,3.5337e-07,6.2206e-07
82.0440,4.5924e-08,4.0705e-07,7.1957e-07
83.0390,4.4601e-08,3.1585e-07,5.8725e-07
84.0330,5.1433e-08,3.8623e-07,6.3011e-07
85.0280,5.4049e-08,4.5868e-07,5.9826e-07
86.0220,4.3001e-08,5.6282e-07,5.9447e-07
87.0170,4.8387e-08,6.0105e-07,5.7573e-07
88.0110,5.6829e-08,3.0388e-07,5.2656e-07
89.0060,5.0656e-08,2.7080e-07,5.3347e-07
