# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11dd for E = 100.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.0052e-08,1.0000e-31,2.3578e-08
1.4940,2.0819e-08,1.0000e-31,2.3778e-08
2.4890,2.2221e-08,1.0000e-31,2.4004e-08
3.4830,2.4282e-08,1.0000e-31,2.4256e-08
4.4780,2.7033e-08,1.0000e-31,2.4536e-08
5.4720,3.0510e-08,1.0000e-31,2.4846e-08
6.4670,3.4756e-08,1.0000e-31,2.5189e-08
7.4610,3.9818e-08,1.0000e-31,2.5568e-08
8.4560,4.5751e-08,1.0000e-31,2.5990e-08
9.4500,5.2615e-08,1.0000e-31,2.6461e-08
10.4440,6.0479e-08,1.0000e-31,2.6990e-08
11.4390,6.9415e-08,1.0000e-31,2.7586e-08
12.4330,7.9503e-08,1.0000e-31,2.8259e-08
13.4280,9.0832e-08,1.0000e-31,2.9014e-08
14.4220,1.0350e-07,1.0000e-31,2.9855e-08
15.4170,1.1761e-07,1.0000e-31,3.0786e-08
16.4110,1.3328e-07,1.0000e-31,3.1833e-08
17.4060,1.5065e-07,1.0000e-31,3.3047e-08
18.4000,1.6986e-07,1.0000e-31,3.4459e-08
19.3940,1.9108e-07,1.0000e-31,3.6007e-08
20.3890,2.1450e-07,1.0000e-31,3.7669e-08
21.3830,2.4036e-07,1.0000e-31,3.9498e-08
22.3780,2.6891e-07,1.0000e-31,4.1633e-08
23.3720,3.0044e-07,1.0000e-31,4.4411e-08
24.3670,3.3528e-07,1.0000e-31,4.8413e-08
25.3610,3.7383e-07,1.0000e-31,5.3757e-08
26.3560,4.1652e-07,1.0000e-31,5.9465e-08
27.3500,4.6389e-07,1.0000e-31,6.3883e-08
28.3440,5.1651e-07,1.0000e-31,6.7359e-08
29.3390,5.7508e-07,1.0000e-31,7.0691e-08
30.3330,6.4037e-07,1.0000e-31,7.3909e-08
31.3280,7.1322e-07,1.0000e-31,7.7204e-08
32.3220,7.9453e-07,1.0000e-31,8.0700e-08
33.3170,8.8490e-07,1.0000e-31,8.4858e-08
34.3110,9.8192e-07,1.0000e-31,9.0872e-08
35.3060,1.0829e-06,1.0000e-31,9.7395e-08
36.3000,1.1837e-06,1.0000e-31,1.0432e-07
37.2940,1.2783e-06,1.0000e-31,1.1395e-07
38.2890,1.3593e-06,1.0000e-31,1.3250e-07
39.2830,1.4202e-06,1.0000e-31,1.5367e-07
40.2780,1.4585e-06,1.0000e-31,1.6126e-07
41.2720,1.4830e-06,1.0000e-31,1.6631e-07
42.2670,1.5013e-06,1.0000e-31,1.7161e-07
43.2610,1.5258e-06,1.0000e-31,1.7717e-07
44.2560,1.5356e-06,1.0000e-31,1.8297e-07
45.2500,1.5406e-06,1.0000e-31,1.8900e-07
46.2440,1.5460e-06,1.0000e-31,1.9523e-07
47.2390,1.5698e-06,1.0000e-31,2.0164e-07
48.2330,1.6585e-06,1.0000e-31,2.0822e-07
49.2280,1.8104e-06,1.0000e-31,2.1494e-07
50.2220,1.9784e-06,1.0000e-31,2.2182e-07
51.2170,2.1804e-06,1.0000e-31,2.2881e-07
52.2110,2.4424e-06,1.0000e-31,2.3581e-07
53.2060,2.7556e-06,1.0000e-31,2.4267e-07
54.2000,3.1369e-06,1.0000e-31,2.4915e-07
55.1940,3.5471e-06,1.0000e-31,2.5513e-07
56.1890,3.9817e-06,1.0000e-31,2.6039e-07
57.1830,4.4400e-06,1.0000e-31,2.6482e-07
58.1780,4.9245e-06,1.0000e-31,2.6856e-07
59.1720,5.4428e-06,1.0000e-31,2.7149e-07
60.1670,5.9031e-06,1.0000e-31,2.7387e-07
61.1610,6.0674e-06,1.0000e-31,2.7548e-07
62.1560,6.0985e-06,1.0000e-31,2.7615e-07
63.1500,6.1218e-06,1.0000e-31,2.7563e-07
64.1440,6.0056e-06,1.0000e-31,2.7370e-07
65.1390,5.7342e-06,1.0000e-31,2.7001e-07
66.1330,5.3385e-06,1.0000e-31,2.6333e-07
67.1280,4.8846e-06,1.0000e-31,2.5326e-07
68.1220,4.3806e-06,1.0000e-31,2.3874e-07
69.1170,3.8442e-06,1.0000e-31,2.1841e-07
70.1110,3.3022e-06,1.0000e-31,1.9211e-07
71.1060,2.7842e-06,1.0000e-31,1.5885e-07
72.1000,2.3306e-06,1.0000e-31,1.1893e-07
73.0940,1.9663e-06,1.0000e-31,7.1815e-08
74.0890,1.6979e-06,1.0000e-31,3.3004e-08
75.0830,1.5092e-06,1.0000e-31,2.1787e-08
76.0780,1.3656e-06,1.0000e-31,8.3099e-09
77.0720,6.9578e-07,1.0000e-31,6.8657e-09
78.0670,5.2257e-07,1.0000e-31,6.4786e-09
79.0610,4.0525e-07,1.0000e-31,6.7475e-09
80.0560,3.5820e-07,1.0000e-31,7.0685e-09
81.0500,3.9421e-07,1.0000e-31,7.5844e-09
82.0440,5.3563e-07,1.0000e-31,8.7770e-09
83.0390,8.5251e-07,1.0000e-31,1.1900e-08
84.0330,1.6350e-06,1.0000e-31,2.2207e-08
85.0280,4.1543e-06,1.0000e-31,3.8820e-08
86.0220,2.0291e-06,1.0000e-31,8.3877e-08
87.0170,1.0000e-31,1.0000e-31,3.0677e-07
88.0110,1.0000e-31,1.0000e-31,3.0184e-07
89.0060,1.0000e-31,1.0000e-31,7.4175e-09
