# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11e for E = 5000.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.5942e-18,4.5729e-09,2.4348e-08
1.4940,1.9421e-16,4.6669e-09,2.4592e-08
2.4890,1.2178e-15,4.8227e-09,2.4900e-08
3.4830,4.3182e-15,5.0497e-09,2.5283e-08
4.4780,1.1698e-14,5.3529e-09,2.5788e-08
5.4720,2.7198e-14,5.7501e-09,2.6550e-08
6.4670,5.7510e-14,6.2494e-09,2.7622e-08
7.4610,1.1440e-13,6.8786e-09,2.8760e-08
8.4560,2.1899e-13,7.6484e-09,2.9778e-08
9.4500,4.0986e-13,8.5984e-09,3.0620e-08
10.4440,7.5868e-13,9.7536e-09,3.1508e-08
11.4390,1.3992e-12,1.1135e-08,3.2434e-08
12.4330,2.5728e-12,1.2809e-08,3.2506e-08
13.4280,4.6800e-12,1.4789e-08,3.1593e-08
14.4220,8.2929e-12,1.7161e-08,2.9945e-08
15.4170,1.4049e-11,1.9941e-08,2.8594e-08
16.4110,2.2464e-11,2.3276e-08,2.7705e-08
17.4060,3.4296e-11,2.7223e-08,2.5559e-08
18.4000,5.1463e-11,3.1890e-08,2.4237e-08
19.3940,7.6690e-11,3.7138e-08,2.2820e-08
20.3890,1.1630e-10,4.3106e-08,2.1187e-08
21.3830,1.9761e-10,5.0469e-08,1.9823e-08
22.3780,2.8213e-10,5.9418e-08,1.8682e-08
23.3720,3.9153e-10,7.0443e-08,1.8011e-08
24.3670,5.4426e-10,8.3648e-08,1.7804e-08
25.3610,7.8347e-10,9.9713e-08,1.7725e-08
26.3560,1.0516e-09,1.1913e-07,1.7636e-08
27.3500,1.2669e-09,1.4417e-07,1.8372e-08
28.3440,1.6142e-09,1.7654e-07,2.0092e-08
29.3390,2.2782e-09,2.1283e-07,2.1991e-08
30.3330,2.8552e-09,2.5321e-07,2.3091e-08
31.3280,3.5084e-09,2.9685e-07,2.5509e-08
32.3220,4.7515e-09,3.4078e-07,2.8246e-08
33.3170,6.0166e-09,3.8486e-07,3.2692e-08
34.3110,7.1142e-09,4.3003e-07,3.6311e-08
35.3060,8.1533e-09,4.6979e-07,4.1901e-08
36.3000,9.3705e-09,5.1400e-07,4.9413e-08
37.2940,1.0962e-08,5.6917e-07,5.9751e-08
38.2890,1.3118e-08,6.4814e-07,7.3905e-08
39.2830,1.5287e-08,7.3150e-07,9.0843e-08
40.2780,1.7841e-08,8.1857e-07,1.1079e-07
41.2720,2.1564e-08,9.0331e-07,1.3588e-07
42.2670,2.5037e-08,9.7690e-07,1.6311e-07
43.2610,2.8247e-08,1.0520e-06,1.8741e-07
44.2560,2.9036e-08,1.1193e-06,2.0790e-07
45.2500,2.9885e-08,1.1784e-06,2.2591e-07
46.2440,2.9637e-08,1.2310e-06,2.4728e-07
47.2390,3.0267e-08,1.2765e-06,2.7010e-07
48.2330,3.0709e-08,1.3171e-06,2.9483e-07
49.2280,3.0580e-08,1.3512e-06,3.1851e-07
50.2220,3.1455e-08,1.3901e-06,3.4280e-07
51.2170,3.1667e-08,1.4084e-06,3.6398e-07
52.2110,3.2608e-08,1.4187e-06,3.8192e-07
53.2060,3.3299e-08,1.4194e-06,3.9618e-07
54.2000,3.4047e-08,1.4151e-06,4.0658e-07
55.1940,3.4514e-08,1.4217e-06,4.1148e-07
56.1890,3.5371e-08,1.4127e-06,4.1238e-07
57.1830,3.6041e-08,1.3745e-06,4.0625e-07
58.1780,3.6145e-08,1.3239e-06,3.9660e-07
59.1720,3.6118e-08,1.2643e-06,3.8347e-07
60.1670,3.4663e-08,1.1945e-06,3.6822e-07
61.1610,3.2481e-08,1.1134e-06,3.5310e-07
62.1560,2.9609e-08,1.0177e-06,3.3781e-07
63.1500,2.6895e-08,8.7031e-07,3.2776e-07
64.1440,2.3885e-08,6.4319e-07,3.1843e-07
65.1390,2.1974e-08,5.3686e-07,3.1712e-07
66.1330,2.3654e-08,5.4925e-07,3.2658e-07
67.1280,2.5401e-08,5.5866e-07,3.2566e-07
68.1220,2.6323e-08,5.6992e-07,3.2741e-07
69.1170,2.7021e-08,5.8577e-07,3.3358e-07
70.1110,2.7258e-08,5.9396e-07,3.4761e-07
71.1060,2.6848e-08,5.8658e-07,3.7583e-07
72.1000,2.6740e-08,5.7656e-07,4.2066e-07
73.0940,2.5574e-08,5.5406e-07,4.7958e-07
74.0890,2.6401e-08,4.9729e-07,5.5511e-07
75.0830,2.3853e-08,4.6257e-07,6.4448e-07
76.0780,2.1090e-08,4.4686e-07,7.4249e-07
77.0720,1.8216e-08,4.3371e-07,8.4669e-07
78.0670,1.9095e-08,4.5598e-07,9.3607e-07
79.0610,1.8998e-08,4.9006e-07,1.0077e-06
80.0560,2.0226e-08,4.8637e-07,1.0363e-06
81.0500,2.8306e-08,4.7616e-07,1.0586e-06
82.0440,1.7833e-08,4.0804e-07,1.0451e-06
83.0390,3.1270e-08,3.2302e-07,1.0425e-06
84.0330,2.2958e-08,3.3904e-07,9.2147e-07
85.0280,3.2220e-08,3.9089e-07,8.8099e-07
86.0220,2.9903e-08,5.0948e-07,8.9540e-07
87.0170,2.5585e-08,7.6900e-07,1.0368e-06
88.0110,3.2373e-08,9.8492e-07,9.9918e-07
89.0060,3.3953e-08,1.4280e-07,9.2473e-07
