# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11ee for E = 100.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5320e-07,1.0000e-31,6.5184e-12
1.4940,1.5460e-07,1.0000e-31,6.5922e-12
2.4890,1.5627e-07,1.0000e-31,6.6918e-12
3.4830,1.5820e-07,1.0000e-31,6.8184e-12
4.4780,1.6041e-07,1.0000e-31,6.9734e-12
5.4720,1.6290e-07,1.0000e-31,7.1584e-12
6.4670,1.6567e-07,1.0000e-31,7.3757e-12
7.4610,1.6873e-07,1.0000e-31,7.6282e-12
8.4560,1.7206e-07,1.0000e-31,7.9194e-12
9.4500,1.7568e-07,1.0000e-31,8.2541e-12
10.4440,1.7958e-07,1.0000e-31,8.6385e-12
11.4390,1.8376e-07,1.0000e-31,9.0810e-12
12.4330,1.8822e-07,1.0000e-31,9.5929e-12
13.4280,1.9294e-07,1.0000e-31,1.0189e-11
14.4220,1.9791e-07,1.0000e-31,1.0889e-11
15.4170,2.0312e-07,1.0000e-31,1.1720e-11
16.4110,2.0855e-07,1.0000e-31,1.2709e-11
17.4060,2.1416e-07,1.0000e-31,1.3886e-11
18.4000,2.1993e-07,1.0000e-31,1.5282e-11
19.3940,2.2581e-07,1.0000e-31,1.6937e-11
20.3890,2.3173e-07,1.0000e-31,1.8900e-11
21.3830,2.3789e-07,1.0000e-31,2.1221e-11
22.3780,2.4438e-07,1.0000e-31,2.4068e-11
23.3720,2.5129e-07,1.0000e-31,2.8422e-11
24.3670,2.5870e-07,1.0000e-31,3.6587e-11
25.3610,2.6677e-07,1.0000e-31,5.2892e-11
26.3560,2.7570e-07,1.0000e-31,7.9558e-11
27.3500,2.8575e-07,1.0000e-31,1.1201e-10
28.3440,2.9728e-07,1.0000e-31,1.4299e-10
29.3390,3.1072e-07,1.0000e-31,1.6574e-10
30.3330,3.2549e-07,1.0000e-31,1.8846e-10
31.3280,3.4137e-07,1.0000e-31,2.1521e-10
32.3220,3.5843e-07,1.0000e-31,2.4771e-10
33.3170,3.7665e-07,1.0000e-31,2.8829e-10
34.3110,3.9603e-07,1.0000e-31,3.3606e-10
35.3060,4.1653e-07,1.0000e-31,3.8955e-10
36.3000,4.3803e-07,1.0000e-31,4.4810e-10
37.2940,4.6030e-07,1.0000e-31,5.1965e-10
38.2890,4.8346e-07,1.0000e-31,7.0601e-10
39.2830,5.0925e-07,1.0000e-31,1.1875e-09
40.2780,5.3854e-07,1.0000e-31,1.8527e-09
41.2720,5.7223e-07,1.0000e-31,2.2534e-09
42.2670,6.1143e-07,1.0000e-31,2.5791e-09
43.2610,6.5739e-07,1.0000e-31,2.9150e-09
44.2560,7.1046e-07,1.0000e-31,3.2771e-09
45.2500,7.7018e-07,1.0000e-31,3.6525e-09
46.2440,8.3525e-07,1.0000e-31,4.0417e-09
47.2390,9.0265e-07,1.0000e-31,4.4554e-09
48.2330,9.7651e-07,1.0000e-31,4.8946e-09
49.2280,1.0596e-06,1.0000e-31,5.3598e-09
50.2220,1.1493e-06,1.0000e-31,5.8569e-09
51.2170,1.2504e-06,1.0000e-31,6.3901e-09
52.2110,1.3626e-06,1.0000e-31,6.9587e-09
53.2060,1.4853e-06,1.0000e-31,7.6156e-09
54.2000,1.6223e-06,1.0000e-31,8.4580e-09
55.1940,1.7678e-06,1.0000e-31,9.2611e-09
56.1890,1.9058e-06,1.0000e-31,1.0126e-08
57.1830,2.0323e-06,1.0000e-31,1.1790e-08
58.1780,2.1400e-06,1.0000e-31,1.5606e-08
59.1720,2.2201e-06,1.0000e-31,1.9943e-08
60.1670,2.2654e-06,1.0000e-31,2.2233e-08
61.1610,2.2716e-06,1.0000e-31,2.3927e-08
62.1560,2.2387e-06,1.0000e-31,2.6787e-08
63.1500,2.1819e-06,1.0000e-31,3.6024e-08
64.1440,2.1518e-06,1.0000e-31,4.6075e-08
65.1390,2.0928e-06,1.0000e-31,4.8145e-08
66.1330,2.0289e-06,1.0000e-31,4.8660e-08
67.1280,1.9760e-06,1.0000e-31,4.8922e-08
68.1220,1.8811e-06,1.0000e-31,4.8989e-08
69.1170,1.7832e-06,1.0000e-31,4.8806e-08
70.1110,1.8045e-06,1.0000e-31,4.8448e-08
71.1060,1.7100e-06,1.0000e-31,4.8157e-08
72.1000,1.5489e-06,1.0000e-31,4.9115e-08
73.0940,1.4424e-06,1.0000e-31,5.3589e-08
74.0890,1.4003e-06,1.0000e-31,5.9897e-08
75.0830,1.3922e-06,1.0000e-31,6.9347e-08
76.0780,1.2683e-06,1.0000e-31,9.9058e-08
77.0720,1.3271e-06,1.0000e-31,1.8247e-07
78.0670,1.2949e-06,1.0000e-31,2.6684e-07
79.0610,1.5407e-06,1.0000e-31,2.7277e-07
80.0560,2.0204e-06,1.0000e-31,2.2616e-07
81.0500,3.3031e-06,1.0000e-31,2.7269e-07
82.0440,2.1091e-06,1.0000e-31,3.1309e-07
83.0390,1.4911e-06,1.0000e-31,3.3913e-07
84.0330,1.9629e-06,1.0000e-31,2.9533e-07
85.0280,2.9376e-06,1.0000e-31,2.4726e-07
86.0220,2.5320e-06,1.0000e-31,1.9529e-07
87.0170,1.6811e-06,1.0000e-31,1.3714e-07
88.0110,4.0376e-08,1.0000e-31,6.5732e-08
89.0060,1.0000e-31,1.0000e-31,9.6082e-09
