# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11f for E = 5000.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.0000e-31,1.0000e-31,4.7545e-17
1.4940,1.0000e-31,1.0000e-31,1.2559e-16
2.4890,1.0000e-31,1.0000e-31,2.5254e-16
3.4830,1.0000e-31,1.0000e-31,4.3997e-16
4.4780,1.0000e-31,1.0000e-31,6.9755e-16
5.4720,1.0000e-31,1.0000e-31,1.0420e-15
6.4670,1.0000e-31,1.0000e-31,1.5091e-15
7.4610,1.0000e-31,1.0000e-31,2.1741e-15
8.4560,1.0000e-31,1.0000e-31,3.1800e-15
9.4500,1.0000e-31,1.0000e-31,4.7599e-15
10.4440,1.0000e-31,1.0000e-31,7.2905e-15
11.4390,1.0000e-31,1.0000e-31,1.1501e-14
12.4330,1.0000e-31,1.0000e-31,1.9208e-14
13.4280,1.0000e-31,1.0000e-31,3.3872e-14
14.4220,1.0000e-31,1.0000e-31,5.6566e-14
15.4170,1.0000e-31,1.0000e-31,9.0040e-14
16.4110,1.0000e-31,1.0000e-31,1.4747e-13
17.4060,1.0000e-31,1.0000e-31,2.3932e-13
18.4000,1.0000e-31,1.0000e-31,3.8189e-13
19.3940,1.0000e-31,1.0000e-31,6.2278e-13
20.3890,1.0000e-31,1.0000e-31,1.0455e-12
21.3830,1.0000e-31,1.0000e-31,1.7768e-12
22.3780,1.0000e-31,1.0000e-31,2.9296e-12
23.3720,1.0000e-31,1.0000e-31,4.5705e-12
24.3670,1.0000e-31,1.0000e-31,6.7531e-12
25.3610,1.0000e-31,1.0000e-31,9.6980e-12
26.3560,1.0000e-31,1.0000e-31,1.3217e-11
27.3500,2.5171e-27,1.0000e-31,1.8180e-11
28.3440,5.3595e-27,1.0000e-31,2.3684e-11
29.3390,8.0511e-27,1.0000e-31,3.0277e-11
30.3330,1.0870e-26,1.0000e-31,3.5401e-11
31.3280,1.3856e-26,1.0000e-31,4.1285e-11
32.3220,1.7052e-26,1.0000e-31,4.7640e-11
33.3170,2.0559e-26,1.0000e-31,5.3379e-11
34.3110,2.4614e-26,1.0000e-31,5.9375e-11
35.3060,2.9611e-26,1.0000e-31,6.5678e-11
36.3000,3.5764e-26,1.0000e-31,7.0476e-11
37.2940,4.2695e-26,1.0000e-31,7.5575e-11
38.2890,1.7763e-15,1.0000e-31,8.0101e-11
39.2830,1.4263e-12,1.0000e-31,8.3196e-11
40.2780,2.4270e-11,1.0000e-31,8.5605e-11
41.2720,1.1910e-10,1.0000e-31,8.7855e-11
42.2670,3.0293e-10,1.0000e-31,8.9843e-11
43.2610,4.6342e-10,1.0000e-31,9.0717e-11
44.2560,4.8388e-10,1.0000e-31,9.1712e-11
45.2500,4.6627e-10,1.0000e-31,9.1931e-11
46.2440,4.4928e-10,1.0000e-31,9.1581e-11
47.2390,4.3596e-10,1.0000e-31,9.0346e-11
48.2330,4.2493e-10,1.0000e-31,8.8531e-11
49.2280,4.1608e-10,1.0000e-31,8.5903e-11
50.2220,4.0479e-10,1.0000e-31,8.3046e-11
51.2170,3.8988e-10,1.0000e-31,7.9880e-11
52.2110,3.7799e-10,1.0000e-31,7.7879e-11
53.2060,2.4003e-10,1.0000e-31,7.8438e-11
54.2000,1.6877e-10,1.0000e-31,8.3672e-11
55.1940,1.6832e-10,1.0000e-31,9.5408e-11
56.1890,1.6948e-10,1.0000e-31,1.1655e-10
57.1830,1.7257e-10,1.0000e-31,1.4889e-10
58.1780,1.8487e-10,1.0000e-31,1.9768e-10
59.1720,2.0645e-10,1.0000e-31,2.6191e-10
60.1670,2.3064e-10,1.0000e-31,3.3854e-10
61.1610,2.6827e-10,1.0000e-31,4.2267e-10
62.1560,3.0680e-10,1.0000e-31,5.0666e-10
63.1500,6.5155e-10,1.0000e-31,5.8255e-10
64.1440,1.4226e-09,1.0000e-31,6.4084e-10
65.1390,2.1992e-09,1.0000e-31,6.8066e-10
66.1330,2.3577e-09,1.0000e-31,6.9970e-10
67.1280,2.5566e-09,1.0000e-31,7.1254e-10
68.1220,2.7851e-09,1.0000e-31,7.3024e-10
69.1170,3.0657e-09,1.0000e-31,7.6772e-10
70.1110,3.3678e-09,1.0000e-31,8.6816e-10
71.1060,3.7234e-09,1.0000e-31,1.0647e-09
72.1000,4.1145e-09,1.0000e-31,1.3756e-09
73.0940,4.5546e-09,1.0000e-31,1.8733e-09
74.0890,5.0197e-09,1.0000e-31,2.5333e-09
75.0830,4.5623e-09,1.0000e-31,3.3123e-09
76.0780,3.5091e-09,1.0000e-31,4.1219e-09
77.0720,2.5067e-09,1.0000e-31,4.8746e-09
78.0670,2.6954e-09,1.0000e-31,5.6233e-09
79.0610,3.4296e-09,1.0000e-31,6.0246e-09
80.0560,4.7646e-09,1.0000e-31,6.2654e-09
81.0500,6.5006e-09,1.0000e-31,6.5182e-09
82.0440,8.1258e-09,1.0000e-31,6.2992e-09
83.0390,8.4900e-09,1.0000e-31,6.3684e-09
84.0330,9.1114e-09,1.0000e-31,5.9220e-09
85.0280,1.2413e-08,1.0000e-31,5.4379e-09
86.0220,1.0184e-08,1.0000e-31,6.0452e-09
87.0170,1.1079e-08,1.0000e-31,5.6775e-09
88.0110,1.1946e-08,1.0000e-31,4.1104e-09
89.0060,1.4233e-08,1.0000e-31,9.4113e-09
