# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11ff for E = 100.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,9.8977e-06,4.5447e-06,1.2043e-05
1.4940,9.9777e-06,4.5848e-06,1.2148e-05
2.4890,1.0064e-05,4.6308e-06,1.2270e-05
3.4830,1.0157e-05,4.6835e-06,1.2410e-05
4.4780,1.0256e-05,4.7423e-06,1.2566e-05
5.4720,1.0363e-05,4.8084e-06,1.2740e-05
6.4670,1.0475e-05,4.8809e-06,1.2933e-05
7.4610,1.0595e-05,4.9613e-06,1.3145e-05
8.4560,1.0722e-05,5.0485e-06,1.3376e-05
9.4500,1.0856e-05,5.1442e-06,1.3629e-05
10.4440,1.0997e-05,5.2482e-06,1.3902e-05
11.4390,1.1145e-05,5.3596e-06,1.4198e-05
12.4330,1.1301e-05,5.4809e-06,1.4517e-05
13.4280,1.1464e-05,5.6102e-06,1.4860e-05
14.4220,1.1634e-05,5.7504e-06,1.5229e-05
15.4170,1.1812e-05,5.8994e-06,1.5623e-05
16.4110,1.1998e-05,6.0603e-06,1.6045e-05
17.4060,1.2190e-05,6.2308e-06,1.6495e-05
18.4000,1.2391e-05,6.4144e-06,1.6977e-05
19.3940,1.2599e-05,6.6103e-06,1.7490e-05
20.3890,1.2815e-05,6.8168e-06,1.8038e-05
21.3830,1.3038e-05,7.0383e-06,1.8622e-05
22.3780,1.3269e-05,7.2711e-06,1.9245e-05
23.3720,1.3508e-05,7.5197e-06,1.9911e-05
24.3670,1.3754e-05,7.7799e-06,2.0623e-05
25.3610,1.4008e-05,8.0567e-06,2.1386e-05
26.3560,1.4269e-05,8.3453e-06,2.2204e-05
27.3500,1.4538e-05,8.6509e-06,2.3080e-05
28.3440,1.4815e-05,8.9710e-06,2.4019e-05
29.3390,1.5099e-05,9.3024e-06,2.5029e-05
30.3330,1.5391e-05,9.6506e-06,2.6116e-05
31.3280,1.5689e-05,1.0008e-05,2.7287e-05
32.3220,1.5996e-05,1.0381e-05,2.8551e-05
33.3170,1.6309e-05,1.0762e-05,2.9911e-05
34.3110,1.6629e-05,1.1160e-05,3.1370e-05
35.3060,1.6956e-05,1.1571e-05,3.2941e-05
36.3000,1.7289e-05,1.2004e-05,3.4653e-05
37.2940,1.7628e-05,1.2454e-05,3.6514e-05
38.2890,1.7973e-05,1.2919e-05,3.8542e-05
39.2830,1.8323e-05,1.3407e-05,4.0752e-05
40.2780,1.8677e-05,1.3909e-05,4.3140e-05
41.2720,1.9034e-05,1.4433e-05,4.5700e-05
42.2670,1.9392e-05,1.4967e-05,4.8422e-05
43.2610,1.9750e-05,1.5520e-05,5.1302e-05
44.2560,2.0106e-05,1.6087e-05,5.4318e-05
45.2500,2.0456e-05,1.6682e-05,5.7415e-05
46.2440,2.0798e-05,1.7315e-05,6.0508e-05
47.2390,2.1129e-05,1.7990e-05,6.3422e-05
48.2330,2.1444e-05,1.8733e-05,6.6080e-05
49.2280,2.1739e-05,1.9545e-05,6.8483e-05
50.2220,2.2011e-05,2.0450e-05,7.0543e-05
51.2170,2.2255e-05,2.1432e-05,7.2237e-05
52.2110,2.2458e-05,2.2512e-05,7.3569e-05
53.2060,2.2623e-05,2.3685e-05,7.4534e-05
54.2000,2.2754e-05,2.4973e-05,7.5274e-05
55.1940,2.2849e-05,2.6390e-05,7.6270e-05
56.1890,2.2906e-05,2.7866e-05,7.7542e-05
57.1830,2.2910e-05,2.9408e-05,7.9168e-05
58.1780,2.2898e-05,3.1085e-05,8.1939e-05
59.1720,2.2930e-05,3.2992e-05,8.6159e-05
60.1670,2.2961e-05,3.5151e-05,9.2200e-05
61.1610,2.3049e-05,3.7850e-05,1.0053e-04
62.1560,2.3205e-05,4.1093e-05,1.1027e-04
63.1500,2.3332e-05,4.4900e-05,1.2127e-04
64.1440,2.3364e-05,4.9169e-05,1.3320e-04
65.1390,2.3365e-05,5.4163e-05,1.4501e-04
66.1330,2.3339e-05,6.0085e-05,1.5518e-04
67.1280,2.3273e-05,6.6149e-05,1.6036e-04
68.1220,2.3163e-05,7.1697e-05,1.6074e-04
69.1170,2.2995e-05,7.6408e-05,1.5486e-04
70.1110,2.2754e-05,8.0197e-05,1.4219e-04
71.1060,2.2744e-05,8.2986e-05,1.2378e-04
72.1000,2.3019e-05,8.4596e-05,1.0049e-04
73.0940,2.2549e-05,8.6100e-05,7.6466e-05
74.0890,2.2092e-05,8.7607e-05,5.6618e-05
75.0830,2.2649e-05,8.3091e-05,3.9482e-05
76.0780,2.6922e-05,9.0158e-05,2.5081e-05
77.0720,2.2755e-05,7.0852e-05,2.6289e-05
78.0670,1.5860e-05,6.6350e-05,2.3295e-05
79.0610,1.1224e-05,4.7533e-05,2.2752e-05
80.0560,7.5323e-06,4.4142e-05,2.6919e-05
81.0500,3.6802e-06,4.2898e-05,3.4697e-05
82.0440,2.1781e-06,4.0864e-05,2.4235e-05
83.0390,2.1948e-06,3.6998e-05,4.2081e-07
84.0330,1.5892e-06,3.0455e-05,1.0000e-31
85.0280,7.1169e-07,2.1338e-05,1.0000e-31
86.0220,1.5650e-07,1.3120e-05,1.0000e-31
87.0170,2.1007e-09,6.8253e-06,1.0000e-31
88.0110,5.0513e-12,2.8536e-06,1.0000e-31
89.0060,1.0000e-31,5.6901e-07,1.0000e-31
