# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11g for E = 5000.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.8824e-29,1.0000e-31,1.0335e-48
1.4940,1.9066e-28,1.0000e-31,2.0058e-43
2.4890,3.4043e-28,1.0000e-31,6.0348e-41
3.4830,5.1369e-28,1.0000e-31,2.6821e-39
4.4780,7.1619e-28,1.0000e-31,4.7077e-38
5.4720,9.5323e-28,1.0000e-31,4.7654e-37
6.4670,1.2299e-27,1.0000e-31,3.3488e-36
7.4610,1.3863e-19,1.0000e-31,1.8136e-35
8.4560,1.3022e-18,1.0000e-31,8.0766e-35
9.4500,6.7653e-18,1.0000e-31,3.0878e-34
10.4440,2.6904e-17,1.0000e-31,1.0446e-33
11.4390,9.0810e-17,1.0000e-31,3.1968e-33
12.4330,2.7329e-16,1.0000e-31,9.0005e-33
13.4280,7.5459e-16,1.0000e-31,2.3619e-32
14.4220,1.9474e-15,1.0000e-31,5.8375e-32
15.4170,4.7574e-15,1.0000e-31,1.3707e-31
16.4110,1.1099e-14,1.0000e-31,3.0786e-31
17.4060,2.4859e-14,1.0000e-31,6.5187e-31
18.4000,5.3542e-14,1.0000e-31,1.3012e-30
19.3940,1.1079e-13,1.0000e-31,2.4850e-30
20.3890,2.2183e-13,1.0000e-31,4.5981e-30
21.3830,4.2591e-13,1.0000e-31,8.3002e-30
22.3780,7.7701e-13,1.0000e-31,1.4664e-29
23.3720,1.3435e-12,1.0000e-31,2.5413e-29
24.3670,2.2137e-12,1.0000e-31,5.4189e-29
25.3610,3.5071e-12,1.0000e-31,1.4259e-28
26.3560,5.3550e-12,1.0000e-31,3.1754e-28
27.3500,7.8217e-12,1.0000e-31,6.2324e-28
28.3440,1.1155e-11,1.0000e-31,1.1414e-27
29.3390,1.6177e-11,1.0000e-31,2.0051e-27
30.3330,2.0757e-11,1.0000e-31,3.4290e-27
31.3280,2.9675e-11,1.0000e-31,5.5105e-27
32.3220,3.7702e-11,1.0000e-31,5.6941e-26
33.3170,4.8304e-11,1.0000e-31,4.0591e-25
34.3110,5.6326e-11,1.0000e-31,1.1094e-24
35.3060,5.9676e-11,1.0000e-31,2.6311e-24
36.3000,6.4932e-11,1.0000e-31,8.1035e-24
37.2940,7.2001e-11,1.0000e-31,5.1702e-23
38.2890,8.1766e-11,1.0000e-31,1.9441e-22
39.2830,9.3346e-11,1.0000e-31,5.1338e-22
40.2780,1.0543e-10,1.0000e-31,1.2050e-21
41.2720,1.1934e-10,1.0000e-31,2.4845e-21
42.2670,1.4437e-10,1.0000e-31,4.5925e-21
43.2610,1.6349e-10,1.0000e-31,8.1177e-21
44.2560,1.6483e-10,1.0000e-31,1.7236e-20
45.2500,1.6292e-10,1.0000e-31,4.8993e-20
46.2440,1.6093e-10,1.0000e-31,1.1977e-19
47.2390,1.6021e-10,1.0000e-31,2.6299e-19
48.2330,1.6453e-10,1.0000e-31,5.2990e-19
49.2280,1.6945e-10,1.0000e-31,9.1471e-19
50.2220,1.7048e-10,1.0000e-31,1.6876e-18
51.2170,1.6427e-10,1.0000e-31,3.2238e-18
52.2110,1.6359e-10,1.0000e-31,6.7149e-18
53.2060,1.6998e-10,1.0000e-31,1.4792e-17
54.2000,1.7239e-10,1.0000e-31,2.8705e-17
55.1940,1.8017e-10,1.0000e-31,5.5743e-17
56.1890,1.9161e-10,1.0000e-31,1.3298e-16
57.1830,2.0623e-10,1.0000e-31,2.5865e-16
58.1780,2.2494e-10,1.0000e-31,4.9941e-16
59.1720,2.4807e-10,1.0000e-31,1.1375e-15
60.1670,2.9768e-10,1.0000e-31,3.0784e-15
61.1610,4.0010e-10,1.0000e-31,7.6376e-15
62.1560,6.7429e-10,1.0000e-31,1.9781e-14
63.1500,1.0505e-09,1.0000e-31,6.7064e-14
64.1440,1.4514e-09,1.0000e-31,2.5587e-13
65.1390,1.7953e-09,1.0000e-31,9.1534e-13
66.1330,1.9256e-09,1.0000e-31,2.8638e-12
67.1280,2.0734e-09,1.0000e-31,7.9742e-12
68.1220,2.2414e-09,1.0000e-31,1.9121e-11
69.1170,2.4228e-09,1.0000e-31,4.3295e-11
70.1110,2.6350e-09,1.0000e-31,8.8782e-11
71.1060,2.8358e-09,1.0000e-31,1.4776e-10
72.1000,2.9744e-09,1.0000e-31,2.1986e-10
73.0940,2.8866e-09,1.0000e-31,2.9941e-10
74.0890,2.5477e-09,1.0000e-31,3.6771e-10
75.0830,2.2788e-09,1.0000e-31,4.3251e-10
76.0780,2.2145e-09,1.0000e-31,4.8600e-10
77.0720,2.0022e-09,1.0000e-31,5.4166e-10
78.0670,2.4410e-09,1.0000e-31,5.8249e-10
79.0610,3.1087e-09,1.0000e-31,6.4074e-10
80.0560,3.9329e-09,1.0000e-31,7.1788e-10
81.0500,4.8874e-09,1.0000e-31,8.1318e-10
82.0440,5.9633e-09,1.0000e-31,1.0269e-09
83.0390,7.1454e-09,1.0000e-31,1.0446e-09
84.0330,7.0578e-09,1.0000e-31,1.0954e-09
85.0280,6.2010e-09,1.0000e-31,1.2638e-09
86.0220,1.1015e-08,1.0000e-31,1.5528e-09
87.0170,6.2696e-09,1.0000e-31,1.5676e-09
88.0110,8.4367e-09,1.0000e-31,1.5584e-09
89.0060,5.7485e-09,1.0000e-31,1.6562e-09
