# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11gg for E = 50.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.9322e-05,1.6250e-05,1.0837e-05
1.4940,7.9930e-05,1.6379e-05,1.0971e-05
2.4890,8.0555e-05,1.6513e-05,1.1159e-05
3.4830,8.1196e-05,1.6656e-05,1.1402e-05
4.4780,8.1854e-05,1.6805e-05,1.1705e-05
5.4720,8.2525e-05,1.6963e-05,1.2070e-05
6.4670,8.3210e-05,1.7128e-05,1.2502e-05
7.4610,8.3907e-05,1.7302e-05,1.3003e-05
8.4560,8.4612e-05,1.7483e-05,1.3581e-05
9.4500,8.5323e-05,1.7675e-05,1.4239e-05
10.4440,8.6038e-05,1.7877e-05,1.4986e-05
11.4390,8.6752e-05,1.8086e-05,1.5828e-05
12.4330,8.7461e-05,1.8307e-05,1.6773e-05
13.4280,8.8162e-05,1.8537e-05,1.7832e-05
14.4220,8.8848e-05,1.8781e-05,1.9013e-05
15.4170,8.9514e-05,1.9035e-05,2.0328e-05
16.4110,9.0154e-05,1.9303e-05,2.1788e-05
17.4060,9.0762e-05,1.9584e-05,2.3406e-05
18.4000,9.1331e-05,1.9882e-05,2.5191e-05
19.3940,9.1852e-05,2.0197e-05,2.7152e-05
20.3890,9.2319e-05,2.0527e-05,2.9292e-05
21.3830,9.2722e-05,2.0880e-05,3.1615e-05
22.3780,9.3056e-05,2.1252e-05,3.4127e-05
23.3720,9.3310e-05,2.1653e-05,3.6852e-05
24.3670,9.3477e-05,2.2080e-05,3.9808e-05
25.3610,9.3549e-05,2.2543e-05,4.2983e-05
26.3560,9.3515e-05,2.3038e-05,4.6381e-05
27.3500,9.3369e-05,2.3580e-05,5.0009e-05
28.3440,9.3103e-05,2.4169e-05,5.3881e-05
29.3390,9.2709e-05,2.4806e-05,5.8011e-05
30.3330,9.2181e-05,2.5513e-05,6.2395e-05
31.3280,9.1515e-05,2.6288e-05,6.7023e-05
32.3220,9.0704e-05,2.7157e-05,7.1886e-05
33.3170,8.9749e-05,2.8115e-05,7.6976e-05
34.3110,8.8643e-05,2.9188e-05,8.2272e-05
35.3060,8.7386e-05,3.0350e-05,8.7746e-05
36.3000,8.5977e-05,3.1629e-05,9.3343e-05
37.2940,8.4420e-05,3.3029e-05,9.9006e-05
38.2890,8.2715e-05,3.4552e-05,1.0472e-04
39.2830,8.0869e-05,3.6238e-05,1.1049e-04
40.2780,7.8885e-05,3.8051e-05,1.1635e-04
41.2720,7.6772e-05,4.0011e-05,1.2232e-04
42.2670,7.4539e-05,4.2093e-05,1.2846e-04
43.2610,7.2200e-05,4.4361e-05,1.3482e-04
44.2560,6.9771e-05,4.6823e-05,1.4117e-04
45.2500,6.7291e-05,4.9582e-05,1.4748e-04
46.2440,6.4771e-05,5.2654e-05,1.5382e-04
47.2390,6.2254e-05,5.6046e-05,1.6031e-04
48.2330,5.9757e-05,5.9851e-05,1.6711e-04
49.2280,5.7314e-05,6.4034e-05,1.7418e-04
50.2220,5.4973e-05,6.8704e-05,1.8126e-04
51.2170,5.2791e-05,7.3742e-05,1.8837e-04
52.2110,5.0824e-05,7.9079e-05,1.9517e-04
53.2060,4.9122e-05,8.4608e-05,2.0219e-04
54.2000,4.7727e-05,9.0430e-05,2.0955e-04
55.1940,4.6712e-05,9.6498e-05,2.1649e-04
56.1890,4.6251e-05,1.0267e-04,2.2297e-04
57.1830,4.6314e-05,1.0902e-04,2.3063e-04
58.1780,4.6596e-05,1.1558e-04,2.3873e-04
59.1720,4.7278e-05,1.2242e-04,2.4703e-04
60.1670,4.8440e-05,1.2912e-04,2.5598e-04
61.1610,4.9858e-05,1.3581e-04,2.6654e-04
62.1560,5.1709e-05,1.4226e-04,2.7662e-04
63.1500,5.3933e-05,1.4852e-04,2.9146e-04
64.1440,5.6246e-05,1.5485e-04,3.1163e-04
65.1390,5.8987e-05,1.6116e-04,3.3475e-04
66.1330,6.1695e-05,1.6767e-04,3.3240e-04
67.1280,6.4384e-05,1.7593e-04,3.4307e-04
68.1220,6.7895e-05,1.8630e-04,3.5479e-04
69.1170,6.8153e-05,1.9733e-04,3.4749e-04
70.1110,6.9145e-05,2.1191e-04,3.3245e-04
71.1060,6.9840e-05,2.2807e-04,3.4441e-04
72.1000,6.9129e-05,2.4250e-04,3.3744e-04
73.0940,6.6239e-05,2.6301e-04,3.3605e-04
74.0890,6.2485e-05,2.7273e-04,3.2261e-04
75.0830,6.0129e-05,2.7234e-04,2.9300e-04
76.0780,5.4477e-05,2.7438e-04,2.5967e-04
77.0720,4.5556e-05,2.7137e-04,2.1861e-04
78.0670,3.3216e-05,2.6163e-04,1.7994e-04
79.0610,2.1047e-05,2.4785e-04,1.3145e-04
80.0560,1.2370e-05,2.2919e-04,8.0125e-05
81.0500,6.3286e-06,2.0269e-04,6.5505e-05
82.0440,2.5923e-06,1.7354e-04,5.4167e-05
83.0390,4.9002e-07,1.4220e-04,4.5477e-05
84.0330,4.9281e-08,1.0787e-04,3.5719e-05
85.0280,6.2360e-15,7.3011e-05,2.5727e-05
86.0220,3.4999e-15,4.0599e-05,1.6010e-05
87.0170,1.0000e-31,1.7641e-05,9.2432e-06
88.0110,1.0000e-31,8.0229e-06,2.7243e-06
89.0060,1.0000e-31,2.7791e-06,6.3072e-07
