# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11h for E = 5000.0 keV, L* = 4.0, MLT = 22.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.3785e-27,7.6281e-09,6.0141e-21
1.4940,1.7755e-23,7.7028e-09,5.0019e-19
2.4890,6.7443e-22,7.7943e-09,4.1371e-18
3.4830,7.9458e-21,7.9041e-09,1.7531e-17
4.4780,5.3579e-20,8.0299e-09,5.4044e-17
5.4720,2.6123e-19,8.1730e-09,1.3844e-16
6.4670,1.0308e-18,8.3294e-09,3.1412e-16
7.4610,3.5035e-18,8.4995e-09,6.5394e-16
8.4560,1.0649e-17,8.6771e-09,1.2763e-15
9.4500,2.9668e-17,8.8598e-09,2.3742e-15
10.4440,7.7034e-17,9.0376e-09,4.2571e-15
11.4390,1.8871e-16,9.1961e-09,7.4148e-15
12.4330,4.4015e-16,9.3161e-09,1.2622e-14
13.4280,9.8439e-16,9.3699e-09,2.1104e-14
14.4220,2.1231e-15,9.3642e-09,3.4806e-14
15.4170,4.4355e-15,9.2744e-09,5.6832e-14
16.4110,9.0092e-15,9.0486e-09,9.2141e-14
17.4060,1.7840e-14,8.6626e-09,1.4864e-13
18.4000,3.4511e-14,8.1953e-09,2.3884e-13
19.3940,6.5290e-14,7.6211e-09,3.8218e-13
20.3890,1.2082e-13,6.9711e-09,6.0818e-13
21.3830,2.1934e-13,6.3050e-09,9.6064e-13
22.3780,3.9268e-13,5.6594e-09,1.5028e-12
23.3720,6.8982e-13,5.0179e-09,2.3264e-12
24.3670,1.1837e-12,4.4081e-09,3.5628e-12
25.3610,1.9776e-12,3.8659e-09,5.3955e-12
26.3560,3.2095e-12,3.6471e-09,8.0653e-12
27.3500,5.0590e-12,3.6990e-09,1.1852e-11
28.3440,7.7576e-12,3.7136e-09,1.7028e-11
29.3390,1.1597e-11,3.6802e-09,2.3746e-11
30.3330,1.6908e-11,3.5901e-09,3.1907e-11
31.3280,2.4049e-11,3.5392e-09,4.1069e-11
32.3220,3.3380e-11,3.5485e-09,5.0767e-11
33.3170,4.5480e-11,3.6161e-09,6.0503e-11
34.3110,6.2076e-11,3.7924e-09,7.0183e-11
35.3060,8.6430e-11,4.1232e-09,8.0760e-11
36.3000,1.1905e-10,4.5247e-09,9.4837e-11
37.2940,1.5440e-10,5.0445e-09,1.1679e-10
38.2890,2.0884e-10,5.6547e-09,1.5191e-10
39.2830,3.0719e-10,6.3692e-09,2.0482e-10
40.2780,3.9403e-10,7.0840e-09,2.8037e-10
41.2720,5.4140e-10,7.7984e-09,3.8804e-10
42.2670,7.0342e-10,8.4414e-09,5.4619e-10
43.2610,9.0352e-10,9.0864e-09,7.9199e-10
44.2560,1.1206e-09,9.6773e-09,1.1970e-09
45.2500,1.3674e-09,1.0288e-08,1.8744e-09
46.2440,1.6523e-09,1.0966e-08,2.9426e-09
47.2390,1.9809e-09,1.1738e-08,4.5802e-09
48.2330,2.4776e-09,1.2599e-08,7.0494e-09
49.2280,2.9591e-09,1.3643e-08,1.0649e-08
50.2220,3.5941e-09,1.4914e-08,1.5748e-08
51.2170,4.6217e-09,1.6435e-08,2.2851e-08
52.2110,6.0371e-09,1.8079e-08,3.2191e-08
53.2060,7.5790e-09,2.0499e-08,4.4376e-08
54.2000,9.0941e-09,2.3572e-08,5.9826e-08
55.1940,1.0888e-08,2.7587e-08,7.8991e-08
56.1890,1.3748e-08,3.2716e-08,1.0226e-07
57.1830,1.7304e-08,3.9471e-08,1.3016e-07
58.1780,2.1329e-08,4.7596e-08,1.6093e-07
59.1720,2.6510e-08,5.7407e-08,1.9597e-07
60.1670,3.3033e-08,6.8074e-08,2.2963e-07
61.1610,3.9280e-08,8.0240e-08,2.7138e-07
62.1560,4.8797e-08,9.3955e-08,2.9901e-07
63.1500,5.5969e-08,1.0743e-07,3.3732e-07
64.1440,6.6437e-08,1.1878e-07,3.4970e-07
65.1390,7.3636e-08,1.2981e-07,3.5699e-07
66.1330,8.0189e-08,1.3466e-07,3.4793e-07
67.1280,8.6305e-08,1.4111e-07,3.4269e-07
68.1220,9.1614e-08,1.4710e-07,3.6847e-07
69.1170,9.9653e-08,1.5723e-07,3.7928e-07
70.1110,1.0980e-07,1.7182e-07,4.4007e-07
71.1060,1.2208e-07,1.9120e-07,5.2783e-07
72.1000,1.3503e-07,2.0898e-07,6.4471e-07
73.0940,1.4139e-07,2.3420e-07,7.6982e-07
74.0890,1.5462e-07,2.6373e-07,8.8298e-07
75.0830,1.6201e-07,2.6729e-07,9.6786e-07
76.0780,1.6467e-07,3.1154e-07,1.0409e-06
77.0720,1.6590e-07,2.7960e-07,1.0255e-06
78.0670,1.7555e-07,3.3983e-07,9.5105e-07
79.0610,2.2420e-07,2.8705e-07,8.3253e-07
80.0560,1.4415e-07,3.1464e-07,6.5356e-07
81.0500,2.6044e-07,2.8623e-07,4.7857e-07
82.0440,1.5974e-07,2.9566e-07,2.7842e-07
83.0390,2.3127e-07,3.3534e-07,8.5624e-08
84.0330,2.5274e-07,3.1849e-07,1.0000e-31
85.0280,2.4913e-07,3.5466e-07,1.0000e-31
86.0220,2.3524e-07,4.1143e-07,1.0000e-31
87.0170,2.5925e-07,5.1373e-07,1.0000e-31
88.0110,2.9378e-07,5.6686e-07,1.0000e-31
89.0060,2.7483e-07,4.2251e-07,1.0000e-31
