# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11i for E = 1000.0 keV, L* = 4.0, MLT = 1.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.1822e-10,2.8512e-06,8.5370e-06
1.4940,2.6825e-10,2.8744e-06,8.6108e-06
2.4890,3.6860e-10,2.8993e-06,8.6949e-06
3.4830,5.2236e-10,2.9264e-06,8.7895e-06
4.4780,7.3373e-10,2.9551e-06,8.8951e-06
5.4720,1.0081e-09,2.9861e-06,9.0118e-06
6.4670,1.3521e-09,3.0187e-06,9.1399e-06
7.4610,1.7740e-09,3.0535e-06,9.2798e-06
8.4560,2.2835e-09,3.0898e-06,9.4318e-06
9.4500,2.8921e-09,3.1282e-06,9.5964e-06
10.4440,3.6134e-09,3.1682e-06,9.7738e-06
11.4390,4.4633e-09,3.2094e-06,9.9647e-06
12.4330,5.4602e-09,3.2522e-06,1.0169e-05
13.4280,6.6255e-09,3.2958e-06,1.0388e-05
14.4220,7.9836e-09,3.3405e-06,1.0622e-05
15.4170,9.5629e-09,3.3855e-06,1.0871e-05
16.4110,1.1396e-08,3.4316e-06,1.1136e-05
17.4060,1.3519e-08,3.4778e-06,1.1418e-05
18.4000,1.5975e-08,3.5248e-06,1.1718e-05
19.3940,1.8811e-08,3.5717e-06,1.2036e-05
20.3890,2.2082e-08,3.6177e-06,1.2373e-05
21.3830,2.5849e-08,3.6631e-06,1.2731e-05
22.3780,3.0185e-08,3.7067e-06,1.3111e-05
23.3720,3.5172e-08,3.7485e-06,1.3513e-05
24.3670,4.0911e-08,3.7872e-06,1.3941e-05
25.3610,4.7522e-08,3.8230e-06,1.4395e-05
26.3560,5.5165e-08,3.8544e-06,1.4877e-05
27.3500,6.4041e-08,3.8811e-06,1.5390e-05
28.3440,7.4397e-08,3.9016e-06,1.5934e-05
29.3390,8.6583e-08,3.9147e-06,1.6513e-05
30.3330,1.0112e-07,3.9213e-06,1.7127e-05
31.3280,1.1893e-07,3.9215e-06,1.7778e-05
32.3220,1.4199e-07,3.9152e-06,1.8467e-05
33.3170,1.7375e-07,3.9037e-06,1.9195e-05
34.3110,2.1219e-07,3.8859e-06,1.9961e-05
35.3060,2.5713e-07,3.8559e-06,2.0756e-05
36.3000,3.0943e-07,3.8139e-06,2.1557e-05
37.2940,3.6980e-07,3.7591e-06,2.2351e-05
38.2890,4.3861e-07,3.6922e-06,2.3126e-05
39.2830,5.1548e-07,3.6142e-06,2.3869e-05
40.2780,5.9896e-07,3.5244e-06,2.4555e-05
41.2720,6.8776e-07,3.4222e-06,2.5166e-05
42.2670,7.8363e-07,3.3190e-06,2.5680e-05
43.2610,8.7926e-07,3.2137e-06,2.6065e-05
44.2560,9.8654e-07,3.1037e-06,2.6303e-05
45.2500,1.1084e-06,2.9982e-06,2.6348e-05
46.2440,1.2488e-06,2.9004e-06,2.6133e-05
47.2390,1.4157e-06,2.8092e-06,2.5551e-05
48.2330,1.6026e-06,2.7205e-06,2.4559e-05
49.2280,1.8083e-06,2.6466e-06,2.3071e-05
50.2220,2.0226e-06,2.5983e-06,2.1013e-05
51.2170,2.2596e-06,2.5927e-06,1.8405e-05
52.2110,2.5426e-06,2.6420e-06,1.5553e-05
53.2060,2.8981e-06,2.6674e-06,1.2705e-05
54.2000,3.3382e-06,2.7337e-06,1.0032e-05
55.1940,3.8091e-06,2.8142e-06,7.7396e-06
56.1890,4.2551e-06,2.9065e-06,5.8866e-06
57.1830,4.7238e-06,3.0166e-06,4.4824e-06
58.1780,5.2471e-06,3.1415e-06,3.5596e-06
59.1720,5.8173e-06,3.2920e-06,3.1313e-06
60.1670,6.4017e-06,3.4691e-06,3.0318e-06
61.1610,6.9151e-06,3.6967e-06,3.0229e-06
62.1560,7.2981e-06,3.9608e-06,3.0996e-06
63.1500,7.9520e-06,4.2950e-06,3.3343e-06
64.1440,8.3751e-06,4.5539e-06,3.6925e-06
65.1390,8.3175e-06,4.9250e-06,4.1255e-06
66.1330,8.2074e-06,5.4358e-06,4.6974e-06
67.1280,8.5112e-06,5.9771e-06,5.6013e-06
68.1220,8.8195e-06,6.6139e-06,6.7124e-06
69.1170,9.0474e-06,7.3642e-06,8.1618e-06
70.1110,9.1416e-06,8.1814e-06,9.2760e-06
71.1060,9.0869e-06,8.9530e-06,9.7780e-06
72.1000,8.9391e-06,9.8131e-06,1.0270e-05
73.0940,8.8874e-06,1.0518e-05,1.0425e-05
74.0890,8.5069e-06,1.1636e-05,1.4351e-05
75.0830,6.7459e-06,1.2038e-05,1.8683e-05
76.0780,6.9558e-06,1.2812e-05,2.1495e-05
77.0720,7.1570e-06,1.3560e-05,2.3548e-05
78.0670,8.1064e-06,1.3988e-05,1.9245e-05
79.0610,1.0289e-05,1.5337e-05,1.5638e-05
80.0560,1.5205e-05,2.4979e-05,1.0814e-05
81.0500,8.9080e-06,1.4152e-05,1.0010e-05
82.0440,7.1816e-06,1.5855e-05,9.2844e-06
83.0390,5.9837e-06,1.3109e-05,6.4364e-06
84.0330,5.4254e-06,1.1448e-05,3.7324e-06
85.0280,6.4744e-06,1.3639e-05,3.9312e-06
86.0220,9.6242e-06,1.8376e-05,4.5298e-06
87.0170,9.0420e-06,2.0503e-05,7.2628e-06
88.0110,9.2364e-06,1.8081e-05,5.3584e-06
89.0060,7.7758e-06,1.8024e-05,3.9763e-06
