# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11ii for E = 50.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.9652e-05,1.8940e-05,3.8977e-04
1.4940,1.9808e-05,1.9098e-05,3.9289e-04
2.4890,1.9973e-05,1.9272e-05,3.9624e-04
3.4830,2.0149e-05,1.9464e-05,3.9980e-04
4.4780,2.0335e-05,1.9671e-05,4.0360e-04
5.4720,2.0532e-05,1.9898e-05,4.0762e-04
6.4670,2.0739e-05,2.0141e-05,4.1187e-04
7.4610,2.0957e-05,2.0405e-05,4.1634e-04
8.4560,2.1187e-05,2.0686e-05,4.2103e-04
9.4500,2.1428e-05,2.0988e-05,4.2594e-04
10.4440,2.1681e-05,2.1309e-05,4.3107e-04
11.4390,2.1947e-05,2.1649e-05,4.3641e-04
12.4330,2.2225e-05,2.2012e-05,4.4199e-04
13.4280,2.2517e-05,2.2392e-05,4.4779e-04
14.4220,2.2822e-05,2.2798e-05,4.5385e-04
15.4170,2.3141e-05,2.3223e-05,4.6014e-04
16.4110,2.3474e-05,2.3675e-05,4.6667e-04
17.4060,2.3823e-05,2.4147e-05,4.7346e-04
18.4000,2.4187e-05,2.4649e-05,4.8048e-04
19.3940,2.4567e-05,2.5177e-05,4.8774e-04
20.3890,2.4964e-05,2.5730e-05,4.9523e-04
21.3830,2.5378e-05,2.6315e-05,5.0295e-04
22.3780,2.5810e-05,2.6925e-05,5.1090e-04
23.3720,2.6261e-05,2.7569e-05,5.1905e-04
24.3670,2.6732e-05,2.8236e-05,5.2739e-04
25.3610,2.7225e-05,2.8932e-05,5.3594e-04
26.3560,2.7740e-05,2.9644e-05,5.4467e-04
27.3500,2.8280e-05,3.0382e-05,5.5361e-04
28.3440,2.8847e-05,3.1138e-05,5.6275e-04
29.3390,2.9444e-05,3.1902e-05,5.7202e-04
30.3330,3.0073e-05,3.2688e-05,5.8129e-04
31.3280,3.0741e-05,3.3477e-05,5.9045e-04
32.3220,3.1452e-05,3.4278e-05,5.9938e-04
33.3170,3.2213e-05,3.5074e-05,6.0792e-04
34.3110,3.3034e-05,3.5878e-05,6.1582e-04
35.3060,3.3923e-05,3.6675e-05,6.2267e-04
36.3000,3.4894e-05,3.7471e-05,6.2792e-04
37.2940,3.5962e-05,3.8262e-05,6.3108e-04
38.2890,3.7141e-05,3.9034e-05,6.3264e-04
39.2830,3.8444e-05,3.9811e-05,6.3355e-04
40.2780,3.9886e-05,4.0576e-05,6.3387e-04
41.2720,4.1524e-05,4.1367e-05,6.3356e-04
42.2670,4.3379e-05,4.2195e-05,6.3253e-04
43.2610,4.5468e-05,4.3069e-05,6.3066e-04
44.2560,4.7804e-05,4.3975e-05,6.2787e-04
45.2500,5.0393e-05,4.4906e-05,6.2420e-04
46.2440,5.3228e-05,4.5829e-05,6.1959e-04
47.2390,5.6290e-05,4.6733e-05,6.1390e-04
48.2330,5.9328e-05,4.7659e-05,6.0683e-04
49.2280,6.2432e-05,4.8598e-05,5.9823e-04
50.2220,6.5497e-05,4.9582e-05,5.8782e-04
51.2170,6.8385e-05,5.0590e-05,5.7506e-04
52.2110,7.0907e-05,5.1649e-05,5.5980e-04
53.2060,7.2901e-05,5.2790e-05,5.4254e-04
54.2000,7.4220e-05,5.4062e-05,5.2347e-04
55.1940,7.4753e-05,5.5414e-05,5.0259e-04
56.1890,7.4428e-05,5.6811e-05,4.7983e-04
57.1830,7.3195e-05,5.8253e-05,4.5534e-04
58.1780,7.1109e-05,5.9675e-05,4.2877e-04
59.1720,6.8268e-05,6.0986e-05,3.9985e-04
60.1670,6.5009e-05,6.2170e-05,3.6774e-04
61.1610,6.1296e-05,6.3207e-05,3.3273e-04
62.1560,5.7174e-05,6.3920e-05,2.9498e-04
63.1500,5.2837e-05,6.4363e-05,2.5533e-04
64.1440,4.8455e-05,6.4539e-05,2.1583e-04
65.1390,4.3434e-05,6.4324e-05,1.7641e-04
66.1330,3.9241e-05,6.3850e-05,1.4362e-04
67.1280,3.5959e-05,6.3693e-05,1.1213e-04
68.1220,3.3484e-05,6.3895e-05,8.1708e-05
69.1170,3.1807e-05,6.4814e-05,5.3627e-05
70.1110,2.7596e-05,6.6561e-05,3.3834e-05
71.1060,2.6755e-05,6.9832e-05,3.2562e-05
72.1000,2.8791e-05,7.1248e-05,3.5607e-05
73.0940,3.1424e-05,7.3661e-05,3.6821e-05
74.0890,3.5544e-05,7.4412e-05,3.8745e-05
75.0830,3.5563e-05,7.1184e-05,5.3336e-05
76.0780,3.0455e-05,6.9297e-05,6.8207e-05
77.0720,2.9096e-05,6.6676e-05,8.1444e-05
78.0670,3.0862e-05,6.2780e-05,1.2525e-04
79.0610,3.2416e-05,5.6881e-05,1.3210e-04
80.0560,2.8822e-05,4.8682e-05,1.0512e-04
81.0500,2.2453e-05,3.8875e-05,6.1878e-05
82.0440,1.1510e-05,2.9173e-05,2.3222e-05
83.0390,5.1085e-06,2.0769e-05,5.3299e-06
84.0330,1.5713e-06,1.3935e-05,4.3990e-07
85.0280,9.7695e-08,9.1314e-06,7.3537e-07
86.0220,2.0263e-14,4.9334e-06,1.7119e-06
87.0170,5.0359e-15,2.1662e-06,3.3692e-06
88.0110,1.0000e-31,1.1175e-06,2.2630e-06
89.0060,1.0000e-31,5.2811e-07,2.8419e-08
