# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11j for E = 1000.0 keV, L* = 4.0, MLT = 4.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.0505e-10,1.0827e-06,1.0000e-31
1.4940,3.2477e-10,1.0924e-06,1.0000e-31
2.4890,3.6262e-10,1.1036e-06,1.0000e-31
3.4830,4.1968e-10,1.1165e-06,1.0000e-31
4.4780,4.9740e-10,1.1310e-06,1.0000e-31
5.4720,5.9765e-10,1.1474e-06,1.0000e-31
6.4670,7.2274e-10,1.1655e-06,1.0000e-31
7.4610,8.7549e-10,1.1855e-06,1.0000e-31
8.4560,1.0592e-09,1.2073e-06,1.0000e-31
9.4500,1.2780e-09,1.2313e-06,1.0000e-31
10.4440,1.5364e-09,1.2575e-06,1.0000e-31
11.4390,1.8400e-09,1.2858e-06,1.0000e-31
12.4330,2.1954e-09,1.3167e-06,1.0000e-31
13.4280,2.6104e-09,1.3493e-06,1.0000e-31
14.4220,3.0947e-09,1.3833e-06,1.0000e-31
15.4170,3.6606e-09,1.4175e-06,1.0000e-31
16.4110,4.3247e-09,1.4542e-06,1.0000e-31
17.4060,5.1105e-09,1.4929e-06,1.0000e-31
18.4000,6.0508e-09,1.5343e-06,1.0000e-31
19.3940,7.1504e-09,1.5784e-06,1.0000e-31
20.3890,8.4243e-09,1.6249e-06,1.0000e-31
21.3830,9.9019e-09,1.6751e-06,1.0000e-31
22.3780,1.1618e-08,1.7283e-06,1.0000e-31
23.3720,1.3612e-08,1.7859e-06,1.0000e-31
24.3670,1.5920e-08,1.8473e-06,1.0000e-31
25.3610,1.8578e-08,1.9143e-06,1.0000e-31
26.3560,2.1611e-08,1.9862e-06,1.0000e-31
27.3500,2.5019e-08,2.0652e-06,1.0000e-31
28.3440,2.8758e-08,2.1513e-06,1.0000e-31
29.3390,3.2726e-08,2.2448e-06,1.0000e-31
30.3330,3.6806e-08,2.3483e-06,1.0000e-31
31.3280,4.0950e-08,2.4612e-06,1.0000e-31
32.3220,4.5483e-08,2.5867e-06,1.0000e-31
33.3170,5.0789e-08,2.7242e-06,1.0000e-31
34.3110,5.7606e-08,2.8781e-06,1.0000e-31
35.3060,6.7593e-08,3.0477e-06,1.0000e-31
36.3000,8.1221e-08,3.2375e-06,1.0000e-31
37.2940,9.8156e-08,3.4479e-06,1.0000e-31
38.2890,1.1898e-07,3.6780e-06,1.0000e-31
39.2830,1.4390e-07,3.9377e-06,1.0000e-31
40.2780,1.7186e-07,4.2286e-06,1.0000e-31
41.2720,2.0052e-07,4.5596e-06,1.0000e-31
42.2670,2.2934e-07,4.9288e-06,1.0000e-31
43.2610,2.5928e-07,5.3479e-06,1.0000e-31
44.2560,2.9588e-07,5.8112e-06,1.0000e-31
45.2500,3.4074e-07,6.3260e-06,1.0000e-31
46.2440,3.9509e-07,6.8916e-06,1.0000e-31
47.2390,4.6044e-07,7.5022e-06,1.0000e-31
48.2330,5.3914e-07,8.1583e-06,1.0000e-31
49.2280,6.3347e-07,8.8436e-06,1.0000e-31
50.2220,7.4440e-07,9.5843e-06,1.0000e-31
51.2170,8.6862e-07,1.0439e-05,1.0000e-31
52.2110,1.0072e-06,1.1472e-05,1.0000e-31
53.2060,1.1585e-06,1.2466e-05,1.0000e-31
54.2000,1.3457e-06,1.3321e-05,1.0000e-31
55.1940,1.5648e-06,1.4162e-05,1.0000e-31
56.1890,1.8218e-06,1.5052e-05,1.0000e-31
57.1830,2.0997e-06,1.5992e-05,1.0000e-31
58.1780,2.3964e-06,1.6937e-05,1.0000e-31
59.1720,2.6882e-06,1.7849e-05,1.0000e-31
60.1670,2.9812e-06,1.8676e-05,1.0000e-31
61.1610,3.3065e-06,1.9412e-05,1.0000e-31
62.1560,3.6711e-06,2.0128e-05,1.0000e-31
63.1500,4.0793e-06,2.1055e-05,1.0000e-31
64.1440,4.6091e-06,2.2116e-05,1.0000e-31
65.1390,4.9892e-06,2.2373e-05,1.0000e-31
66.1330,5.3240e-06,2.2073e-05,1.0000e-31
67.1280,5.6605e-06,2.1690e-05,1.0000e-31
68.1220,6.0731e-06,2.1422e-05,1.0000e-31
69.1170,6.8291e-06,2.1176e-05,1.0000e-31
70.1110,7.4341e-06,2.1100e-05,1.0000e-31
71.1060,7.9688e-06,2.1362e-05,1.0000e-31
72.1000,8.2589e-06,2.1784e-05,1.0000e-31
73.0940,8.3885e-06,2.1411e-05,1.0000e-31
74.0890,8.6315e-06,1.7402e-05,1.0000e-31
75.0830,1.0240e-05,1.5253e-05,1.0000e-31
76.0780,9.3258e-06,1.2963e-05,1.0000e-31
77.0720,8.8667e-06,1.2328e-05,1.0000e-31
78.0670,9.3845e-06,1.3389e-05,1.0000e-31
79.0610,1.0670e-05,2.0049e-05,1.0000e-31
80.0560,1.3561e-05,1.3565e-05,1.0000e-31
81.0500,2.9865e-05,1.6069e-05,1.0000e-31
82.0440,1.1640e-05,1.4641e-05,1.0000e-31
83.0390,9.5484e-06,1.2229e-05,1.0000e-31
84.0330,8.2169e-06,1.3769e-05,1.0000e-31
85.0280,8.5830e-06,1.7699e-05,1.0000e-31
86.0220,1.5809e-05,2.2459e-05,1.0000e-31
87.0170,1.3966e-05,2.0136e-05,1.0000e-31
88.0110,1.3483e-05,1.3679e-05,1.0000e-31
89.0060,1.1095e-05,1.2355e-05,1.0000e-31
