# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11jj for E = 50.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.3351e-05,2.5242e-05,5.7651e-05
1.4940,3.3592e-05,2.5420e-05,5.8093e-05
2.4890,3.3826e-05,2.5584e-05,5.8548e-05
3.4830,3.4052e-05,2.5739e-05,5.9017e-05
4.4780,3.4269e-05,2.5881e-05,5.9498e-05
5.4720,3.4479e-05,2.6011e-05,5.9991e-05
6.4670,3.4679e-05,2.6128e-05,6.0498e-05
7.4610,3.4871e-05,2.6233e-05,6.1017e-05
8.4560,3.5054e-05,2.6324e-05,6.1548e-05
9.4500,3.5227e-05,2.6403e-05,6.2090e-05
10.4440,3.5390e-05,2.6467e-05,6.2643e-05
11.4390,3.5542e-05,2.6518e-05,6.3208e-05
12.4330,3.5684e-05,2.6555e-05,6.3784e-05
13.4280,3.5816e-05,2.6578e-05,6.4373e-05
14.4220,3.5936e-05,2.6586e-05,6.4976e-05
15.4170,3.6045e-05,2.6581e-05,6.5592e-05
16.4110,3.6142e-05,2.6561e-05,6.6222e-05
17.4060,3.6226e-05,2.6527e-05,6.6864e-05
18.4000,3.6299e-05,2.6478e-05,6.7515e-05
19.3940,3.6359e-05,2.6414e-05,6.8172e-05
20.3890,3.6405e-05,2.6335e-05,6.8838e-05
21.3830,3.6438e-05,2.6241e-05,6.9519e-05
22.3780,3.6457e-05,2.6130e-05,7.0222e-05
23.3720,3.6462e-05,2.6003e-05,7.0936e-05
24.3670,3.6454e-05,2.5861e-05,7.1651e-05
25.3610,3.6432e-05,2.5698e-05,7.2363e-05
26.3560,3.6395e-05,2.5521e-05,7.3074e-05
27.3500,3.6344e-05,2.5325e-05,7.3785e-05
28.3440,3.6278e-05,2.5115e-05,7.4496e-05
29.3390,3.6197e-05,2.4897e-05,7.5212e-05
30.3330,3.6100e-05,2.4668e-05,7.5922e-05
31.3280,3.5988e-05,2.4430e-05,7.6601e-05
32.3220,3.5861e-05,2.4180e-05,7.7242e-05
33.3170,3.5718e-05,2.3920e-05,7.7854e-05
34.3110,3.5559e-05,2.3651e-05,7.8436e-05
35.3060,3.5382e-05,2.3379e-05,7.8999e-05
36.3000,3.5185e-05,2.3102e-05,7.9480e-05
37.2940,3.4967e-05,2.2829e-05,7.9936e-05
38.2890,3.4723e-05,2.2570e-05,8.0385e-05
39.2830,3.4452e-05,2.2316e-05,8.0835e-05
40.2780,3.4160e-05,2.2072e-05,8.1308e-05
41.2720,3.3835e-05,2.1839e-05,8.1788e-05
42.2670,3.3478e-05,2.1621e-05,8.2288e-05
43.2610,3.3086e-05,2.1424e-05,8.2784e-05
44.2560,3.2658e-05,2.1251e-05,8.3168e-05
45.2500,3.2189e-05,2.1118e-05,8.3433e-05
46.2440,3.1679e-05,2.1011e-05,8.3510e-05
47.2390,3.1116e-05,2.0910e-05,8.3365e-05
48.2330,3.0488e-05,2.0815e-05,8.3008e-05
49.2280,2.9800e-05,2.0713e-05,8.2378e-05
50.2220,2.9064e-05,2.0612e-05,8.1376e-05
51.2170,2.8309e-05,2.0547e-05,8.0028e-05
52.2110,2.7520e-05,2.0526e-05,7.8141e-05
53.2060,2.6685e-05,2.0510e-05,7.6017e-05
54.2000,2.5794e-05,2.0481e-05,7.3707e-05
55.1940,2.4896e-05,2.0440e-05,7.1231e-05
56.1890,2.4005e-05,2.0369e-05,6.8560e-05
57.1830,2.3120e-05,2.0248e-05,6.5448e-05
58.1780,2.2225e-05,2.0086e-05,6.1812e-05
59.1720,2.1253e-05,1.9838e-05,5.7706e-05
60.1670,2.0160e-05,1.9451e-05,5.3138e-05
61.1610,1.9163e-05,1.9002e-05,4.7986e-05
62.1560,1.8235e-05,1.8504e-05,4.2743e-05
63.1500,1.7282e-05,1.7961e-05,3.7648e-05
64.1440,1.6213e-05,1.7424e-05,3.3043e-05
65.1390,1.5101e-05,1.6918e-05,2.9149e-05
66.1330,1.4060e-05,1.6380e-05,2.5740e-05
67.1280,1.3117e-05,1.5876e-05,2.2700e-05
68.1220,1.2396e-05,1.5435e-05,1.9890e-05
69.1170,1.1630e-05,1.5268e-05,1.7490e-05
70.1110,9.7414e-06,1.5132e-05,1.5499e-05
71.1060,8.6852e-06,1.5537e-05,1.4186e-05
72.1000,7.9494e-06,1.6571e-05,1.3617e-05
73.0940,7.5790e-06,1.7818e-05,1.3609e-05
74.0890,9.1057e-06,1.9475e-05,1.4443e-05
75.0830,6.5256e-06,2.1982e-05,1.4399e-05
76.0780,5.6753e-06,2.1482e-05,1.4508e-05
77.0720,5.2150e-06,2.1399e-05,1.5946e-05
78.0670,4.8483e-06,2.0973e-05,1.6061e-05
79.0610,4.3595e-06,2.0084e-05,1.4846e-05
80.0560,3.6999e-06,1.8764e-05,1.3513e-05
81.0500,2.8318e-06,1.6828e-05,1.2138e-05
82.0440,1.4660e-06,1.4287e-05,1.0645e-05
83.0390,7.4085e-07,1.1621e-05,9.3930e-06
84.0330,2.6649e-07,8.7995e-06,8.7678e-06
85.0280,1.0684e-08,5.8899e-06,6.7306e-06
86.0220,5.2938e-15,3.2910e-06,6.2970e-06
87.0170,1.4229e-15,1.5399e-06,4.6501e-06
88.0110,1.0000e-31,1.0089e-06,3.2141e-06
89.0060,1.0000e-31,5.8269e-07,7.2520e-07
