# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11k for E = 1000.0 keV, L* = 4.0, MLT = 7.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.7669e-09,2.8171e-07,3.3261e-07
1.4940,1.9224e-09,2.8435e-07,3.3649e-07
2.4890,2.2253e-09,2.8751e-07,3.4181e-07
3.4830,2.6833e-09,2.9125e-07,3.4865e-07
4.4780,3.3069e-09,2.9551e-07,3.5710e-07
5.4720,4.1088e-09,3.0039e-07,3.6727e-07
6.4670,5.1047e-09,3.0580e-07,3.7930e-07
7.4610,6.3127e-09,3.1184e-07,3.9334e-07
8.4560,7.7542e-09,3.1840e-07,4.0962e-07
9.4500,9.4529e-09,3.2558e-07,4.2834e-07
10.4440,1.1436e-08,3.3327e-07,4.4979e-07
11.4390,1.3731e-08,3.4128e-07,4.7431e-07
12.4330,1.6370e-08,3.4937e-07,5.0230e-07
13.4280,1.9384e-08,3.5783e-07,5.3421e-07
14.4220,2.2801e-08,3.6701e-07,5.7058e-07
15.4170,2.6639e-08,3.7679e-07,6.1205e-07
16.4110,3.0904e-08,3.8736e-07,6.5929e-07
17.4060,3.5573e-08,3.9854e-07,7.1307e-07
18.4000,4.0585e-08,4.1058e-07,7.7429e-07
19.3940,4.5841e-08,4.2342e-07,8.4394e-07
20.3890,5.1264e-08,4.3695e-07,9.2317e-07
21.3830,5.6887e-08,4.5144e-07,1.0133e-06
22.3780,6.3067e-08,4.6672e-07,1.1161e-06
23.3720,7.0899e-08,4.8317e-07,1.2332e-06
24.3670,8.3183e-08,5.0063e-07,1.3665e-06
25.3610,1.0249e-07,5.1953e-07,1.5174e-06
26.3560,1.2641e-07,5.3966e-07,1.6881e-06
27.3500,1.5586e-07,5.6190e-07,1.8805e-06
28.3440,1.9169e-07,5.8630e-07,2.0976e-06
29.3390,2.3371e-07,6.1225e-07,2.3418e-06
30.3330,2.7909e-07,6.4046e-07,2.6142e-06
31.3280,3.2010e-07,6.7104e-07,2.9135e-06
32.3220,3.4526e-07,7.0418e-07,3.2404e-06
33.3170,3.5819e-07,7.3929e-07,3.5952e-06
34.3110,3.6181e-07,7.7710e-07,3.9778e-06
35.3060,3.6949e-07,8.2099e-07,4.3836e-06
36.3000,3.8211e-07,8.7142e-07,4.8117e-06
37.2940,4.0072e-07,9.2803e-07,5.2625e-06
38.2890,4.2941e-07,9.9081e-07,5.7387e-06
39.2830,4.7031e-07,1.0613e-06,6.2310e-06
40.2780,5.2160e-07,1.1383e-06,6.7214e-06
41.2720,5.7382e-07,1.2209e-06,7.2029e-06
42.2670,6.0921e-07,1.3000e-06,7.6701e-06
43.2610,6.5137e-07,1.3895e-06,8.1642e-06
44.2560,7.4561e-07,1.4900e-06,8.6462e-06
45.2500,8.5303e-07,1.6049e-06,9.1441e-06
46.2440,9.7259e-07,1.7350e-06,9.6585e-06
47.2390,1.1064e-06,1.8760e-06,1.0179e-05
48.2330,1.2509e-06,2.0310e-06,1.0745e-05
49.2280,1.3947e-06,2.1838e-06,1.1330e-05
50.2220,1.5547e-06,2.3323e-06,1.1967e-05
51.2170,1.7625e-06,2.4799e-06,1.2688e-05
52.2110,1.9317e-06,2.6359e-06,1.3522e-05
53.2060,2.1512e-06,2.8383e-06,1.4483e-05
54.2000,2.2615e-06,2.9910e-06,1.5594e-05
55.1940,2.3371e-06,3.1340e-06,1.6834e-05
56.1890,2.3779e-06,3.2821e-06,1.8228e-05
57.1830,2.3789e-06,3.4367e-06,1.9821e-05
58.1780,2.3604e-06,3.5848e-06,2.1636e-05
59.1720,2.3442e-06,3.7172e-06,2.3736e-05
60.1670,2.4725e-06,3.8540e-06,2.6142e-05
61.1610,2.5609e-06,3.9824e-06,2.9091e-05
62.1560,2.6235e-06,4.1072e-06,3.2411e-05
63.1500,2.6695e-06,4.2213e-06,3.5821e-05
64.1440,2.6854e-06,4.2852e-06,3.9334e-05
65.1390,2.5117e-06,4.3727e-06,4.3048e-05
66.1330,2.4618e-06,4.4270e-06,4.6404e-05
67.1280,2.4640e-06,4.4624e-06,5.0168e-05
68.1220,2.5732e-06,4.4954e-06,5.4307e-05
69.1170,2.6952e-06,4.5514e-06,5.8769e-05
70.1110,2.7275e-06,4.6949e-06,6.3425e-05
71.1060,2.3177e-06,4.8749e-06,6.8130e-05
72.1000,2.0867e-06,5.1149e-06,7.3541e-05
73.0940,2.2725e-06,5.2928e-06,8.0600e-05
74.0890,2.3706e-06,5.3903e-06,8.9374e-05
75.0830,2.4551e-06,5.4316e-06,9.8335e-05
76.0780,1.9705e-06,5.2664e-06,1.0578e-04
77.0720,1.7704e-06,4.9877e-06,1.1192e-04
78.0670,1.8860e-06,4.7202e-06,1.1126e-04
79.0610,1.6176e-06,4.8419e-06,1.0163e-04
80.0560,1.5715e-06,5.4151e-06,9.8644e-05
81.0500,1.8190e-06,6.9472e-06,1.0591e-04
82.0440,2.5073e-06,7.8475e-06,1.2064e-04
83.0390,3.0306e-06,6.5365e-06,1.4751e-04
84.0330,1.4683e-06,5.4760e-06,2.1016e-04
85.0280,1.2912e-06,6.1218e-06,2.7296e-04
86.0220,1.3717e-06,8.4953e-06,2.2231e-04
87.0170,2.7560e-06,1.0280e-05,6.3064e-05
88.0110,2.4636e-06,6.7096e-06,3.7990e-05
89.0060,2.4878e-06,6.1081e-06,2.3818e-05
