# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11kk for E = 50.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.5341e-05,1.2430e-05,9.8846e-05
1.4940,2.5517e-05,1.2518e-05,9.9606e-05
2.4890,2.5681e-05,1.2598e-05,1.0039e-04
3.4830,2.5831e-05,1.2674e-05,1.0120e-04
4.4780,2.5967e-05,1.2743e-05,1.0203e-04
5.4720,2.6090e-05,1.2806e-05,1.0288e-04
6.4670,2.6197e-05,1.2863e-05,1.0375e-04
7.4610,2.6289e-05,1.2914e-05,1.0465e-04
8.4560,2.6365e-05,1.2958e-05,1.0556e-04
9.4500,2.6424e-05,1.2996e-05,1.0650e-04
10.4440,2.6465e-05,1.3027e-05,1.0745e-04
11.4390,2.6488e-05,1.3051e-05,1.0844e-04
12.4330,2.6492e-05,1.3069e-05,1.0946e-04
13.4280,2.6476e-05,1.3080e-05,1.1053e-04
14.4220,2.6439e-05,1.3084e-05,1.1169e-04
15.4170,2.6380e-05,1.3081e-05,1.1295e-04
16.4110,2.6298e-05,1.3071e-05,1.1430e-04
17.4060,2.6192e-05,1.3054e-05,1.1565e-04
18.4000,2.6060e-05,1.3030e-05,1.1689e-04
19.3940,2.5903e-05,1.2999e-05,1.1791e-04
20.3890,2.5719e-05,1.2962e-05,1.1885e-04
21.3830,2.5507e-05,1.2918e-05,1.1978e-04
22.3780,2.5266e-05,1.2869e-05,1.2068e-04
23.3720,2.4994e-05,1.2813e-05,1.2157e-04
24.3670,2.4692e-05,1.2752e-05,1.2244e-04
25.3610,2.4358e-05,1.2683e-05,1.2328e-04
26.3560,2.3991e-05,1.2607e-05,1.2410e-04
27.3500,2.3590e-05,1.2524e-05,1.2488e-04
28.3440,2.3156e-05,1.2435e-05,1.2563e-04
29.3390,2.2688e-05,1.2340e-05,1.2635e-04
30.3330,2.2185e-05,1.2238e-05,1.2701e-04
31.3280,2.1647e-05,1.2134e-05,1.2756e-04
32.3220,2.1075e-05,1.2023e-05,1.2800e-04
33.3170,2.0469e-05,1.1909e-05,1.2836e-04
34.3110,1.9829e-05,1.1787e-05,1.2865e-04
35.3060,1.9156e-05,1.1655e-05,1.2885e-04
36.3000,1.8451e-05,1.1507e-05,1.2897e-04
37.2940,1.7716e-05,1.1342e-05,1.2900e-04
38.2890,1.6952e-05,1.1163e-05,1.2900e-04
39.2830,1.6163e-05,1.0970e-05,1.2893e-04
40.2780,1.5353e-05,1.0763e-05,1.2874e-04
41.2720,1.4523e-05,1.0537e-05,1.2848e-04
42.2670,1.3668e-05,1.0307e-05,1.2808e-04
43.2610,1.2797e-05,1.0064e-05,1.2751e-04
44.2560,1.1916e-05,9.8056e-06,1.2678e-04
45.2500,1.1031e-05,9.5325e-06,1.2588e-04
46.2440,1.0148e-05,9.2502e-06,1.2481e-04
47.2390,9.2707e-06,8.9583e-06,1.2355e-04
48.2330,8.4083e-06,8.6404e-06,1.2215e-04
49.2280,7.5737e-06,8.2969e-06,1.2062e-04
50.2220,6.7676e-06,7.9097e-06,1.1898e-04
51.2170,6.0014e-06,7.5088e-06,1.1730e-04
52.2110,5.3134e-06,7.1037e-06,1.1556e-04
53.2060,4.6771e-06,6.7611e-06,1.1381e-04
54.2000,4.1080e-06,6.4328e-06,1.1209e-04
55.1940,3.6099e-06,6.0925e-06,1.1051e-04
56.1890,3.1913e-06,5.7780e-06,1.0903e-04
57.1830,2.8651e-06,5.5007e-06,1.0745e-04
58.1780,2.5722e-06,5.2542e-06,1.0582e-04
59.1720,2.3390e-06,5.0170e-06,1.0389e-04
60.1670,2.1782e-06,4.7912e-06,1.0141e-04
61.1610,1.9349e-06,4.5251e-06,9.8520e-05
62.1560,1.7064e-06,4.2190e-06,9.5008e-05
63.1500,1.5869e-06,3.8492e-06,9.1437e-05
64.1440,1.5395e-06,3.3351e-06,8.7853e-05
65.1390,1.4827e-06,2.9013e-06,8.3978e-05
66.1330,1.4376e-06,2.7247e-06,7.9901e-05
67.1280,1.4098e-06,2.5860e-06,7.5001e-05
68.1220,1.3942e-06,2.4671e-06,6.8899e-05
69.1170,1.3746e-06,2.3319e-06,6.1955e-05
70.1110,1.3575e-06,2.2723e-06,5.4000e-05
71.1060,1.3627e-06,2.1876e-06,4.5287e-05
72.1000,1.3171e-06,2.0982e-06,3.6315e-05
73.0940,1.0505e-06,2.0714e-06,2.7434e-05
74.0890,7.8740e-07,2.0396e-06,2.0591e-05
75.0830,6.9372e-07,1.9059e-06,1.5201e-05
76.0780,7.0937e-07,1.8977e-06,1.1645e-05
77.0720,7.6686e-07,1.8544e-06,8.5170e-06
78.0670,4.9816e-07,2.0378e-06,8.5902e-06
79.0610,2.3271e-13,2.1782e-06,6.5816e-06
80.0560,1.6022e-13,2.3324e-06,5.4125e-06
81.0500,7.1320e-14,2.4091e-06,4.7484e-06
82.0440,1.0000e-31,2.3945e-06,4.5757e-06
83.0390,1.0000e-31,2.2082e-06,4.4983e-06
84.0330,1.0000e-31,1.8350e-06,4.8766e-06
85.0280,1.0000e-31,1.2260e-06,6.3742e-06
86.0220,1.0000e-31,3.7735e-07,1.0737e-05
87.0170,1.0000e-31,1.7206e-08,1.9742e-05
88.0110,1.0000e-31,3.5331e-09,1.2467e-05
89.0060,1.0000e-31,1.0096e-09,2.1460e-07
