# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11l for E = 1000.0 keV, L* = 4.0, MLT = 10.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.5876e-09,6.5956e-06,8.3478e-07
1.4940,3.0658e-09,6.6490e-06,8.4178e-07
2.4890,4.0184e-09,6.7059e-06,8.4957e-07
3.4830,5.4691e-09,6.7674e-06,8.5819e-07
4.4780,7.4487e-09,6.8323e-06,8.6764e-07
5.4720,9.9949e-09,6.9018e-06,8.7797e-07
6.4670,1.3153e-08,6.9744e-06,8.8919e-07
7.4610,1.6974e-08,7.0513e-06,9.0137e-07
8.4560,2.1518e-08,7.1309e-06,9.1453e-07
9.4500,2.6851e-08,7.2145e-06,9.2870e-07
10.4440,3.3046e-08,7.3009e-06,9.4398e-07
11.4390,4.0184e-08,7.3889e-06,9.6042e-07
12.4330,4.8352e-08,7.4795e-06,9.7817e-07
13.4280,5.7643e-08,7.5706e-06,9.9728e-07
14.4220,6.8161e-08,7.6630e-06,1.0178e-06
15.4170,8.0012e-08,7.7550e-06,1.0398e-06
16.4110,9.3308e-08,7.8479e-06,1.0634e-06
17.4060,1.0817e-07,7.9393e-06,1.0887e-06
18.4000,1.2473e-07,8.0296e-06,1.1158e-06
19.3940,1.4325e-07,8.1166e-06,1.1450e-06
20.3890,1.6416e-07,8.1980e-06,1.1762e-06
21.3830,1.8837e-07,8.2735e-06,1.2096e-06
22.3780,2.1814e-07,8.3394e-06,1.2454e-06
23.3720,2.5909e-07,8.3947e-06,1.2838e-06
24.3670,3.2061e-07,8.4346e-06,1.3247e-06
25.3610,3.9689e-07,8.4567e-06,1.3690e-06
26.3560,4.8908e-07,8.4560e-06,1.4160e-06
27.3500,5.9998e-07,8.4228e-06,1.4652e-06
28.3440,7.3095e-07,8.3493e-06,1.5169e-06
29.3390,8.7876e-07,8.2310e-06,1.5707e-06
30.3330,1.0302e-06,8.0659e-06,1.6267e-06
31.3280,1.1572e-06,7.8594e-06,1.6847e-06
32.3220,1.2269e-06,7.6076e-06,1.7462e-06
33.3170,1.2606e-06,7.3269e-06,1.8116e-06
34.3110,1.2615e-06,7.0086e-06,1.8779e-06
35.3060,1.2642e-06,6.6546e-06,1.9437e-06
36.3000,1.2699e-06,6.2838e-06,2.0081e-06
37.2940,1.2910e-06,5.9155e-06,2.0705e-06
38.2890,1.3828e-06,5.5690e-06,2.1314e-06
39.2830,1.5042e-06,5.2522e-06,2.1897e-06
40.2780,1.6361e-06,4.9898e-06,2.2499e-06
41.2720,1.7274e-06,4.8016e-06,2.3143e-06
42.2670,1.7279e-06,4.6638e-06,2.3806e-06
43.2610,1.7020e-06,4.5450e-06,2.4379e-06
44.2560,1.6950e-06,4.4663e-06,2.4782e-06
45.2500,1.6817e-06,4.3761e-06,2.5231e-06
46.2440,1.6608e-06,4.2750e-06,2.5824e-06
47.2390,1.6373e-06,4.1710e-06,2.6675e-06
48.2330,1.6242e-06,4.0621e-06,2.7854e-06
49.2280,1.6258e-06,3.9517e-06,2.9324e-06
50.2220,1.6510e-06,3.8538e-06,3.1178e-06
51.2170,1.6967e-06,3.7674e-06,3.3232e-06
52.2110,1.6564e-06,3.6740e-06,3.5210e-06
53.2060,1.5326e-06,3.5254e-06,3.7263e-06
54.2000,1.5462e-06,3.4844e-06,3.8822e-06
55.1940,1.5774e-06,3.4814e-06,4.0002e-06
56.1890,1.6017e-06,3.4715e-06,4.1196e-06
57.1830,1.6181e-06,3.4581e-06,4.2370e-06
58.1780,1.6239e-06,3.4478e-06,4.3601e-06
59.1720,1.6081e-06,3.4428e-06,4.4617e-06
60.1670,1.5828e-06,3.4329e-06,4.5371e-06
61.1610,1.5816e-06,3.4249e-06,4.6221e-06
62.1560,1.6037e-06,3.4260e-06,4.7287e-06
63.1500,1.6041e-06,3.4169e-06,4.8557e-06
64.1440,1.5286e-06,3.3340e-06,4.9990e-06
65.1390,1.4931e-06,3.3318e-06,5.1603e-06
66.1330,1.5008e-06,3.4164e-06,5.3882e-06
67.1280,1.5081e-06,3.4948e-06,5.6303e-06
68.1220,1.5075e-06,3.5669e-06,5.8943e-06
69.1170,1.4704e-06,3.6316e-06,6.0853e-06
70.1110,1.3648e-06,3.6876e-06,6.2485e-06
71.1060,1.2405e-06,3.7321e-06,6.5055e-06
72.1000,1.1781e-06,3.7555e-06,6.9145e-06
73.0940,1.1680e-06,3.7445e-06,7.4276e-06
74.0890,1.1382e-06,3.6327e-06,7.9301e-06
75.0830,1.0957e-06,3.4541e-06,8.4032e-06
76.0780,7.3258e-07,3.2996e-06,8.8148e-06
77.0720,6.4649e-07,3.1517e-06,9.3414e-06
78.0670,6.5531e-07,3.0321e-06,9.9222e-06
79.0610,7.5645e-07,2.9520e-06,1.0212e-05
80.0560,8.4396e-07,3.0749e-06,1.1551e-05
81.0500,9.5263e-07,3.2273e-06,1.0187e-05
82.0440,1.2392e-06,3.6335e-06,1.1905e-05
83.0390,1.3981e-06,5.7752e-06,1.0764e-05
84.0330,1.2734e-06,5.6200e-06,1.0612e-05
85.0280,8.7946e-07,6.1573e-06,6.9028e-06
86.0220,5.4514e-07,5.9901e-06,4.6043e-06
87.0170,7.1087e-07,4.0039e-06,4.0198e-06
88.0110,6.7348e-07,1.5126e-06,4.0762e-06
89.0060,6.4007e-07,1.2346e-06,5.7194e-06
