# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11ll for E = 50.0 keV, L* = 4.0, MLT = 16.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.6280e-07,1.0000e-31,1.2019e-07
1.4940,5.6959e-07,1.0000e-31,1.2115e-07
2.4890,5.7904e-07,1.0000e-31,1.2217e-07
3.4830,5.9125e-07,1.0000e-31,1.2327e-07
4.4780,6.0632e-07,1.0000e-31,1.2443e-07
5.4720,6.2438e-07,1.0000e-31,1.2567e-07
6.4670,6.4558e-07,1.0000e-31,1.2698e-07
7.4610,6.7009e-07,1.0000e-31,1.2836e-07
8.4560,6.9812e-07,1.0000e-31,1.2982e-07
9.4500,7.2986e-07,1.0000e-31,1.3136e-07
10.4440,7.6542e-07,1.0000e-31,1.3298e-07
11.4390,8.0499e-07,1.0000e-31,1.3469e-07
12.4330,8.4883e-07,1.0000e-31,1.3648e-07
13.4280,8.9718e-07,1.0000e-31,1.3836e-07
14.4220,9.5032e-07,1.0000e-31,1.4032e-07
15.4170,1.0085e-06,1.0000e-31,1.4238e-07
16.4110,1.0722e-06,1.0000e-31,1.4453e-07
17.4060,1.1416e-06,1.0000e-31,1.4678e-07
18.4000,1.2172e-06,1.0000e-31,1.4913e-07
19.3940,1.2992e-06,1.0000e-31,1.5158e-07
20.3890,1.3881e-06,1.0000e-31,1.5414e-07
21.3830,1.4841e-06,1.0000e-31,1.5680e-07
22.3780,1.5874e-06,1.0000e-31,1.5958e-07
23.3720,1.6984e-06,1.0000e-31,1.6247e-07
24.3670,1.8168e-06,1.0000e-31,1.6548e-07
25.3610,1.9423e-06,1.0000e-31,1.6861e-07
26.3560,2.0742e-06,1.0000e-31,1.7186e-07
27.3500,2.2112e-06,1.0000e-31,1.7524e-07
28.3440,2.3516e-06,1.0000e-31,1.7875e-07
29.3390,2.4946e-06,1.0000e-31,1.8238e-07
30.3330,2.6386e-06,1.0000e-31,1.8615e-07
31.3280,2.7838e-06,1.0000e-31,1.9004e-07
32.3220,2.9308e-06,1.0000e-31,1.9405e-07
33.3170,3.0782e-06,1.0000e-31,1.9817e-07
34.3110,3.2328e-06,1.0000e-31,2.0239e-07
35.3060,3.4029e-06,1.0000e-31,2.0673e-07
36.3000,3.6026e-06,1.0000e-31,2.1116e-07
37.2940,3.8321e-06,1.0000e-31,2.1566e-07
38.2890,4.0613e-06,1.0000e-31,2.2021e-07
39.2830,4.2921e-06,1.0000e-31,2.2480e-07
40.2780,4.5264e-06,1.0000e-31,2.2939e-07
41.2720,4.7650e-06,1.0000e-31,2.3394e-07
42.2670,5.0116e-06,1.0000e-31,2.3839e-07
43.2610,5.2598e-06,1.0000e-31,2.4268e-07
44.2560,5.5100e-06,1.0000e-31,2.4677e-07
45.2500,5.7710e-06,1.0000e-31,2.5058e-07
46.2440,6.0478e-06,1.0000e-31,2.5392e-07
47.2390,6.3470e-06,1.0000e-31,2.5676e-07
48.2330,6.6776e-06,1.0000e-31,2.5908e-07
49.2280,7.0496e-06,1.0000e-31,2.6059e-07
50.2220,7.4374e-06,1.0000e-31,2.6069e-07
51.2170,7.7878e-06,1.0000e-31,2.5978e-07
52.2110,8.0002e-06,1.0000e-31,2.5811e-07
53.2060,8.1373e-06,1.0000e-31,2.5557e-07
54.2000,8.2254e-06,1.0000e-31,2.5202e-07
55.1940,8.1340e-06,1.0000e-31,2.4738e-07
56.1890,7.9666e-06,1.0000e-31,2.4148e-07
57.1830,7.7222e-06,1.0000e-31,2.3412e-07
58.1780,7.3981e-06,1.0000e-31,2.2504e-07
59.1720,6.9954e-06,1.0000e-31,2.1397e-07
60.1670,6.5204e-06,1.0000e-31,2.0057e-07
61.1610,5.9852e-06,1.0000e-31,1.8451e-07
62.1560,5.4040e-06,1.0000e-31,1.6537e-07
63.1500,4.8051e-06,1.0000e-31,1.4235e-07
64.1440,4.2639e-06,1.0000e-31,1.1553e-07
65.1390,3.7182e-06,1.0000e-31,8.6721e-08
66.1330,3.1529e-06,1.0000e-31,5.6259e-08
67.1280,2.6367e-06,1.0000e-31,2.6394e-08
68.1220,2.1873e-06,1.0000e-31,6.5636e-09
69.1170,1.8152e-06,1.0000e-31,6.2745e-09
70.1110,1.5232e-06,1.0000e-31,6.5423e-09
71.1060,1.3072e-06,1.0000e-31,6.7843e-09
72.1000,1.1618e-06,1.0000e-31,7.1534e-09
73.0940,1.0787e-06,1.0000e-31,7.5791e-09
74.0890,1.0437e-06,1.0000e-31,7.9866e-09
75.0830,8.6215e-07,1.0000e-31,8.3248e-09
76.0780,4.5891e-07,1.0000e-31,8.5915e-09
77.0720,2.8112e-07,1.0000e-31,7.4999e-09
78.0670,3.0080e-07,1.0000e-31,7.2567e-09
79.0610,3.6987e-07,1.0000e-31,7.1898e-09
80.0560,5.1291e-07,1.0000e-31,7.2951e-09
81.0500,8.0092e-07,1.0000e-31,7.9506e-09
82.0440,1.1744e-06,1.0000e-31,9.9247e-09
83.0390,1.7105e-06,1.0000e-31,1.8061e-08
84.0330,1.0813e-06,1.0000e-31,3.1929e-08
85.0280,3.9592e-13,1.0000e-31,6.2345e-08
86.0220,1.0000e-31,1.0000e-31,1.9039e-07
87.0170,1.0000e-31,1.0000e-31,2.0682e-07
88.0110,1.0000e-31,1.0000e-31,8.3220e-08
89.0060,1.0000e-31,1.0000e-31,1.0746e-10
