# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11m for E = 1000.0 keV, L* = 4.0, MLT = 13.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.9432e-10,1.5448e-05,1.0953e-06
1.4940,4.6183e-10,1.5585e-05,1.1034e-06
2.4890,5.9840e-10,1.5743e-05,1.1113e-06
3.4830,8.1238e-10,1.5924e-05,1.1190e-06
4.4780,1.1164e-09,1.6126e-05,1.1265e-06
5.4720,1.5231e-09,1.6353e-05,1.1337e-06
6.4670,2.0489e-09,1.6603e-05,1.1406e-06
7.4610,2.7166e-09,1.6879e-05,1.1475e-06
8.4560,3.5550e-09,1.7180e-05,1.1546e-06
9.4500,4.6005e-09,1.7511e-05,1.1620e-06
10.4440,5.8980e-09,1.7871e-05,1.1700e-06
11.4390,7.5032e-09,1.8258e-05,1.1794e-06
12.4330,9.4837e-09,1.8682e-05,1.1912e-06
13.4280,1.1921e-08,1.9135e-05,1.2061e-06
14.4220,1.4908e-08,1.9630e-05,1.2241e-06
15.4170,1.8549e-08,2.0159e-05,1.2458e-06
16.4110,2.2947e-08,2.0731e-05,1.2707e-06
17.4060,2.8188e-08,2.1323e-05,1.2974e-06
18.4000,3.4347e-08,2.1942e-05,1.3259e-06
19.3940,4.1455e-08,2.2579e-05,1.3568e-06
20.3890,4.9480e-08,2.3226e-05,1.3890e-06
21.3830,5.8320e-08,2.3893e-05,1.4217e-06
22.3780,6.7886e-08,2.4564e-05,1.4621e-06
23.3720,7.8294e-08,2.5247e-05,1.5086e-06
24.3670,9.0119e-08,2.5920e-05,1.5606e-06
25.3610,1.0403e-07,2.6588e-05,1.6275e-06
26.3560,1.2123e-07,2.7229e-05,1.7134e-06
27.3500,1.4477e-07,2.7839e-05,1.8210e-06
28.3440,1.7398e-07,2.8392e-05,1.9486e-06
29.3390,2.0907e-07,2.8900e-05,2.1004e-06
30.3330,2.5057e-07,2.9382e-05,2.2485e-06
31.3280,2.9714e-07,2.9825e-05,2.3921e-06
32.3220,3.4305e-07,3.0230e-05,2.5284e-06
33.3170,3.8335e-07,3.0587e-05,2.6813e-06
34.3110,4.2182e-07,3.0924e-05,2.8542e-06
35.3060,4.6344e-07,3.1218e-05,3.0755e-06
36.3000,5.0677e-07,3.1481e-05,3.3270e-06
37.2940,5.5222e-07,3.1699e-05,3.6037e-06
38.2890,6.0110e-07,3.1857e-05,3.8589e-06
39.2830,6.6581e-07,3.1945e-05,4.0965e-06
40.2780,7.8582e-07,3.1941e-05,4.3184e-06
41.2720,9.1347e-07,3.1833e-05,4.5985e-06
42.2670,1.0219e-06,3.1582e-05,4.8736e-06
43.2610,1.0989e-06,3.1172e-05,5.1165e-06
44.2560,1.1279e-06,3.0606e-05,5.3673e-06
45.2500,1.1595e-06,2.9944e-05,5.6186e-06
46.2440,1.1878e-06,2.9179e-05,5.8542e-06
47.2390,1.2042e-06,2.8314e-05,6.0413e-06
48.2330,1.2065e-06,2.7336e-05,6.2391e-06
49.2280,1.2010e-06,2.6276e-05,6.4356e-06
50.2220,1.2069e-06,2.5112e-05,6.6849e-06
51.2170,1.2534e-06,2.3851e-05,6.8844e-06
52.2110,1.3396e-06,2.2460e-05,6.9977e-06
53.2060,1.3324e-06,2.0935e-05,7.0212e-06
54.2000,1.3375e-06,1.9305e-05,7.0166e-06
55.1940,1.3200e-06,1.7603e-05,6.9612e-06
56.1890,1.2956e-06,1.5837e-05,6.9099e-06
57.1830,1.2724e-06,1.4051e-05,6.7811e-06
58.1780,1.2356e-06,1.2347e-05,6.5604e-06
59.1720,1.1712e-06,1.0806e-05,6.3187e-06
60.1670,1.0755e-06,9.5849e-06,6.1102e-06
61.1610,9.7053e-07,8.5324e-06,5.9323e-06
62.1560,9.2838e-07,7.6818e-06,5.8105e-06
63.1500,9.4132e-07,7.0358e-06,5.8441e-06
64.1440,8.9464e-07,6.5086e-06,5.9821e-06
65.1390,7.8974e-07,5.7134e-06,6.3315e-06
66.1330,8.0647e-07,5.3516e-06,6.5849e-06
67.1280,8.2276e-07,5.0184e-06,6.7211e-06
68.1220,8.0375e-07,4.6709e-06,6.7881e-06
69.1170,7.4116e-07,4.3106e-06,6.9810e-06
70.1110,6.4617e-07,3.9531e-06,7.3498e-06
71.1060,5.7321e-07,3.6333e-06,7.7136e-06
72.1000,5.7502e-07,3.3340e-06,8.0510e-06
73.0940,5.9122e-07,3.0466e-06,8.3413e-06
74.0890,6.1902e-07,2.8079e-06,8.9227e-06
75.0830,6.0038e-07,2.6148e-06,9.6859e-06
76.0780,5.1615e-07,2.4071e-06,1.0458e-05
77.0720,3.0450e-07,1.8022e-06,1.1199e-05
78.0670,2.5956e-07,1.5943e-06,1.1761e-05
79.0610,2.6912e-07,1.4809e-06,1.2401e-05
80.0560,3.1688e-07,1.4120e-06,1.2096e-05
81.0500,4.3952e-07,1.4103e-06,1.2133e-05
82.0440,4.8422e-07,1.5806e-06,1.1784e-05
83.0390,5.8671e-07,1.9787e-06,1.2670e-05
84.0330,9.1926e-07,2.9396e-06,1.2286e-05
85.0280,9.8000e-07,4.6279e-06,1.4129e-05
86.0220,3.2764e-07,6.9962e-06,8.4641e-06
87.0170,2.3473e-07,8.0587e-06,8.2169e-06
88.0110,1.9571e-07,3.7259e-06,8.3946e-06
89.0060,1.6256e-07,1.5112e-07,2.5576e-05
