# Bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 11mm for E = 50.0 keV, L* = 4.0, MLT = 19.5, Kp = 5.0
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.3298e-07,1.0000e-31,7.0895e-10
1.4940,5.3758e-07,1.0000e-31,7.1498e-10
2.4890,5.4283e-07,1.0000e-31,7.2177e-10
3.4830,5.4873e-07,1.0000e-31,7.2936e-10
4.4780,5.5531e-07,1.0000e-31,7.3778e-10
5.4720,5.6259e-07,1.0000e-31,7.4710e-10
6.4670,5.7058e-07,1.0000e-31,7.5736e-10
7.4610,5.7930e-07,1.0000e-31,7.6865e-10
8.4560,5.8876e-07,1.0000e-31,7.8103e-10
9.4500,5.9900e-07,1.0000e-31,7.9462e-10
10.4440,6.1005e-07,1.0000e-31,8.0953e-10
11.4390,6.2201e-07,1.0000e-31,8.2587e-10
12.4330,6.3493e-07,1.0000e-31,8.4380e-10
13.4280,6.4888e-07,1.0000e-31,8.6348e-10
14.4220,6.6392e-07,1.0000e-31,8.8509e-10
15.4170,6.8013e-07,1.0000e-31,9.0881e-10
16.4110,6.9758e-07,1.0000e-31,9.3483e-10
17.4060,7.1637e-07,1.0000e-31,9.6336e-10
18.4000,7.3659e-07,1.0000e-31,9.9466e-10
19.3940,7.5834e-07,1.0000e-31,1.0290e-09
20.3890,7.8166e-07,1.0000e-31,1.0667e-09
21.3830,8.0654e-07,1.0000e-31,1.1079e-09
22.3780,8.3302e-07,1.0000e-31,1.1532e-09
23.3720,8.6110e-07,1.0000e-31,1.2029e-09
24.3670,8.9073e-07,1.0000e-31,1.2574e-09
25.3610,9.2179e-07,1.0000e-31,1.3171e-09
26.3560,9.5405e-07,1.0000e-31,1.3825e-09
27.3500,9.8713e-07,1.0000e-31,1.4542e-09
28.3440,1.0208e-06,1.0000e-31,1.5328e-09
29.3390,1.0564e-06,1.0000e-31,1.6188e-09
30.3330,1.0937e-06,1.0000e-31,1.7129e-09
31.3280,1.1330e-06,1.0000e-31,1.8159e-09
32.3220,1.1755e-06,1.0000e-31,1.9286e-09
33.3170,1.2214e-06,1.0000e-31,2.0520e-09
34.3110,1.2712e-06,1.0000e-31,2.1871e-09
35.3060,1.3251e-06,1.0000e-31,2.3347e-09
36.3000,1.3834e-06,1.0000e-31,2.4964e-09
37.2940,1.4465e-06,1.0000e-31,2.6734e-09
38.2890,1.5145e-06,1.0000e-31,2.8680e-09
39.2830,1.5879e-06,1.0000e-31,3.0896e-09
40.2780,1.6662e-06,1.0000e-31,3.3504e-09
41.2720,1.7491e-06,1.0000e-31,3.6240e-09
42.2670,1.8365e-06,1.0000e-31,3.9931e-09
43.2610,1.9273e-06,1.0000e-31,5.4088e-09
44.2560,2.0209e-06,1.0000e-31,8.5593e-09
45.2500,2.1169e-06,1.0000e-31,1.2511e-08
46.2440,2.2139e-06,1.0000e-31,1.4937e-08
47.2390,2.3115e-06,1.0000e-31,1.6763e-08
48.2330,2.4094e-06,1.0000e-31,1.8260e-08
49.2280,2.4977e-06,1.0000e-31,1.9469e-08
50.2220,2.5754e-06,1.0000e-31,2.0573e-08
51.2170,2.6399e-06,1.0000e-31,2.1733e-08
52.2110,2.6871e-06,1.0000e-31,2.2953e-08
53.2060,2.7150e-06,1.0000e-31,2.4170e-08
54.2000,2.7196e-06,1.0000e-31,2.5394e-08
55.1940,2.6988e-06,1.0000e-31,2.6621e-08
56.1890,2.6526e-06,1.0000e-31,2.7848e-08
57.1830,2.5888e-06,1.0000e-31,2.9070e-08
58.1780,2.5126e-06,1.0000e-31,3.0281e-08
59.1720,2.4194e-06,1.0000e-31,3.1452e-08
60.1670,2.3215e-06,1.0000e-31,3.2530e-08
61.1610,2.2291e-06,1.0000e-31,3.3473e-08
62.1560,2.1445e-06,1.0000e-31,3.4299e-08
63.1500,2.1133e-06,1.0000e-31,3.5122e-08
64.1440,1.9986e-06,1.0000e-31,3.6174e-08
65.1390,1.8594e-06,1.0000e-31,3.9482e-08
66.1330,1.7358e-06,1.0000e-31,4.6974e-08
67.1280,1.6287e-06,1.0000e-31,5.5648e-08
68.1220,1.5332e-06,1.0000e-31,6.5577e-08
69.1170,1.4611e-06,1.0000e-31,7.7389e-08
70.1110,1.4165e-06,1.0000e-31,9.1970e-08
71.1060,1.4378e-06,1.0000e-31,1.1019e-07
72.1000,1.4988e-06,1.0000e-31,1.3137e-07
73.0940,1.5615e-06,1.0000e-31,1.7890e-07
74.0890,1.7315e-06,1.0000e-31,2.8444e-07
75.0830,2.0493e-06,1.0000e-31,2.7262e-07
76.0780,2.5759e-06,1.0000e-31,3.1279e-07
77.0720,2.9129e-06,1.0000e-31,4.2092e-07
78.0670,3.6237e-06,1.0000e-31,4.8031e-07
79.0610,4.6893e-06,1.0000e-31,4.6760e-07
80.0560,4.5262e-06,1.0000e-31,4.5259e-07
81.0500,3.4029e-06,1.0000e-31,4.3322e-07
82.0440,4.5597e-06,1.0000e-31,4.0158e-07
83.0390,4.0214e-06,1.0000e-31,3.4815e-07
84.0330,2.8596e-06,1.0000e-31,2.7173e-07
85.0280,6.5200e-07,1.0000e-31,1.8589e-07
86.0220,3.5480e-07,1.0000e-31,1.0300e-07
87.0170,1.5757e-14,1.0000e-31,3.0375e-08
88.0110,6.9714e-16,1.0000e-31,1.1173e-08
89.0060,1.0000e-31,1.0000e-31,2.3009e-09
